clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGC	codon_AGA	codon_CGT	codon_GCT	codon_TGC	codon_AGC	codon_ATG	codon_TGG	codon_TTG	codon_CCG	codon_AGT	codon_TCC	codon_CTT	codon_CTG	codon_CGG	codon_CTC	codon_GCC	codon_AAG	codon_TCT	codon_TAT	codon_TCA	codon_ACT	codon_CAC	codon_GAG	codon_GTC	codon_ATT	codon_GCG	codon_TGT	codon_CAT	codon_CGC	codon_CAA	codon_GAC	codon_GGA	codon_CAG	codon_ATC	codon_TTC	codon_CCA	codon_GTG	codon_AAA	codon_AAT	codon_GAA	codon_TCG	codon_ATA	codon_CGA	codon_GCA	codon_ACG	codon_GAT	codon_ACA	codon_TAC	codon_TTT
NC_073259.2	3::NC_073259.2:139659914-139669955(+)	10041	False	0.5487	0			2.0		54.0		91.0		1.0	6.0	3.0			2.0	57.0	224.0	3.0	3.0		1.0	2.0	1.0	3.0	1.0	584.0		257.0	78.0		567.0	9.0		137.0	102.0	4.0	312.0	1.0	44.0	478.0	1.0	34.0	1.0			1.0	2.0	2.0	3.0	120.0			2.0		1.0		91.0	1.0		4.0	52.0	5.0
NC_073259.2	2::NC_073259.2:140273872-140279206(+)	5334	False	0.6464	1	4.0	1.0	3.0	2.0	3.0	1.0	414.0			3.0	85.0	1.0		24.0	1.0	4.0		2.0	3.0		15.0		439.0	5.0	55.0		388.0	3.0	2.0	23.0	1.0	15.0	1.0		3.0	82.0	2.0		102.0	11.0	1.0		1.0	1.0	2.0	9.0	3.0	2.0	44.0	4.0	2.0	3.0				1.0			1.0	1.0	5.0
NC_073259.2	3::NC_073259.2:140274068-140279282(+)	5214	False	0.6498	0		2.0	1.0	1.0			412.0	1.0	1.0		86.0		2.0	15.0	3.0	2.0	1.0	2.0	2.0		24.0	1.0	432.0	2.0	62.0	1.0	371.0		2.0	40.0	1.0	6.0			1.0	84.0			94.0	13.0			1.0	1.0	1.0	11.0	6.0	3.0	41.0	1.0			1.0	1.0		1.0				2.0	3.0
NC_073259.2	1::NC_073259.2:140274096-140279310(+)	5214	False	0.6507	0	1.0		2.0	2.0	2.0	1.0	412.0			1.0	84.0	1.0	2.0	24.0	3.0	4.0			1.0	1.0	22.0		429.0	4.0	81.0		371.0			33.0		10.0	2.0			83.0			100.0	8.0			1.0	1.0	2.0	13.0	4.0		24.0		1.0	2.0	1.0		1.0				2.0	1.0	1.0
NC_073259.2	1::NC_073259.2:140308506-140316360(+)	7854	False	0.5554	1	2.0	2.0	2.0	3.0	26.0		23.0	75.0	224.0	16.0	294.0	2.0	11.0	2.0	3.0	8.0	2.0	7.0		1.0	17.0	1.0	17.0	1.0	17.0	1.0	11.0	5.0	5.0	4.0	25.0	10.0	35.0	577.0	3.0	2.0	3.0	1.0	21.0	88.0	23.0	77.0	13.0	3.0	14.0	6.0	2.0	207.0	5.0	10.0	2.0	5.0	1.0	80.0	4.0	32.0	6.0	1.0	492.0	87.0	1.0
NC_073259.2	3::NC_073259.2:140308847-140314574(+)	5727	False	0.5743	1		1.0			9.0		20.0	74.0	188.0	17.0	233.0		11.0	4.0	1.0	3.0	1.0	4.0	1.0		13.0		7.0		5.0	1.0	7.0	3.0			4.0	4.0	13.0	432.0	3.0		1.0		8.0	45.0	22.0	72.0	9.0		4.0	9.0		178.0	1.0	3.0				40.0		16.0	6.0		370.0	65.0	1.0
NC_073259.2	1::NC_073259.2:140473374-140478633(+)	5259	False	0.6726	1	359.0	1.0		121.0		2.0						70.0	223.0		71.0	20.0	3.0	71.0	34.0			5.0				26.0	54.0					71.0			309.0			29.0	6.0	1.0			1.0	116.0	73.0				5.0						4.0	2.0	2.0	74.0			
NC_073259.2	-1::NC_073259.2:141530259-141535488(-)	5229	False	0.6305	2	5.0	1.0	2.0	9.0	4.0	4.0	56.0	58.0	192.0	4.0	327.0	1.0	5.0		4.0	1.0	8.0	2.0	4.0	2.0	14.0	3.0	14.0	51.0	5.0	1.0	16.0	6.0	3.0	2.0	1.0	55.0	7.0	314.0	5.0	3.0		1.0	1.0	18.0	18.0	58.0	5.0	5.0	13.0	6.0	59.0	133.0	4.0	1.0	3.0	1.0			1.0	20.0	2.0	3.0	196.0	2.0	4.0
NC_073259.2	2::NC_073259.2:141803005-141810886(+)	7881	False	0.5006	0	692.0	691.0	612.0	612.0		2.0				2.0		2.0	1.0					2.0	1.0			1.0					1.0					1.0		1.0		1.0			2.0				1.0					1.0								1.0					
NC_073259.2	-1::NC_073259.2:141803025-141810885(-)	7860	False	0.5006	0	1.0						694.0	691.0	612.0	612.0	1.0		1.0									1.0					1.0							1.0	1.0		1.0								1.0			1.0								1.0					
NC_073256.2	-1::NC_073256.2:47-11114(-)	11067	False	0.5062	0	511.0	488.0	1330.0	1279.0		1.0							1.0							8.0						48.0												2.0	1.0								14.0	1.0					1.0	1.0						1.0	2.0
NC_073256.2	1::NC_073256.2:48-11163(+)	11115	False	0.5057	0					1.0		487.0	512.0	1330.0	1279.0	8.0							1.0			12.0				1.0					2.0	1.0							3.0	1.0	1.0	1.0	1.0		1.0		2.0		6.0		1.0	1.0	1.0		2.0	47.0	1.0		1.0		1.0	
NC_073256.2	-2::NC_073256.2:4090-10933(-)	6843	False	0.509	0	1126.0	1079.0				13.0								2.0																																	47.0						14.0								
NC_073256.2	3::NC_073256.2:4091-10934(+)	6843	False	0.5091	0							1079.0	1126.0			13.0										47.0																				2.0											14.0									
NC_073256.2	1::NC_073256.2:16550703-16557153(+)	6450	False	0.5642	1	11.0		2.0	129.0	2.0	5.0	1.0		3.0		1.0	123.0	565.0		3.0	6.0	17.0	3.0	3.0		2.0	3.0	3.0		4.0	3.0	2.0	2.0	15.0	1.0		1.0	1.0	9.0	386.0	2.0		3.0	2.0	1.0	3.0	1.0	179.0	9.0	299.0	1.0		2.0	4.0			12.0	1.0	3.0	2.0	126.0	1.0	4.0	189.0		
NC_073256.2	-3::NC_073256.2:16550733-16557654(-)	6921	False	0.5652	1	1.0			1.0		3.0	138.0	2.0	4.0	1.0	14.0	3.0	1.0	1.0	17.0	142.0	4.0	1.0	3.0	2.0	4.0	1.0	11.0	16.0	328.0	3.0	410.0	129.0	1.0	601.0	3.0		3.0	5.0	2.0	188.0		3.0	199.0	3.0	4.0		2.0	3.0	4.0	4.0	17.0	1.0	9.0				2.0		1.0	7.0		1.0	2.0	2.0	
NC_073256.2	-2::NC_073256.2:16550926-16557625(-)	6699	False	0.5617	0	1.0				1.0	1.0	140.0			3.0	11.0	2.0			16.0	145.0	1.0	1.0			1.0		11.0	17.0	325.0		412.0	123.0	1.0	595.0	2.0			1.0		182.0			196.0	1.0			1.0		1.0	3.0	15.0		14.0				4.0			3.0			1.0	1.0	1.0
NC_073256.2	-2::NC_073256.2:17130451-17137459(-)	7008	False	0.6257	1		15.0	4.0	39.0	3.0	35.0	107.0	1.0	69.0	2.0	278.0	1.0	2.0	3.0		57.0	2.0	17.0	3.0	1.0	40.0	63.0	154.0	11.0	61.0	1.0	120.0	1.0	1.0	56.0		52.0	42.0	223.0		123.0	14.0		128.0	36.0	36.0	2.0	2.0		94.0	5.0	17.0	69.0	115.0		5.0			1.0		95.0	1.0	1.0	115.0	11.0	2.0
NC_073256.2	-3::NC_073256.2:17134707-17139963(-)	5256	False	0.6237	1	2.0	7.0	1.0	30.0	2.0	27.0	67.0	1.0	47.0	1.0	227.0		4.0	3.0	2.0	45.0	1.0	15.0			21.0	36.0	112.0	10.0	48.0	1.0	81.0	2.0		39.0	1.0	48.0	36.0	158.0	3.0	82.0	16.0		98.0	34.0	26.0	3.0	1.0		66.0	3.0	18.0	60.0	91.0							67.0	2.0		96.0	10.0	1.0
NC_073256.2	-1::NC_073256.2:17136647-17141990(-)	5343	False	0.6223	1	1.0	7.0		31.0		22.0	76.0	1.0	39.0	1.0	221.0		1.0	3.0		43.0		14.0			24.0	50.0	118.0	5.0	45.0	1.0	83.0	1.0		37.0		38.0	31.0	171.0	3.0	99.0	16.0	2.0	97.0	39.0	26.0	3.0	2.0		68.0	4.0	19.0	64.0	86.0		3.0			2.0	1.0	65.0	4.0	1.0	100.0	10.0	3.0
NC_073256.2	-1::NC_073256.2:22177139-22182674(-)	5535	False	0.7528	2	211.0	6.0		68.0		61.0	73.0		62.0	6.0	198.0	193.0	12.0		6.0	62.0	62.0	6.0	62.0		7.0	1.0	2.0			7.0	68.0	68.0	62.0	6.0			62.0		63.0	6.0		80.0			68.0				62.0								62.0			6.0	1.0	63.0	1.0		62.0
NC_073256.2	1::NC_073256.2:22177140-22182804(+)	5664	False	0.7458	2	80.0	61.0	2.0	6.0	63.0	7.0	10.0		8.0		392.0	68.0	1.0	1.0	6.0		62.0	1.0	63.0	1.0		6.0	2.0	8.0	9.0	62.0	131.0	18.0	63.0	1.0	3.0	2.0		1.0	70.0		1.0	130.0		1.0	7.0		2.0	124.0	125.0	8.0	1.0	68.0	64.0	6.0	1.0		124.0		6.0	7.0		1.0		2.0	2.0
NC_073256.2	-2::NC_073256.2:27060382-27067303(-)	6921	False	0.6196	2	111.0	25.0	10.0	50.0	18.0	37.0	38.0	16.0	38.0	3.0	60.0	73.0	22.0	3.0	40.0	25.0	63.0	25.0	21.0	8.0	21.0	33.0	49.0	15.0	80.0	23.0	27.0	117.0	33.0	39.0	5.0	40.0	32.0	22.0	233.0	14.0	3.0	16.0	12.0	11.0	14.0	47.0	65.0	63.0	120.0	7.0	14.0	72.0	54.0	33.0	6.0	139.0	12.0	9.0	7.0	49.0	17.0	25.0	31.0	5.0	7.0
NC_073256.2	-1::NC_073256.2:29598794-29604455(-)	5661	False	0.7575	2	166.0	19.0	2.0	69.0	20.0	1.0	53.0		51.0		262.0	68.0	1.0	1.0	49.0		19.0	1.0	19.0	2.0		49.0	2.0	51.0	52.0	19.0	88.0	148.0	20.0	1.0	2.0	2.0		1.0	100.0		1.0	105.0	1.0	2.0	100.0		2.0	38.0	38.0	51.0		67.0	2.0	49.0	1.0		37.0			50.0		1.0		2.0	2.0
NC_073256.2	1::NC_073256.2:29598885-29604456(+)	5571	False	0.7623	2	254.0	50.0		68.0		18.0	68.0		2.0	49.0	154.0	106.0	99.0		49.0	18.0	19.0	50.0	20.0		50.0	1.0	2.0		1.0	49.0	87.0	116.0	19.0	50.0			19.0		22.0	49.0		186.0			69.0	1.0			19.0								49.0	2.0	1.0	1.0		19.0	2.0		19.0
NC_073256.2	-1::NC_073256.2:49415411-49422779(-)	7368	False	0.3511	2	11.0	57.0	44.0	21.0	32.0	20.0	29.0	54.0	19.0	25.0	9.0	7.0	40.0	6.0	43.0	24.0	30.0	32.0	14.0	39.0	5.0	69.0	37.0	52.0	30.0	1.0	6.0	17.0	66.0	80.0	47.0	74.0	57.0	28.0	58.0	15.0	88.0	2.0	43.0	44.0		59.0	44.0	34.0	48.0	18.0	24.0	34.0	26.0	155.0	122.0	158.0	3.0	61.0	6.0	39.0	8.0	91.0	67.0	19.0	65.0
NC_073256.2	2::NC_073256.2:70261426-70267168(+)	5742	False	0.3689	1	8.0	39.0	34.0	16.0	24.0	35.0	31.0	40.0	19.0	18.0	10.0	13.0	34.0	2.0	36.0	20.0	16.0	43.0	9.0	36.0	1.0	66.0	19.0	35.0	11.0	2.0	14.0	13.0	46.0	64.0	38.0	56.0	50.0	14.0	60.0	14.0	51.0		29.0	32.0	3.0	47.0	36.0	32.0	35.0	17.0	16.0	32.0	28.0	99.0	104.0	111.0		36.0	5.0	34.0	4.0	77.0	42.0	7.0	51.0
NC_073256.2	3::NC_073256.2:92585510-92590982(+)	5472	False	0.4733	2	17.0	24.0	21.0	15.0	11.0	16.0	61.0	29.0	28.0	15.0	39.0	24.0	15.0	7.0	33.0	13.0	32.0	41.0	8.0	30.0	19.0	37.0	32.0	20.0	37.0	12.0	29.0	29.0	46.0	47.0	18.0	18.0	23.0	27.0	32.0	16.0	27.0	7.0	16.0	20.0	9.0	68.0	40.0	23.0	89.0	21.0	25.0	77.0	21.0	85.0	45.0	83.0	6.0	15.0	10.0	40.0	18.0	58.0	34.0	24.0	42.0
NC_073256.2	-2::NC_073256.2:160452769-160474345(-)	21576	False	0.7128	1	252.0	2.0	1.0	2.0			588.0	1.0	41.0	1.0	1339.0	71.0	6.0		1.0	55.0	5.0	2.0			9.0	1.0	646.0	4.0	40.0	313.0	955.0	70.0		2.0		374.0	341.0	752.0	4.0		2.0	30.0		1.0	34.0	1.0	273.0	207.0	12.0	3.0		8.0		1.0	1.0	2.0			25.0	62.0	285.0		360.0	4.0	3.0
NC_073256.2	-1::NC_073256.2:160452803-160474382(-)	21579	False	0.7131	1	205.0				1.0		726.0	2.0	34.0	3.0	1289.0	60.0	7.0			59.0	2.0		2.0		7.0	1.0	577.0		56.0	326.0	1022.0	45.0		4.0		296.0	271.0	732.0	7.0			21.0	1.0	3.0	39.0	2.0	289.0	248.0	8.0			14.0			3.0				23.0	75.0	344.0		382.0	3.0	4.0
NC_073256.2	-3::NC_073256.2:160452855-160461573(-)	8718	False	0.715	1	100.0			1.0	1.0	1.0	282.0		19.0		547.0	27.0	2.0			16.0	2.0				4.0		250.0		24.0	112.0	349.0	30.0		1.0		154.0	137.0	319.0	4.0			10.0			9.0		98.0	96.0	1.0			4.0							11.0	32.0	140.0		123.0		
NC_073256.2	-3::NC_073256.2:160461576-160474362(-)	12786	False	0.7131	1	137.0	1.0		3.0			468.0	1.0	26.0	1.0	780.0	41.0	2.0		1.0	23.0	5.0				1.0		346.0		35.0	155.0	522.0	36.0		2.0		205.0	188.0	479.0	3.0	1.0		12.0			18.0	2.0	131.0	164.0	1.0	1.0	3.0	7.0		1.0		1.0			18.0	44.0	221.0		175.0	1.0	
NC_073256.2	-2::NC_073256.2:161342506-161362642(-)	20136	False	0.7031	2	181.0	1.0	15.0	74.0	5.0	15.0	19.0	62.0	212.0	11.0	198.0	375.0	26.0	23.0	45.0	33.0	136.0	100.0	58.0	21.0	51.0	10.0	129.0	17.0	569.0	176.0	194.0	537.0	146.0	19.0	11.0	9.0	24.0	109.0	535.0	159.0	13.0	117.0	20.0	5.0	245.0	15.0	314.0	22.0	427.0	171.0	122.0	62.0	345.0	13.0	2.0	23.0	76.0	3.0	27.0	49.0	116.0	26.0	35.0	140.0	19.0
NC_073256.2	2::NC_073256.2:161342530-161355964(+)	13434	False	0.7319	2	136.0		36.0	2.0	103.0	159.0	18.0	8.0			122.0	414.0		81.0	93.0	14.0	9.0		32.0		132.0	8.0	1.0	87.0	285.0	40.0	391.0	287.0	1.0	8.0	1.0			236.0	119.0	232.0		216.0		70.0	87.0	8.0	118.0	97.0	376.0	8.0	2.0	41.0	68.0	8.0		77.0	24.0		66.0	17.0	17.0	114.0	8.0		1.0
NC_073256.2	-1::NC_073256.2:161405330-161411567(-)	6237	False	0.6607	2	20.0		3.0	15.0	1.0	13.0	10.0	25.0	65.0	5.0	50.0	118.0	4.0	14.0	23.0	13.0	40.0	28.0	8.0	6.0	11.0	8.0	54.0	10.0	174.0	62.0	50.0	110.0	97.0	11.0	3.0	8.0	11.0	27.0	190.0	34.0	6.0	28.0	2.0	5.0	67.0	2.0	89.0	3.0	125.0	85.0	41.0	7.0	95.0	3.0	5.0	13.0	24.0		5.0	15.0	45.0	12.0	10.0	60.0	11.0
NC_073256.2	3::NC_073256.2:162461573-162469805(+)	8232	False	0.6348	0	146.0		52.0	1.0	34.0	14.0	231.0		21.0	14.0	20.0	134.0		8.0	165.0	128.0	3.0	6.0	157.0	55.0	9.0	1.0	116.0	7.0	430.0	5.0	5.0	120.0		17.0	26.0		12.0		2.0	124.0		4.0	393.0		3.0		1.0	3.0	2.0	21.0	2.0	1.0	210.0				1.0			3.0	3.0			31.0	3.0
NC_073256.2	2::NC_073256.2:162464572-162471826(+)	7254	False	0.6376	0	160.0	3.0	46.0	1.0	37.0	12.0	233.0		14.0	9.0	16.0	126.0		8.0	156.0	128.0	1.0	2.0	105.0	49.0	9.0		122.0	2.0	344.0	2.0	2.0	79.0		12.0	23.0		14.0		4.0	94.0			340.0		11.0		3.0			10.0			203.0				1.0	1.0		2.0				29.0	5.0
NC_073256.2	2::NC_073256.2:162472306-162477724(+)	5418	False	0.632	0	95.0		38.0	2.0	22.0	8.0	169.0		12.0	7.0	7.0	90.0		3.0	114.0	93.0		4.0	98.0	34.0	4.0		80.0	5.0	283.0		3.0	73.0		6.0	19.0		7.0	2.0	4.0	73.0		4.0	258.0	1.0			5.0	4.0		15.0	3.0		137.0						1.0		1.0		2.0	19.0	1.0
NC_073256.2	3::NC_073256.2:162472517-162477707(+)	5190	False	0.632	0	104.0	2.0	40.0		26.0	3.0	150.0		12.0	4.0	10.0	76.0		2.0	98.0	89.0	2.0	5.0	95.0	39.0	3.0	2.0	81.0	2.0	278.0	2.0	2.0	76.0		6.0	14.0		12.0			81.0	2.0	3.0	252.0		3.0		5.0	3.0		13.0		1.0	112.0				1.0				2.0			14.0	3.0
NC_073256.2	-2::NC_073256.2:162784594-162793672(-)	9078	False	0.5003	0							261.0	260.0	1251.0	1250.0	1.0																						1.0										1.0					1.0													
NC_073256.2	3::NC_073256.2:162784595-162793673(+)	9078	False	0.5002	0	262.0	260.0	1251.0	1250.0	1.0	1.0																										1.0																													
NC_073256.2	1::NC_073256.2:162784608-162789711(+)	5103	False	0.5005	0	850.0	849.0				1.0																																							1.0																
NC_073256.2	-1::NC_073256.2:162784613-162789716(-)	5103	False	0.5005	0							849.0	849.0			2.0																																																	1.0	
NC_073254.2	3::NC_073254.2:15616277-15624254(+)	7977	False	0.7433	2	3.0	1.0	1.0	5.0	1.0	1.0	143.0		138.0	2.0	340.0	2.0	67.0	1.0	143.0	82.0	71.0	2.0	3.0	10.0	135.0	1.0	75.0	14.0	77.0		204.0	138.0	72.0	5.0		5.0	7.0	73.0	1.0	1.0		3.0		3.0	264.0	67.0	71.0	3.0	72.0	2.0	3.0	70.0	2.0	1.0		1.0	128.0			139.0	1.0		2.0	1.0	2.0
NC_073254.2	2::NC_073254.2:15616363-15624085(+)	7722	False	0.7479	1				2.0			138.0		136.0		335.0	3.0	68.0	1.0	140.0	79.0	70.0			8.0	132.0		71.0	10.0	74.0	1.0	202.0	133.0	67.0	1.0		2.0	4.0	72.0	1.0	2.0			1.0	1.0	263.0	69.0	72.0	1.0	70.0		1.0	68.0		2.0			131.0			139.0	1.0	1.0	1.0		1.0
NC_073254.2	-1::NC_073254.2:15616468-15624061(-)	7593	False	0.7503	0	333.0			136.0		135.0	1.0					133.0		1.0	69.0	138.0	137.0		68.0	68.0		4.0	1.0	67.0	68.0	132.0			9.0	67.0					198.0	69.0		263.0	1.0			8.0	1.0	71.0	73.0				70.0	1.0					130.0	78.0	1.0				
NC_073254.2	1::NC_073254.2:15616476-15624231(+)	7755	False	0.7478	1				2.0			141.0		137.0	1.0	338.0	4.0	68.0	1.0	142.0	79.0	69.0		1.0	8.0	131.0	1.0	69.0	9.0	75.0		205.0	134.0	67.0		1.0	3.0	4.0	77.0	1.0	2.0		1.0	4.0		260.0	67.0	68.0		70.0	1.0	2.0	71.0					132.0			137.0	1.0				1.0
NC_073254.2	-3::NC_073254.2:15617882-15623909(-)	6027	False	0.7541	0	267.0			109.0		108.0						108.0			54.0	108.0	110.0		54.0	54.0		1.0	1.0	54.0	54.0	108.0			3.0	53.0					161.0	54.0		213.0				4.0	1.0	54.0	55.0			2.0	55.0						104.0	59.0	1.0				
NC_073254.2	-2::NC_073254.2:15617997-15624084(-)	6087	False	0.7526	0	268.0			111.0		108.0						109.0		1.0	54.0	109.0	111.0		56.0	54.0		2.0		55.0	54.0	105.0		3.0	4.0	54.0					163.0	54.0		212.0				5.0	1.0	54.0	58.0				56.0						107.0	60.0	1.0				
NC_073254.2	-3::NC_073254.2:17774396-17780129(-)	5733	False	0.6232	0	3.0	3.0	2.0	2.0		4.0	5.0	117.0	179.0		140.0	3.0	6.0		4.0	5.0	91.0	4.0	4.0		92.0	1.0	96.0	2.0	3.0	9.0	114.0	2.0		6.0		9.0	79.0	171.0	3.0		12.0		1.0	9.0	1.0	48.0	8.0	7.0	98.0	2.0	11.0	210.0	2.0	32.0	1.0	95.0	2.0	1.0	81.0	120.0	3.0	1.0	5.0	1.0	1.0
NC_073254.2	-1::NC_073254.2:17774704-17780362(-)	5658	False	0.6241	0		2.0		1.0	1.0	3.0	2.0	155.0	201.0		124.0		2.0			2.0	100.0			1.0	90.0	2.0	112.0	1.0	5.0	17.0	79.0			1.0		12.0	94.0	190.0			7.0			11.0	3.0	28.0	17.0	10.0	125.0		12.0	201.0	1.0	26.0	2.0	75.0		1.0	76.0	91.0			2.0		1.0
NC_073254.2	2::NC_073254.2:26767291-26773354(+)	6063	False	0.4445	1	17.0	32.0	38.0	22.0	20.0	19.0	54.0	23.0	24.0	16.0	36.0	19.0	31.0	7.0	42.0	10.0	29.0	27.0	7.0	42.0	8.0	58.0	41.0	37.0	43.0	10.0	14.0	27.0	57.0	71.0	17.0	74.0	44.0	27.0	47.0	18.0	20.0		28.0	42.0	4.0	57.0	35.0	35.0	86.0	22.0	17.0	60.0	40.0	79.0	75.0	78.0	10.0	30.0	9.0	33.0	11.0	44.0	50.0	10.0	38.0
NC_073254.2	2::NC_073254.2:61183264-61189363(+)	6099	False	0.4381	2	22.0	33.0	36.0	20.0	38.0	16.0	38.0	27.0	16.0	18.0	20.0	29.0	32.0	6.0	36.0	25.0	23.0	31.0	26.0	38.0	13.0	38.0	18.0	46.0	57.0	15.0	20.0	32.0	51.0	41.0	53.0	30.0	26.0	12.0	69.0	26.0	57.0	10.0	33.0	27.0	13.0	29.0	42.0	37.0	64.0	16.0	24.0	29.0	56.0	76.0	61.0	106.0	13.0	39.0	5.0	35.0	8.0	71.0	41.0	17.0	47.0
NC_073254.2	-2::NC_073254.2:71077476-71083020(-)	5544	False	0.3743	2	11.0	47.0	35.0	14.0	25.0	26.0	31.0	27.0	13.0	21.0	13.0	15.0	28.0	5.0	31.0	7.0	28.0	39.0	6.0	32.0	1.0	50.0	16.0	46.0	28.0	1.0	12.0	17.0	29.0	50.0	26.0	48.0	48.0	8.0	45.0	9.0	65.0	1.0	29.0	27.0		46.0	39.0	52.0	44.0	18.0	13.0	30.0	16.0	89.0	85.0	132.0	2.0	34.0	2.0	26.0	4.0	108.0	50.0	9.0	39.0
NC_073254.2	2::NC_073254.2:107336422-107343595(+)	7173	False	0.3789	1	17.0	48.0	44.0	14.0	39.0	35.0	55.0	45.0	28.0	22.0	11.0	13.0	34.0	8.0	56.0	15.0	19.0	42.0	7.0	38.0	6.0	64.0	30.0	43.0	22.0	8.0	14.0	19.0	68.0	61.0	29.0	63.0	62.0	20.0	45.0	16.0	59.0	2.0	54.0	44.0	5.0	66.0	30.0	31.0	72.0	8.0	13.0	58.0	41.0	143.0	137.0	135.0	5.0	34.0	15.0	50.0	5.0	65.0	65.0	18.0	76.0
NC_073254.2	-3::NC_073254.2:162743519-162749024(-)	5505	False	0.4979	2	31.0	20.0	22.0	23.0	13.0	23.0	66.0	25.0	23.0	12.0	36.0	29.0	20.0	3.0	35.0	12.0	50.0	43.0	15.0	30.0	14.0	41.0	44.0	28.0	39.0	14.0	15.0	26.0	62.0	47.0	29.0	57.0	26.0	37.0	67.0	17.0	30.0	7.0	20.0	28.0	8.0	35.0	31.0	38.0	80.0	25.0	21.0	58.0	30.0	50.0	20.0	66.0	10.0	11.0	7.0	37.0	12.0	36.0	31.0	14.0	36.0
NC_073254.2	1::NC_073254.2:171373308-171378375(+)	5067	False	0.5037	2	33.0	19.0	29.0	12.0	23.0	16.0	34.0	6.0	38.0	7.0	29.0	17.0	16.0	3.0	50.0	4.0	26.0	20.0	8.0	14.0	10.0	23.0	36.0	14.0	21.0	6.0	9.0	37.0	60.0	38.0	3.0	35.0	32.0	15.0	137.0	31.0	17.0	8.0	6.0	10.0	3.0	34.0	42.0	40.0	59.0	9.0	10.0	34.0	52.0	84.0	9.0	164.0	5.0	13.0	1.0	53.0	13.0	53.0	42.0		17.0
NC_073254.2	-1::NC_073254.2:177881587-177889573(-)	7986	False	0.6675	1	2.0	2.0	3.0	7.0		3.0	381.0	6.0	154.0	19.0	270.0	3.0	6.0	4.0	10.0	7.0	6.0	1.0	7.0	1.0	7.0	3.0	459.0	15.0	13.0	2.0	431.0	15.0	6.0	16.0	1.0	16.0	126.0	241.0	4.0	3.0	2.0	3.0	4.0	7.0	15.0	3.0	8.0	2.0	10.0	4.0	17.0	271.0	7.0	5.0	2.0	3.0	5.0		2.0	10.0	2.0	5.0	8.0	17.0	
NC_073254.2	-3::NC_073254.2:177881699-177889148(-)	7449	False	0.6739	1	3.0	1.0	2.0			2.0	324.0	3.0	165.0	15.0	262.0	1.0	2.0		6.0	5.0	2.0		2.0	2.0	9.0	4.0	474.0	8.0	5.0	1.0	455.0	7.0	1.0	9.0		11.0	123.0	257.0	1.0	3.0	1.0			2.0	11.0	8.0	3.0		7.0	5.0	11.0	232.0	1.0		1.0	2.0	5.0		2.0	4.0	1.0		4.0	14.0	4.0
NC_073254.2	-2::NC_073254.2:177881889-177889524(-)	7635	False	0.6723	1	6.0	1.0	2.0	3.0			354.0	2.0	140.0	14.0	261.0	4.0	1.0	3.0	1.0	8.0	7.0	4.0	2.0	2.0	11.0	1.0	423.0	18.0	8.0	1.0	480.0	13.0	2.0	11.0	2.0	8.0	124.0	273.0	1.0	2.0	3.0		2.0	2.0	5.0	6.0	3.0	4.0	8.0	5.0	12.0	263.0	3.0		2.0	1.0	2.0		1.0	5.0	1.0		6.0	17.0	1.0
NC_073254.2	-3::NC_073254.2:188186627-188192957(-)	6330	False	0.6276	1	87.0	2.0	69.0	5.0		44.0	28.0	41.0	40.0		27.0	69.0	77.0	39.0	3.0	3.0	30.0	4.0	52.0	2.0	99.0	32.0	148.0		5.0	115.0	52.0	45.0	2.0	3.0		30.0	42.0	84.0	78.0		9.0	48.0			3.0	8.0	29.0	81.0	50.0	42.0	55.0	70.0	31.0	83.0	41.0	57.0		1.0	27.0	38.0	76.0	2.0	2.0		
NC_073254.2	-2::NC_073254.2:188186700-188192712(-)	6012	False	0.6304	1	66.0		42.0	5.0		38.0	12.0	37.0	23.0		28.0	83.0	59.0	27.0	3.0	1.0	40.0	3.0	46.0	1.0	84.0	30.0	124.0		4.0	156.0	50.0	40.0				41.0	39.0	77.0	62.0	1.0	6.0	42.0		1.0	6.0	10.0	42.0	52.0	76.0	39.0	83.0	67.0	41.0	65.0	53.0	85.0			41.0	23.0	47.0			1.0	2.0
NC_073254.2	-1::NC_073254.2:188186797-188192935(-)	6138	False	0.629	0	68.0		73.0	3.0		28.0	28.0	24.0	39.0		29.0	65.0	67.0	42.0			38.0	3.0	32.0		116.0	19.0	110.0		6.0	135.0	65.0	28.0				39.0	27.0	54.0	64.0		11.0	32.0	1.0		5.0	8.0	39.0	85.0	72.0	27.0	77.0	83.0	39.0	71.0	50.0	79.0			39.0	41.0	84.0	1.0			
NC_073254.2	2::NC_073254.2:188264023-188289880(+)	25857	False	0.6916	1	742.0			537.0	3.0	235.0	352.0	1.0		118.0	114.0	351.0	3.0	118.0	114.0	239.0		6.0	232.0	2.0		3.0	345.0	5.0	343.0	155.0	118.0	115.0	3.0	3.0		73.0	115.0	467.0	3.0	232.0		229.0	1.0	117.0	223.0	1.0	340.0	341.0	538.0	118.0	3.0	120.0	121.0	1.0	4.0	9.0	41.0	1.0		349.0	227.0		573.0	114.0	1.0
