clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ACT	codon_TAA	codon_CCC	codon_GCC	codon_GCA	codon_CCG	codon_TGA	codon_CAA	codon_ATT	codon_AGT	codon_CAG	codon_CTC	codon_TCC	codon_TTC	codon_CGG	codon_GGT	codon_CTT	codon_CGA	codon_TCA	codon_GAG	codon_TTT	codon_GGC	codon_AGC	codon_GAT	codon_AGG	codon_GAC	codon_GTT	codon_GTG	codon_GCG	codon_TAG
NC_073239.2	1::NC_073239.2:61459074-61464846	5772	False	0.4662	0	17.0		12.0	4.0	2.0	3.0	4.0	1.0	242.0	9.0		30.0	12.0	1.0	7.0	49.0	13.0	4.0		3.0	7.0	3.0		235.0	2.0	13.0		7.0	3.0	2.0	3.0	49.0	12.0	55.0	15.0		9.0	4.0	11.0	40.0		6.0	239.0	6.0	5.0	9.0	272.0	299.0	40.0	51.0	13.0	1.0	14.0	4.0	16.0	1.0		3.0	7.0	2.0	48.0	5.0		
NC_073239.2	1::NC_073239.2:61599228-61605210	5982	False	0.4641	0	25.0	2.0	6.0	2.0	2.0	1.0	4.0	1.0	261.0	12.0		24.0	8.0	7.0	7.0	63.0	15.0	3.0		2.0	17.0	5.0	1.0	229.0	2.0	6.0	1.0	8.0		2.0	1.0	43.0	13.0	45.0	9.0		19.0	5.0	5.0	39.0		5.0	261.0	5.0	9.0	6.0	295.0	293.0	45.0	37.0	25.0	4.0	15.0	3.0	28.0	1.0		7.0	4.0	3.0	44.0	6.0	3.0	
NC_073239.2	2::NC_073239.2:61701880-61709764	7884	False	0.4646	0	25.0		22.0	10.0	1.0	3.0	5.0	2.0	340.0	13.0		51.0	8.0	7.0	1.0	81.0	11.0	9.0		3.0	23.0		2.0	314.0	4.0	4.0	1.0	11.0	2.0		10.0	52.0	16.0	47.0	4.0		18.0	1.0	14.0	33.0		11.0	334.0	12.0	9.0	16.0	403.0	409.0	61.0	49.0	20.0	7.0	19.0	2.0	24.0	1.0		2.0	12.0		85.0	3.0	1.0	
NC_073239.2	1::NC_073239.2:61711788-61719360	7572	False	0.465	0	21.0		22.0	10.0		2.0	5.0	2.0	328.0	14.0		51.0	6.0	7.0	2.0	75.0	12.0	9.0		4.0	24.0		2.0	296.0	4.0	4.0	1.0	10.0	2.0		10.0	52.0	16.0	47.0	5.0		18.0	1.0	13.0	35.0		11.0	318.0	12.0	10.0	16.0	385.0	389.0	55.0	49.0	19.0	6.0	19.0	3.0	25.0	1.0		1.0	11.0		80.0	3.0	1.0	
NC_073239.2	1::NC_073239.2:61826907-61832106	5199	False	0.4605	0	16.0		3.0	2.0	4.0	3.0	3.0		230.0	2.0		21.0	16.0	5.0	7.0	38.0	9.0	2.0	2.0	2.0	7.0	4.0	1.0	219.0	2.0	5.0		2.0	1.0	1.0	2.0	42.0	12.0	51.0	5.0		12.0		9.0	34.0		14.0	226.0	2.0	6.0	4.0	265.0	271.0	34.0	54.0	9.0	1.0	10.0	1.0	25.0	1.0	2.0	1.0	2.0	1.0	28.0	2.0		
NC_073239.2	3::NC_073239.2:61846658-61851857	5199	False	0.4605	0	16.0		3.0	2.0	4.0	3.0	3.0		230.0	2.0		21.0	16.0	5.0	7.0	38.0	9.0	2.0	2.0	2.0	7.0	4.0	1.0	219.0	2.0	5.0		2.0	1.0	1.0	2.0	42.0	12.0	51.0	5.0		12.0		9.0	34.0		14.0	226.0	2.0	6.0	4.0	265.0	271.0	34.0	54.0	9.0	1.0	10.0	1.0	25.0	1.0	2.0	1.0	2.0	1.0	28.0	2.0		
NC_073239.2	1::NC_073239.2:61856211-61861491	5280	False	0.46	0	15.0		5.0	2.0	4.0	3.0	3.0		236.0	4.0		24.0	14.0	7.0	8.0	31.0	10.0	2.0	2.0	2.0	7.0	3.0	1.0	232.0	2.0	1.0		2.0	2.0		2.0	39.0	12.0	55.0	4.0		10.0		9.0	34.0		12.0	227.0	3.0	6.0	4.0	262.0	286.0	30.0	57.0	10.0		14.0	2.0	23.0		2.0	1.0	1.0	1.0	28.0	3.0	1.0	
NC_073239.2	1::NC_073239.2:61864686-61870563	5877	False	0.4662	0	17.0		20.0	6.0		1.0	5.0	1.0	259.0	4.0		28.0	2.0	5.0	7.0	54.0	9.0	2.0		4.0	12.0	3.0	2.0	225.0	4.0	2.0		3.0	1.0	1.0	7.0	51.0	9.0	47.0	8.0		13.0		9.0	20.0		10.0	238.0	10.0	6.0	11.0	290.0	311.0	54.0	52.0	16.0	6.0	23.0	1.0	14.0				9.0	1.0	63.0	3.0		
NC_073239.2	3::NC_073239.2:121851275-121863776	12501	False	0.5473	1	148.0	9.0	29.0	78.0	318.0	69.0	399.0	6.0	291.0	94.0	2.0		1.0	286.0	12.0	149.0	132.0	38.0	1.0	1.0	202.0	5.0	3.0	551.0	5.0	13.0			2.0		7.0	33.0	6.0	3.0	97.0		155.0	5.0	7.0	40.0		9.0	39.0	3.0	7.0	267.0	407.0	40.0			20.0	1.0	138.0		28.0		2.0			2.0	2.0	4.0	1.0	
NC_073239.2	1::NC_073239.2:121851312-121863879	12567	False	0.5471	1	148.0	9.0	25.0	71.0	325.0	69.0	385.0	6.0	299.0	93.0		1.0	1.0	292.0	15.0	156.0	127.0	34.0	2.0	1.0	197.0	4.0	4.0	545.0	6.0	11.0		1.0	2.0		9.0	40.0	5.0	1.0	110.0		153.0	3.0	8.0	39.0		10.0	38.0	2.0	8.0	281.0	398.0	47.0			16.0	1.0	150.0		25.0		5.0	1.0		1.0	4.0	4.0	1.0	
NC_073239.2	2::NC_073239.2:121851316-121863820	12504	False	0.5477	1	152.0	10.0	24.0	88.0	313.0	63.0	390.0	6.0	300.0	98.0			1.0	288.0	12.0	159.0	119.0	38.0			199.0	4.0	3.0	536.0	3.0	11.0	1.0				7.0	38.0	3.0	2.0	100.0		156.0	10.0	8.0	34.0		12.0	42.0	5.0	4.0	260.0	417.0	42.0			16.0	1.0	158.0		25.0		3.0			1.0	1.0	4.0	1.0	
NC_073239.2	-2::NC_073239.2:121936319-121953572	17253	False	0.589	2	44.0	40.0	18.0		53.0	31.0	384.0	45.0	193.0	210.0	105.0	308.0	44.0	156.0	69.0	318.0	72.0	16.0	41.0	1.0	40.0	9.0	2.0	15.0	7.0		114.0	110.0	38.0	151.0	132.0	20.0	37.0	6.0	57.0	17.0	137.0	181.0	7.0	21.0	41.0	29.0	12.0	74.0	265.0	294.0	86.0	115.0	62.0	44.0	400.0	50.0		159.0	209.0	238.0	89.0	48.0	96.0	97.0	13.0	56.0	11.0	14.0
NC_073239.2	-1::NC_073239.2:124189851-124196211	6360	False	0.5734	0			4.0			14.0	2.0		4.0	8.0		9.0		3.0		133.0	128.0	10.0	3.0		9.0		4.0	1.0	4.0		16.0	9.0	4.0	7.0	20.0	3.0	7.0	2.0		1.0		239.0	1.0	3.0		10.0	1.0	21.0	165.0	52.0	14.0	16.0	5.0	341.0	1.0			5.0	192.0	8.0	6.0	10.0	428.0	4.0	21.0	2.0	2.0	168.0
NC_073239.2	-2::NC_073239.2:124198133-124205189	7056	False	0.5736	0			3.0			17.0	2.0		6.0	7.0		8.0		3.0	1.0	149.0	141.0	10.0	3.0		9.0		5.0	1.0	4.0		16.0	9.0	3.0	7.0	18.0	2.0	6.0	2.0		2.0		271.0	1.0	4.0		11.0	1.0	24.0	179.0	57.0	17.0	17.0	7.0	378.0	3.0	1.0		7.0	215.0	6.0	6.0	10.0	481.0	3.0	24.0	2.0	3.0	190.0
NC_073239.2	-2::NC_073239.2:131680415-131687726	7311	False	0.5092	0												1.0																48.0						18.0																1062.0									156.0		156.0			996.0
NC_073239.2	1::NC_073239.2:131680416-131687727	7311	False	0.5091	0												204.0														156.0																							18.0	1.0									996.0		1062.0			
NC_073239.2	-1::NC_073239.2:131680422-131686797	6375	False	0.5106	0												49.0																																					18.0										996.0		1062.0			
NC_073239.2	2::NC_073239.2:131680423-131686798	6375	False	0.5104	0												1062.0														996.0							48.0															18.0		1.0														
NC_073233.2	-2::NC_073233.2:583-8767	8184	False	0.5022	0	1207.0	1201.0	1.0		12.0															1.0				6.0												146.0	150.0																				4.0							
NC_073233.2	3::NC_073233.2:584-8768	8184	False	0.5023	0	147.0	146.0	1.0	1207.0	1202.0																			4.0													11.0	4.0				6.0																						
NC_073233.2	2::NC_073233.2:1465-9133	7668	False	0.5026	0	1207.0	1201.0	1.0	61.0	71.0																			6.0													5.0																				4.0							
NC_073233.2	-3::NC_073233.2:1470-9132	7662	False	0.5025	0	61.0	66.0	5.0		1.0																															1198.0	1216.0					3.0																						4.0
NC_073233.2	-1::NC_073233.2:7462739-7476872	14133	False	0.5658	2	38.0	28.0	5.0		29.0	15.0	72.0	4.0	66.0	75.0	86.0	138.0	39.0	1.0	61.0	2.0	397.0	68.0	30.0	28.0	21.0	5.0	3.0	9.0	4.0		139.0	268.0	15.0	294.0	158.0	80.0	41.0	3.0	97.0	1.0	83.0	52.0	3.0	8.0	137.0	30.0	11.0	217.0	21.0	12.0	20.0	33.0	35.0	648.0	36.0	22.0		55.0	45.0	194.0	19.0	116.0	191.0	55.0	30.0	270.0	2.0	46.0
NC_073233.2	2::NC_073233.2:7549030-7557646	8616	False	0.6105	2	90.0	4.0	3.0	5.0	733.0	1.0	6.0	1.0	1.0	18.0	5.0	8.0	8.0	101.0	16.0	11.0	12.0	12.0	10.0	4.0	12.0	365.0	112.0	342.0		1.0	4.0	14.0	7.0	15.0	8.0	1.0	6.0	18.0	149.0		205.0	17.0	10.0	35.0		7.0	5.0	38.0	86.0	4.0	13.0	6.0	1.0	9.0	15.0	1.0	5.0	18.0	6.0	85.0	84.0	8.0	5.0	12.0	5.0	88.0	1.0	
NC_073233.2	1::NC_073233.2:7551588-7557207	5619	False	0.62	1	4.0	263.0	101.0		169.0	12.0	457.0	2.0	78.0			1.0	1.0	16.0	1.0	1.0	1.0		2.0			69.0		1.0			2.0	12.0	2.0		1.0	1.0					235.0	7.0	6.0			1.0	2.0	4.0	41.0	1.0	6.0		66.0	75.0			1.0	23.0			2.0	1.0		204.0		1.0		
NC_073233.2	-2::NC_073233.2:7551637-7557214	5577	False	0.6204	1	11.0				525.0		1.0			4.0		1.0		83.0				6.0		2.0		296.0	100.0	222.0					3.0	2.0	1.0		2.0	15.0	95.0		149.0	1.0	3.0	34.0				26.0	75.0		4.0							2.0		76.0	40.0				1.0	79.0		
NC_073233.2	3::NC_073233.2:7640486-7654049	13563	False	0.5791	2	306.0	56.0	23.0	1.0	611.0	4.0	37.0	14.0	26.0	33.0	40.0	37.0	4.0	93.0	89.0	17.0	13.0	15.0	44.0	5.0	295.0	540.0	17.0	56.0	8.0		53.0	28.0	24.0	70.0	133.0	17.0	10.0	13.0	179.0		175.0	144.0	19.0	28.0		14.0	3.0	19.0	102.0	31.0	108.0	24.0	23.0	58.0	5.0	18.0	23.0	68.0	13.0	44.0	427.0	1.0	36.0	56.0	68.0	99.0	4.0	
NC_073233.2	3::NC_073233.2:7703066-7715603	12537	False	0.6397	2	48.0	29.0	32.0	10.0	555.0	6.0	70.0	32.0	5.0	126.0	19.0	92.0	15.0	87.0	57.0	36.0	29.0	65.0	30.0	16.0	51.0	289.0	146.0	136.0	2.0	1.0	8.0	64.0	29.0	27.0	41.0	13.0	14.0	24.0	162.0		251.0	256.0	70.0	62.0		4.0	1.0	27.0	86.0	35.0	283.0	36.0	18.0	30.0	32.0	4.0	32.0	81.0	29.0	110.0	134.0	2.0	35.0	43.0	8.0	136.0	8.0	
NC_073233.2	-2::NC_073233.2:13052062-13059364	7302	False	0.4274	2	31.0	29.0	18.0		17.0	23.0	39.0	3.0	57.0	88.0	47.0	20.0	67.0	72.0	50.0	51.0	57.0	32.0	41.0	41.0	42.0	29.0	4.0	46.0	24.0		46.0	26.0	66.0	32.0	38.0	7.0	70.0	8.0	39.0	27.0	23.0	20.0	20.0	5.0	34.0	50.0	70.0	39.0	68.0	82.0	35.0	118.0	1.0	32.0	69.0	2.0		53.0	121.0	41.0	39.0	41.0	28.0	33.0	51.0	41.0	3.0	28.0
NC_073233.2	3::NC_073233.2:17639276-17663846	24570	False	0.5694	2	30.0	1.0	3.0		2.0		4.0	9.0	1.0	384.0		2.0	2.0		439.0	484.0	815.0	2.0	2.0	1.0	2217.0	3.0			4.0			1.0			2.0	393.0					196.0	11.0	1.0	55.0			1.0		2.0	1776.0	70.0	23.0			19.0		1.0			1.0	1.0	1.0		1.0	2.0	790.0	438.0	
NC_073233.2	2::NC_073233.2:17639302-17663854	24552	False	0.5694	2	28.0		1.0				4.0	13.0	2.0	443.0	2.0	1.0		2.0	439.0	489.0	789.0	1.0			2149.0	2.0		4.0	2.0	1.0		1.0	2.0	1.0	2.0	489.0	5.0		1.0		195.0	12.0		47.0		1.0	1.0			1777.0	72.0	20.0		2.0	15.0		1.0	1.0	3.0				1.0		4.0	804.0	355.0	
NC_073233.2	-3::NC_073233.2:17639316-17663802	24486	False	0.5694	1	35.0				1.0	3.0	2.0	11.0	1.0	488.0				1.0	358.0	464.0	815.0	1.0		1.0	2197.0	3.0		1.0							1.0	482.0			1.0	1.0	174.0	10.0		64.0					1.0	1740.0	84.0	16.0		1.0	19.0				6.0				1.0		3.0	738.0	438.0	
NC_073233.2	-1::NC_073233.2:17639321-17663885	24564	False	0.5693	1	30.0	2.0	2.0		1.0	1.0	4.0	9.0	1.0	384.0		2.0	2.0		439.0	483.0	813.0	1.0	2.0		2217.0	3.0			5.0			1.0			2.0	393.0					194.0	11.0	1.0	55.0	1.0			2.0	1.0	1776.0	70.0	23.0		1.0	21.0					2.0	1.0	1.0	1.0		2.0	789.0	438.0	1.0
NC_073233.2	-2::NC_073233.2:17639341-17663782	24441	False	0.5696	1	27.0							13.0		442.0				2.0	436.0	488.0	789.0	1.0			2148.0			1.0	1.0			1.0	1.0	1.0	2.0	489.0	4.0				193.0	11.0		47.0		1.0				1777.0	72.0	19.0			15.0				3.0						4.0	804.0	355.0	
NC_073233.2	1::NC_073233.2:17639364-17663817	24453	False	0.5696	1	35.0				1.0	3.0	2.0	11.0	1.0	486.0					357.0	465.0	813.0	1.0		1.0	2197.0	2.0									1.0	482.0			1.0		175.0	9.0		64.0						1739.0	84.0	16.0		1.0	19.0		1.0		4.0				1.0		3.0	738.0	438.0	
NC_073233.2	-2::NC_073233.2:20676751-20682424	5673	False	0.7069	1		6.0			4.0		2.0	1.0			55.0	481.0	3.0		2.0	2.0	1.0	11.0	55.0		1.0	8.0	11.0	2.0	3.0		90.0	18.0	11.0	307.0					2.0		1.0	2.0	20.0		4.0	1.0		9.0	19.0	1.0			8.0	11.0	2.0			356.0	1.0	20.0	2.0	12.0	313.0	12.0		12.0	7.0	2.0
NC_073233.2	-3::NC_073233.2:20676846-20682438	5592	False	0.7083	1	2.0	6.0	1.0								47.0	498.0		1.0			1.0	11.0	47.0			8.0	3.0	1.0	3.0		104.0	22.0	21.0	319.0			1.0			3.0			11.0		3.0	2.0		10.0	24.0	2.0	1.0		14.0	6.0		3.0		336.0		23.0	2.0	10.0	284.0	16.0		9.0	5.0	4.0
NC_073233.2	-1::NC_073233.2:20676863-20682476	5613	False	0.7087	1	1.0	3.0			1.0				1.0		60.0	490.0	2.0	1.0			1.0	11.0	49.0	1.0		12.0	6.0	3.0	5.0		96.0	21.0	13.0	309.0	1.0		1.0	1.0	1.0	1.0		1.0	11.0	1.0	2.0	1.0		6.0	25.0	1.0			15.0	6.0	1.0	3.0		323.0		15.0	3.0	9.0	323.0	8.0		14.0	10.0	2.0
NC_073233.2	-1::NC_073233.2:70434983-70452491	17508	False	0.4905	2	10.0	158.0	49.0		159.0	32.0	297.0	12.0	252.0	37.0	90.0	252.0	128.0	378.0	54.0	228.0	30.0	46.0	58.0	5.0	10.0	10.0	5.0	34.0	4.0		86.0	233.0	62.0	65.0	61.0	7.0	28.0	2.0	46.0	32.0	116.0	202.0	2.0	3.0	52.0	89.0	76.0	34.0	160.0	139.0	153.0	202.0	18.0	27.0	392.0	11.0		43.0	434.0	70.0	78.0	124.0	216.0	96.0	64.0	52.0	3.0	20.0
NC_073233.2	-2::NC_073233.2:116395417-116400799	5382	False	0.4231	2	40.0	19.0	21.0		19.0	17.0	19.0	2.0	25.0	49.0	26.0	32.0	32.0	50.0	22.0	39.0	51.0	32.0	24.0	20.0	57.0	15.0	6.0	12.0	13.0		65.0	43.0	48.0	35.0	41.0	7.0	39.0	7.0	48.0	31.0	17.0	19.0	7.0	1.0	74.0	20.0	72.0	38.0	19.0	47.0	27.0	89.0	4.0	19.0	35.0	6.0		11.0	78.0	19.0	33.0	15.0	45.0	15.0	39.0	21.0	2.0	16.0
NC_073233.2	-3::NC_073233.2:143512737-143520636	7899	False	0.5701	0			6.0			19.0	2.0		5.0	10.0		14.0		3.0		163.0	172.0	10.0	8.0		9.0		8.0		7.0		18.0	12.0	7.0	9.0	20.0	2.0	6.0	3.0		3.0	1.0	314.0	1.0	4.0	1.0	12.0	3.0	29.0	205.0	52.0	19.0	19.0	4.0	404.0	1.0			6.0	240.0	6.0	4.0	10.0	529.0	6.0	32.0	1.0		214.0
NC_073233.2	-2::NC_073233.2:143597515-143608078	10563	False	0.5727	0			5.0			24.0	4.0		6.0	11.0		17.0		6.0	1.0	220.0	220.0	13.0	10.0		11.0		10.0		13.0		25.0	14.0	6.0	9.0	26.0	1.0	9.0	5.0		4.0	2.0	427.0	2.0	4.0	2.0	15.0	4.0	41.0	276.0	70.0	27.0	20.0	5.0	538.0	3.0			7.0	322.0	10.0	6.0	12.0	725.0	6.0	37.0			290.0
NC_073233.2	-2::NC_073233.2:147864784-147871810	7026	False	0.5017	0						1.0						1.0																11.0																						1068.0									103.0		102.0			1056.0
NC_073233.2	3::NC_073233.2:147864785-147871811	7026	False	0.5016	0												114.0						1.0								102.0	1.0																							1.0									1055.0		1068.0			
NC_073233.2	-1::NC_073233.2:147865397-147872096	6699	False	0.5014	0						1.0						12.0						1.0	1.0								1.0																							23.0									1080.0		1093.0			21.0
NC_073233.2	1::NC_073233.2:147865398-147872097	6699	False	0.5013	0												1091.0						1.0							1.0	1082.0		1.0					11.0																	1.0				1.0					22.0		22.0			
NC_073240.2	-3::NC_073240.2:7713383-7718474	5091	False	0.4467	0		44.0	4.0		19.0	1.0	4.0			3.0	265.0	25.0	228.0	10.0	12.0		10.0	203.0	4.0	1.0	6.0	5.0	51.0	5.0	21.0		15.0	215.0	35.0	267.0				4.0	3.0	4.0	4.0		19.0	8.0	5.0	11.0	9.0	28.0	3.0		1.0	6.0	49.0	1.0	1.0	14.0		31.0				1.0	6.0	4.0	1.0	24.0		7.0
NC_073240.2	-2::NC_073240.2:13140813-13325778	184965	False	0.5194	1		2373.0	2.0		1.0	62.0			1.0	4.0	7104.0	4229.0	4119.0	6.0	129.0		17.0	4154.0	725.0	131.0		2.0	2437.0		18.0		122.0	7481.0	3502.0	10624.0		1.0	3.0	2.0	2.0	9.0			205.0	4.0	25.0	143.0	8.0	3418.0	65.0			1.0	2413.0	11.0		1.0		3554.0		71.0		117.0	859.0	2.0	1.0	3426.0	4.0	67.0
NC_073240.2	-1::NC_073240.2:13140892-13326112	185220	False	0.5193	1		2421.0			3.0	60.0				1.0	7121.0	4264.0	4188.0	5.0	141.0		20.0	4185.0	676.0	111.0		1.0	2372.0		15.0		134.0	7412.0	3491.0	10655.0		4.0	7.0	7.0	5.0	11.0	1.0		197.0	1.0	23.0	126.0	11.0	3391.0	84.0			3.0	2441.0	14.0	1.0	4.0		3542.0		66.0		120.0	889.0	2.0	1.0	3430.0	4.0	79.0
NC_073240.2	-3::NC_073240.2:13140998-13325723	184725	False	0.5195	1		2439.0			1.0	48.0				5.0	7074.0	4276.0	4098.0	1.0	124.0		24.0	4223.0	686.0	117.0			2410.0		22.0		130.0	7436.0	3495.0	10611.0		4.0	10.0	1.0	4.0	8.0	2.0		206.0		21.0	127.0	3.0	3406.0	69.0				2370.0	11.0		2.0		3571.0		84.0		138.0	841.0	2.0		3405.0	1.0	69.0
NC_073240.2	3::NC_073240.2:13225079-13231706	6627	False	0.5188	0		96.0				2.0					252.0	154.0	140.0		2.0		1.0	154.0	18.0	4.0			82.0		1.0		5.0	277.0	130.0	388.0			1.0						4.0			6.0		122.0	2.0				75.0					127.0		4.0		5.0	34.0			123.0		
NC_073240.2	1::NC_073240.2:13251582-13258887	7305	False	0.5217	0		91.0				2.0				1.0	282.0	166.0	158.0		9.0		1.0	152.0	33.0	3.0			96.0				4.0	305.0	140.0	420.0			2.0						9.0			6.0		137.0	2.0				91.0	1.0				142.0		2.0		4.0	36.0			140.0		
NC_073240.2	2::NC_073240.2:13252840-13257988	5148	False	0.5223	0		67.0				1.0					197.0	126.0	126.0		3.0		1.0	108.0	14.0	1.0			62.0				2.0	207.0	95.0	290.0									10.0			4.0		98.0	2.0				68.0	1.0				100.0		2.0		2.0	30.0			99.0		
NC_073240.2	3::NC_073240.2:13257839-13263479	5640	False	0.5243	0		81.0				1.0				1.0	217.0	132.0	121.0		6.0		1.0	119.0	19.0	5.0			81.0		1.0		3.0	222.0	103.0	319.0		1.0							12.0			4.0		106.0	3.0				76.0					107.0		4.0		4.0	25.0			106.0		
NC_073240.2	1::NC_073240.2:13260507-13265553	5046	False	0.523	0		67.0				2.0					192.0	115.0	108.0		6.0			112.0	19.0	3.0			70.0		1.0		2.0	203.0	95.0	290.0									8.0			3.0		96.0	3.0				67.0	1.0				98.0		3.0		2.0	22.0			94.0		
NC_073240.2	2::NC_073240.2:13264945-13272421	7476	False	0.5225	0		102.0				3.0					285.0	173.0	171.0		8.0			166.0	23.0	4.0			102.0				4.0	299.0	138.0	423.0					1.0				15.0			7.0		140.0	6.0				104.0					143.0		6.0		1.0	26.0			142.0		
NC_073240.2	1::NC_073240.2:13265556-13270773	5217	False	0.5225	0		70.0									201.0	117.0	116.0		4.0			113.0	16.0	2.0			72.0				2.0	216.0	97.0	298.0									8.0			7.0		100.0	3.0				70.0					100.0		3.0		3.0	22.0			99.0		
NC_073240.2	3::NC_073240.2:13273427-13279457	6030	False	0.524	0		83.0				2.0					230.0	151.0	132.0		5.0		1.0	131.0	25.0	4.0			79.0		2.0		1.0	238.0	110.0	342.0									8.0			5.0		114.0	2.0				77.0					118.0		3.0		3.0	28.0	1.0		115.0		
NC_073240.2	3::NC_073240.2:13281077-13286990	5913	False	0.5229	0		78.0				2.0					228.0	138.0	128.0		5.0			129.0	23.0	4.0			81.0		2.0		1.0	241.0	110.0	329.0		1.0							14.0			3.0		113.0	2.0				76.0	1.0				117.0		4.0		3.0	28.0			110.0		
NC_073240.2	1::NC_073240.2:13307784-13316655	8871	False	0.5201	0		105.0				3.0					342.0	206.0	186.0		7.0			199.0	50.0	8.0			113.0		3.0		3.0	369.0	168.0	505.0									12.0			5.0		170.0					107.0	2.0				173.0				6.0	46.0			169.0		
NC_073240.2	2::NC_073240.2:13315945-13321177	5232	False	0.5161	0		63.0				5.0					202.0	122.0	123.0		3.0			117.0	16.0	8.0			61.0				3.0	220.0	99.0	302.0		1.0							6.0			3.0		94.0	1.0				61.0					101.0				3.0	31.0			99.0		
NC_073240.2	-1::NC_073240.2:13372978-13750747	377769	False	0.5202	1		5219.0	2.0			169.0			3.0	33.0	14488.0	8594.0	8177.0	6.0	207.0	1.0	12.0	8442.0	1316.0	350.0		7.0	5109.0		15.0		337.0	15122.0	7102.0	21883.0		1.0	6.0	2.0	22.0	12.0			286.0	2.0	19.0	199.0	10.0	6886.0	63.0			1.0	5175.0	3.0		3.0		7393.0	1.0	65.0	2.0	361.0	1730.0			6891.0	3.0	193.0
NC_073240.2	-3::NC_073240.2:13373057-13749047	375990	False	0.5202	1		5191.0			2.0	171.0			2.0	22.0	14386.0	8573.0	8207.0	1.0	197.0	1.0	20.0	8296.0	1249.0	359.0		6.0	5165.0		12.0		311.0	15064.0	7051.0	21842.0		1.0	7.0	5.0	27.0	9.0			271.0		14.0	234.0	6.0	6868.0	56.0			2.0	5088.0	2.0		5.0		7387.0	1.0	61.0		360.0	1747.0	2.0		6862.0	3.0	184.0
NC_073240.2	-2::NC_073240.2:13373163-13748571	375408	False	0.5203	1		5107.0				180.0				27.0	14406.0	8603.0	8211.0		236.0	1.0	16.0	8360.0	1269.0	358.0		5.0	5144.0		13.0		323.0	14901.0	7060.0	21766.0		1.0	6.0	2.0	33.0	7.0	1.0		257.0		11.0	205.0	6.0	6842.0	71.0				5161.0	9.0		5.0		7380.0		49.0	1.0	350.0	1701.0	1.0		6868.0		183.0
NC_073240.2	3::NC_073240.2:13409348-13414547	5199	False	0.5168	0		57.0				2.0					197.0	117.0	117.0	1.0	7.0			110.0	27.0	2.0			68.0				2.0	220.0	104.0	304.0			2.0	1.0					5.0			5.0		98.0					58.0					99.0				5.0	27.0	1.0		97.0		
NC_073240.2	2::NC_073240.2:13438588-13445011	6423	False	0.5236	0		85.0									247.0	148.0	146.0		4.0			133.0	23.0	4.0			99.0		1.0		7.0	258.0	117.0	370.0									6.0			4.0		120.0					91.0					133.0		1.0		5.0	25.0			114.0		
NC_073240.2	1::NC_073240.2:13448448-13455534	7086	False	0.5241	0		94.0								1.0	273.0	167.0	160.0		4.0			148.0	27.0	3.0			108.0		1.0		6.0	280.0	130.0	410.0									5.0			4.0		135.0					100.0					146.0		1.0		4.0	27.0			128.0		
NC_073240.2	3::NC_073240.2:13450172-13457489	7317	False	0.5245	0		113.0				4.0					281.0	169.0	152.0		6.0		1.0	154.0	15.0	4.0		1.0	104.0				9.0	297.0	141.0	429.0					1.0				3.0			4.0		131.0					103.0					151.0					30.0			136.0		
NC_073240.2	2::NC_073240.2:13450729-13457761	7032	False	0.5239	0		99.0				1.0					269.0	157.0	151.0		3.0			161.0	25.0	5.0			97.0				8.0	273.0	127.0	411.0									3.0			6.0		129.0	1.0				107.0					137.0				4.0	35.0			134.0	1.0	
NC_073240.2	1::NC_073240.2:13459380-13464765	5385	False	0.5216	0		71.0				5.0					208.0	120.0	120.0		6.0			109.0	17.0	6.0		1.0	77.0				5.0	218.0	103.0	313.0					1.0				5.0			1.0		96.0	2.0				77.0					111.0				1.0	24.0			98.0		
NC_073240.2	3::NC_073240.2:13459481-13465292	5811	False	0.5221	0		85.0				1.0					221.0	132.0	119.0		3.0			130.0	19.0	6.0		1.0	82.0				7.0	236.0	108.0	340.0									2.0			6.0		106.0					75.0					112.0		1.0		6.0	27.0			111.0	1.0	
NC_073240.2	3::NC_073240.2:13479422-13485335	5913	False	0.5189	0		78.0				4.0				2.0	225.0	135.0	133.0		5.0			135.0	19.0	10.0			79.0				1.0	231.0	107.0	346.0					1.0				2.0			6.0		111.0	3.0				82.0					112.0				7.0	26.0			111.0		
NC_073240.2	3::NC_073240.2:13487123-13492883	5760	False	0.5224	0		78.0				1.0				1.0	221.0	133.0	128.0		2.0			124.0	19.0	4.0			75.0				3.0	232.0	108.0	333.0					1.0				5.0			4.0		109.0					79.0					114.0		2.0		4.0	32.0			108.0		
NC_073240.2	2::NC_073240.2:13488364-13495195	6831	False	0.5217	0		92.0				1.0					263.0	153.0	145.0		4.0			152.0	26.0	5.0		1.0	94.0				6.0	282.0	129.0	399.0					1.0				3.0			4.0		127.0	1.0				92.0					138.0		1.0		4.0	28.0			126.0		
