clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_CGG	codon_TCC	codon_GTT	codon_GAT	codon_GGC	codon_GGT	codon_AGT	codon_CCG	codon_TTT	codon_CAA	codon_TTC	codon_CTT	codon_ATT	codon_CAG	codon_GTG	codon_TCA	codon_AGG	codon_GCC	codon_CTC	codon_CCC	codon_CGA	codon_GAG	codon_GAC	codon_GCA	codon_GCG	codon_AGC	codon_ACT
NC_073240.2	3::NC_073240.2:13988759-13994573(+)	5814	False	0.5182	1		81.0									229.0	127.0	141.0					138.0	7.0	3.0			79.0				20.0	228.0	112.0	342.0					88.0			4.0	1.0	1.0	88.0								97.0		29.0					123.0					
NC_073240.2	2::NC_073240.2:13994386-14007184(+)	12798	False	0.5222	0		200.0									506.0	268.0	275.0					284.0	16.0	4.0			209.0		1.0		50.0	473.0	255.0	752.0					210.0			4.0			197.0	1.0					1.0		193.0		74.0					293.0					
NC_073240.2	3::NC_073240.2:13994576-14010329(+)	15753	False	0.5213	0		253.0				5.0					621.0	341.0	338.0					348.0	25.0	6.0			238.0				51.0	600.0	316.0	924.0			1.0		245.0			2.0		1.0	245.0								249.0		85.0					357.0					
NC_073240.2	1::NC_073240.2:13994964-14005620(+)	10656	False	0.5231	0		177.0			1.0						418.0	227.0	235.0					224.0	20.0				178.0				44.0	385.0	208.0	627.0					173.0			2.0			159.0								170.0		63.0					241.0					
NC_073240.2	1::NC_073240.2:14010723-14016381(+)	5658	False	0.5156	1		74.0				4.0					221.0	137.0	136.0					140.0	11.0	5.0			74.0		1.0		8.0	241.0	106.0	330.0					63.0			2.0			96.0								94.0		20.0					121.0		2.0			
NC_073240.2	3::NC_073240.2:14011607-14024966(+)	13359	False	0.5189	1		185.0				2.0					526.0	301.0	308.0					322.0	26.0	9.0			165.0				31.0	539.0	253.0	780.0					182.0		1.0	8.0	7.0	2.0	221.0							3.0	223.0		76.0					278.0		5.0			
NC_073240.2	1::NC_073240.2:14016384-14022705(+)	6321	False	0.5218	0		90.0				2.0					248.0	153.0	145.0					142.0	15.0	2.0			85.0				14.0	244.0	121.0	366.0			1.0		86.0			1.0	3.0		107.0							5.0	100.0		36.0					137.0		4.0			
NC_073240.2	1::NC_073240.2:14022708-14028264(+)	5556	False	0.5155	1		66.0				3.0					217.0	128.0	131.0					134.0	18.0	5.0			75.0				9.0	244.0	105.0	321.0					56.0			3.0	2.0	1.0	91.0							2.0	98.0		24.0					113.0		6.0			
NC_073240.2	3::NC_073240.2:14031191-14036441(+)	5250	False	0.5173	1		65.0				3.0					205.0	123.0	122.0					123.0	16.0	5.0			72.0				8.0	226.0	99.0	302.0					56.0			3.0	2.0	1.0	87.0							2.0	90.0		26.0					108.0		6.0			
NC_073240.2	2::NC_073240.2:14034829-14040691(+)	5862	False	0.5227	1		78.0				2.0					228.0	134.0	128.0					131.0	24.0	3.0			78.0				10.0	233.0	112.0	338.0					78.0			2.0	7.0		100.0							6.0	101.0		35.0					119.0	1.0	6.0			
NC_073240.2	1::NC_073240.2:14036172-14042046(+)	5874	False	0.5203	1		83.0				2.0					231.0	132.0	132.0					137.0	12.0	4.0			78.0				15.0	236.0	113.0	340.0					80.0			3.0	4.0	1.0	93.0							3.0	100.0		30.0					125.0		4.0			
NC_073240.2	2::NC_073240.2:14042197-14048875(+)	6678	False	0.5217	1		100.0				2.0					263.0	148.0	144.0				1.0	157.0	13.0	5.0			91.0				17.0	258.0	128.0	388.0					97.0			3.0	5.0	3.0	106.0							3.0	115.0		38.0					137.0		4.0			
NC_073240.2	1::NC_073240.2:16473702-16480191(+)	6489	False	0.5175	0	259.0	34.0	137.0	133.0	226.0	14.0	215.0	7.0	7.0	2.0			1.0	9.0	12.0		2.0	1.0	1.0	18.0	15.0	129.0	8.0	126.0	2.0	3.0		1.0	11.0		3.0	3.0	5.0	1.0		132.0		1.0					128.0	33.0	135.0	137.0	2.0	3.0	1.0	5.0		5.0	15.0	168.0			1.0	4.0			8.0
NC_073240.2	2::NC_073240.2:16473706-16480186(+)	6480	False	0.5177	0	254.0	30.0	131.0	133.0	243.0	24.0	224.0	8.0	9.0	5.0			3.0	8.0	6.0	1.0	2.0	1.0	1.0	13.0	14.0	129.0	4.0	118.0	1.0	2.0			10.0		4.0	1.0	2.0	2.0		140.0	1.0			1.0	2.0		130.0	31.0	133.0	133.0	1.0		2.0	2.0		8.0	14.0	159.0				7.0		2.0	11.0
NC_073240.2	3::NC_073240.2:16473725-16480268(+)	6543	False	0.5181	0	258.0	31.0	130.0	128.0	241.0	19.0	215.0	4.0	9.0	7.0			2.0	8.0	8.0	1.0	1.0	3.0		24.0	12.0	123.0	8.0	127.0	1.0				8.0	1.0	4.0	2.0	4.0	1.0		137.0	2.0	1.0				1.0	133.0	39.0	129.0	135.0	3.0		2.0	7.0		9.0	17.0	169.0				3.0			14.0
NC_073240.2	2::NC_073240.2:68697295-68723734(+)	26439	False	0.6034	1	702.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	4.0	3.0		2.0	4.0		453.0	16.0			1.0	2268.0		1.0			1.0			2.0			422.0	4.0	421.0		742.0	3.0	2.0		2.0		14.0	10.0		2.0	9.0	3.0		11.0	4.0		2.0	3022.0	672.0							
NC_073240.2	-1::NC_073240.2:68697427-68721334(-)	23907	False	0.6064	1		3.0			1.0		10.0				2.0	612.0	2.0	1.0				1.0	5.0			14.0	385.0		1.0		2023.0		4.0	698.0		1.0			10.0			2.0	2.0	1.0			1.0					1.0	1.0		651.0				371.0	2752.0	413.0		1.0		
NC_073240.2	3::NC_073240.2:68697428-68723738(+)	26310	False	0.6048	1	669.0			1.0	1.0			7.0	1.0	7.0			1.0			430.0	13.0	1.0			2328.0					2.0			1.0			429.0	2.0	439.0		707.0						13.0	7.0		6.0	2.0	1.0		8.0	3.0		1.0	2957.0	732.0							1.0
NC_073240.2	1::NC_073240.2:68697441-68723838(+)	26397	False	0.6046	1	728.0		1.0	1.0		1.0	1.0	2.0	2.0	5.0	1.0	1.0	2.0	2.0		432.0	16.0	2.0			2302.0				1.0	2.0	1.0	2.0				450.0	3.0	409.0		680.0		1.0				15.0	3.0	2.0	5.0	5.0	1.0	2.0	12.0	2.0	2.0	8.0	2990.0	702.0			1.0				1.0
NC_073240.2	-3::NC_073240.2:68697446-68703833(-)	6387	False	0.6044	0							3.0		1.0		3.0	174.0							2.0			6.0	106.0				558.0		2.0	166.0					2.0						1.0							1.0			173.0				107.0	720.0	103.0		1.0		
NC_073240.2	-2::NC_073240.2:68698173-68713110(-)	14937	False	0.6049	1							10.0				4.0	363.0						1.0	1.0			9.0	278.0				1279.0			375.0					4.0				2.0									3.0	1.0		454.0				217.0	1736.0	240.0		2.0		
NC_073240.2	-3::NC_073240.2:68703836-68712935(-)	9099	False	0.6031	1							4.0				1.0	284.0										5.0	141.0				853.0		4.0	213.0					2.0				1.0									1.0			220.0				172.0	998.0	132.0		2.0		
NC_073240.2	-2::NC_073240.2:68713113-68723733(-)	10620	False	0.6077	1							1.0					320.0						1.0	2.0			7.0	166.0		1.0		948.0			285.0					10.0			1.0	4.0									1.0			264.0				181.0	1168.0	180.0				
NC_073240.2	-3::NC_073240.2:68713130-68721290(-)	8160	False	0.6135	0												223.0											128.0				661.0			278.0					5.0									1.0				2.0			218.0				125.0	925.0	154.0				
NC_073240.2	2::NC_073240.2:77925388-77931262(+)	5874	False	0.7148	1	2.0	1.0			1.0		5.0		3.0	4.0	7.0	433.0			2.0	2.0		1.0	6.0			2.0	36.0	5.0	1.0		203.0	8.0		325.0	3.0				81.0	3.0	1.0	4.0	1.0	1.0			1.0	1.0		1.0	1.0	2.0	3.0	2.0	318.0	3.0	3.0	5.0		443.0	26.0	1.0	1.0	2.0	4.0
NC_073240.2	-2::NC_073240.2:77925453-77932770(-)	7317	False	0.7025	1	371.0		2.0		2.0		2.0		3.0	2.0	1.0	1.0		1.0	3.0	36.0					218.0	2.0		2.0			1.0	5.0		3.0	1.0	81.0	1.0			422.0	1.0		4.0	1.0		24.0	1.0		12.0	37.0		3.0	5.0	3.0	5.0	4.0	650.0	517.0		3.0		3.0		2.0	4.0
NC_073240.2	-3::NC_073240.2:77925548-77932784(-)	7236	False	0.7025	1	393.0			1.0		1.0	1.0	1.0	2.0	2.0	1.0	3.0		2.0	1.0	80.0	2.0		1.0		222.0			2.0		1.0	2.0	2.0	1.0	2.0	2.0	23.0	1.0			475.0		2.0		2.0		36.0	2.0		34.0	8.0		5.0	2.0	1.0	2.0	1.0	579.0	509.0				2.0		1.0	2.0
NC_073240.2	-1::NC_073240.2:77925577-77932810(-)	7233	False	0.7014	1	421.0	2.0	2.0	2.0	1.0		1.0	1.0	1.0	2.0		2.0		1.0	2.0	25.0	1.0	1.0	1.0	1.0	265.0			4.0				1.0	1.0		1.0	35.0				430.0		1.0	1.0	1.0	4.0	81.0	1.0		10.0	12.0	2.0	3.0	1.0	1.0		1.0	604.0	479.0		2.0	1.0	1.0		1.0	
NC_073240.2	3::NC_073240.2:77925602-77931701(+)	6099	False	0.7141	1					1.0		1.0			3.0	28.0	474.0			2.0			1.0	5.0		1.0	2.0	23.0	1.0			179.0	2.0	1.0	396.0	1.0				36.0	2.0		2.0			1.0				1.0			1.0	1.0		317.0					468.0	80.0	1.0	1.0	1.0	
NC_073240.2	1::NC_073240.2:77925654-77932821(+)	7167	False	0.7018	1	1.0		2.0				1.0				12.0	514.0			2.0		1.0	2.0	35.0		1.0		81.0	1.0	2.0	1.0	217.0		3.0	418.0	2.0		2.0		24.0	1.0	1.0	1.0	2.0	1.0	1.0			1.0		1.0		1.0		1.0	370.0					648.0	35.0	2.0		1.0	
NC_073224.2	-1::NC_073224.2:6037-13150(-)	7113	False	0.5037	0												1174.0														1150.0							26.0				9.0			1.0											9.0								2.0		
NC_073224.2	3::NC_073224.2:6038-13412(+)	7374	False	0.509	0	1190.0	1178.0		9.0	9.0	1.0	40.0	1.0	1.0	1.0																					2.0																							26.0							
NC_073224.2	-3::NC_073224.2:6137-13466(-)	7329	False	0.5078	0						2.0			1.0			26.0		1.0			1.0	1.0		1.0						1.0	1.0	1.0									1171.0	2.0		2.0					1.0		1.0	1.0	40.0	2.0	1182.0							1.0	1.0	3.0	
NC_073224.2	1::NC_073224.2:6138-13443(+)	7305	False	0.5086	0				1145.0	1208.0						2.0			1.0			1.0		1.0	1.0	2.0		2.0	26.0																		1.0					2.0					1.0	40.0	1.0				1.0			
NC_073224.2	1::NC_073224.2:240353964-240361575(+)	7611	False	0.4052	2	102.0	55.0	19.0	106.0	104.0	6.0	103.0	4.0	3.0	2.0	3.0	1.0	205.0	263.0	105.0	32.0	1.0	10.0	1.0	197.0	15.0	116.0	2.0	95.0	148.0	2.0	6.0	6.0	6.0	2.0	91.0	1.0	2.0	2.0		202.0	9.0	116.0	1.0	4.0	29.0	3.0	1.0	6.0	11.0	18.0	22.0	2.0	4.0	8.0		27.0	4.0	9.0	2.0	1.0	3.0	19.0		8.0	212.0
NC_073238.2	-3::NC_073238.2:2110-7309(-)	5199	False	0.5245	0												6.0				6.0										2.0					1.0			2.0	8.0		763.0			7.0									71.0		852.0	1.0				1.0			13.0		
NC_073238.2	3::NC_073238.2:2111-7310(+)	5199	False	0.5247	0	2.0	2.0		763.0	840.0					4.0																									1.0	1.0						2.0										15.0	85.0	9.0	7.0		2.0				
NC_073238.2	2::NC_073238.2:2116-7291(+)	5175	False	0.5241	0	852.0	763.0			6.0		71.0	13.0																															1.0			8.0											1.0	3.0			6.0			1.0	
NC_073238.2	-1::NC_073238.2:14254806-14260194(-)	5388	False	0.4336	0	7.0	2.0	16.0	10.0	1.0	3.0	13.0		235.0	1.0	5.0	3.0	18.0	5.0	15.0	9.0	2.0			1.0	25.0	15.0		237.0	8.0	6.0	3.0	6.0		2.0	4.0	47.0	17.0	10.0	11.0	282.0	52.0	7.0		22.0	1.0	40.0	28.0	7.0	279.0	9.0	240.0	2.0	3.0	7.0			22.0	18.0	1.0	1.0		7.0			31.0
NC_073238.2	-1::NC_073238.2:16057224-16063032(-)	5808	False	0.4372	0	15.0	1.0	26.0	11.0	4.0	1.0	18.0		241.0	4.0	2.0	1.0	13.0	3.0	16.0	5.0	3.0				29.0	12.0		254.0	12.0	6.0	2.0	6.0		2.0	7.0	56.0	12.0	9.0	16.0	287.0	59.0	11.0		19.0	4.0	43.0	35.0	13.0	309.0	5.0	257.0	3.0	2.0	6.0	1.0		28.0	24.0				11.0			32.0
NC_073238.2	-3::NC_073238.2:17474164-17479972(-)	5808	False	0.4372	0	15.0	1.0	26.0	11.0	4.0	1.0	18.0		241.0	4.0	2.0	1.0	13.0	3.0	16.0	5.0	3.0				29.0	12.0		254.0	12.0	6.0	2.0	6.0		2.0	7.0	56.0	12.0	9.0	16.0	287.0	59.0	11.0		19.0	4.0	43.0	35.0	13.0	309.0	5.0	257.0	3.0	2.0	6.0	1.0		28.0	24.0				11.0			32.0
NC_073238.2	-1::NC_073238.2:18202254-18207354(-)	5100	False	0.4376	0	6.0	3.0	19.0	9.0	4.0		16.0		224.0	5.0	5.0	4.0	10.0	6.0	17.0	3.0	3.0	2.0		1.0	16.0	12.0		213.0	5.0	8.0	4.0	3.0			2.0	40.0	14.0	13.0	10.0	268.0	43.0	7.0		17.0	3.0	45.0	36.0	5.0	262.0	6.0	229.0	2.0	4.0	8.0			27.0	21.0	2.0			12.0	1.0		25.0
NC_073238.2	1::NC_073238.2:20446155-20452356(+)	6201	False	0.5072	0		82.0	1.0		1.0	3.0				1.0	256.0	119.0	150.0		2.0		1.0	170.0	21.0	5.0		3.0	65.0		1.0		13.0	253.0	103.0	359.0			1.0	2.0	77.0		1.0	6.0	4.0		98.0	1.0		4.0	3.0		3.0	2.0	100.0	2.0	31.0				2.0	112.0		4.0	2.0	2.0	1.0
NC_073238.2	-2::NC_073238.2:20446346-21252449(-)	806103	False	0.5233	1	3076.0	4.0	70.0	559.0	42.0	953.0	14815.0	331.0	17452.0	466.0	1.0	1.0	42.0	985.0	443.0	57.0	9.0	3.0		518.0	672.0	57.0	1.0	32452.0	1.0	62.0					192.0	11477.0	19.0	16.0	4.0	46692.0	11295.0	5.0		2.0	65.0	11702.0	14713.0	31.0	30651.0	2311.0	17300.0	69.0	1.0	52.0		487.0	15619.0	18100.0	16.0		5.0	29.0	1.0		14775.0
NC_073238.2	-1::NC_073238.2:20446425-21254472(-)	808047	False	0.5233	1	3252.0	3.0	65.0	528.0	42.0	990.0	14836.0	312.0	17820.0	437.0	3.0		30.0	1074.0	401.0	62.0	8.0	1.0	1.0	440.0	656.0	63.0	3.0	32331.0	3.0	58.0			3.0		183.0	11299.0	15.0	27.0	3.0	46866.0	11445.0	8.0		4.0	72.0	11818.0	14683.0	41.0	30753.0	2205.0	17223.0	64.0		45.0		582.0	15659.0	17996.0	8.0		5.0	15.0	1.0	1.0	14906.0
NC_073238.2	-3::NC_073238.2:20446531-20657170(-)	210639	False	0.5217	1	853.0	2.0	11.0	120.0	19.0	308.0	3849.0	49.0	4695.0	113.0			2.0	281.0	123.0	20.0	7.0	1.0		148.0	205.0	4.0		8496.0	5.0	4.0					29.0	2975.0	13.0	8.0	2.0	12199.0	3033.0	5.0		4.0	16.0	3052.0	3833.0	3.0	8076.0	516.0	4476.0	29.0		15.0		153.0	4054.0	4573.0	8.0		8.0	6.0			3812.0
NC_073238.2	2::NC_073238.2:20480323-20485894(+)	5571	False	0.5206	0		78.0				4.0				1.0	217.0	120.0	117.0					130.0	13.0	9.0			72.0		1.0		5.0	232.0	103.0	323.0					73.0			5.0	7.0		100.0							2.0	103.0		27.0					107.0	1.0	5.0	1.0	1.0	
NC_073238.2	1::NC_073238.2:20484741-20490399(+)	5658	False	0.5221	1		70.0				6.0				1.0	217.0	128.0	121.0					121.0	24.0	8.0			77.0				3.0	237.0	108.0	327.0					76.0			3.0	2.0		100.0							1.0	111.0		25.0					112.0		2.0	2.0	2.0	2.0
NC_073238.2	1::NC_073238.2:20530998-20536860(+)	5862	False	0.5225	1		92.0				8.0					228.0	126.0	116.0					133.0	9.0	15.0			90.0				3.0	232.0	103.0	341.0				2.0	88.0			8.0	4.0		105.0							2.0	106.0		21.0					115.0		4.0		2.0	1.0
NC_073238.2	2::NC_073238.2:20609374-20614957(+)	5583	False	0.5221	0		84.0			1.0	2.0					218.0	112.0	112.0					136.0	12.0	12.0			73.0				7.0	218.0	98.0	329.0					87.0			11.0	10.0	1.0	102.0							1.0	103.0		25.0					103.0	2.0		2.0		
NC_073238.2	2::NC_073238.2:20615164-20622403(+)	7239	False	0.5249	1		120.0				9.0					285.0	153.0	135.0		1.0			153.0	17.0	15.0			114.0				4.0	288.0	131.0	418.0					116.0			7.0	4.0		131.0						1.0	1.0	137.0		26.0					141.0		6.0			
NC_073238.2	1::NC_073238.2:20626809-20632059(+)	5250	False	0.5269	1		82.0				3.0					200.0	122.0	105.0					111.0	11.0	6.0			79.0				2.0	210.0	98.0	303.0					76.0			4.0	2.0	2.0	101.0							1.0	101.0		21.0					105.0		3.0	1.0	1.0	
NC_073238.2	2::NC_073238.2:20629240-20637448(+)	8208	False	0.5269	1		110.0				4.0					319.0	196.0	173.0					178.0	31.0	9.0			107.0				2.0	328.0	152.0	475.0					123.0			6.0	5.0	4.0	154.0							2.0	165.0		34.0					153.0		1.0	5.0		
NC_073238.2	3::NC_073238.2:20633609-20640134(+)	6525	False	0.5284	1		85.0				3.0					247.0	165.0	133.0				1.0	143.0	28.0	4.0			78.0				2.0	270.0	126.0	379.0					86.0			2.0	5.0	3.0	123.0								129.0		27.0					130.0			5.0	1.0	
NC_073238.2	1::NC_073238.2:20635962-20642871(+)	6909	False	0.5295	1		84.0				1.0					256.0	179.0	148.0					146.0	31.0	2.0			87.0				1.0	281.0	131.0	402.0					86.0			1.0	2.0	3.0	137.0							1.0	139.0		34.0					143.0			5.0	3.0	
NC_073238.2	2::NC_073238.2:20637451-20646475(+)	9024	False	0.5269	1		114.0	1.0			5.0					346.0	218.0	182.0					193.0	34.0	7.0			121.0				3.0	374.0	174.0	524.0				1.0	117.0			4.0	5.0		174.0								181.0		42.0					176.0		3.0	4.0	5.0	
NC_073238.2	2::NC_073238.2:20646478-20651944(+)	5466	False	0.5227	0		82.0				3.0					213.0	117.0	111.0					118.0	12.0	11.0			81.0				6.0	217.0	100.0	316.0				1.0	81.0			9.0	4.0		101.0							1.0	106.0		21.0					104.0	1.0	4.0	2.0		
NC_073238.2	3::NC_073238.2:20651255-20656769(+)	5514	False	0.5219	0		79.0				3.0					212.0	116.0	113.0				2.0	122.0	15.0	10.0			82.0				6.0	220.0	102.0	321.0				1.0	81.0			8.0	5.0	1.0	100.0							1.0	107.0		22.0					103.0	1.0	2.0	1.0	1.0	1.0
NC_073238.2	-3::NC_073238.2:20657173-21007348(-)	350175	False	0.5268	1	1341.0		9.0	156.0	23.0	372.0	6590.0	235.0	7429.0	135.0			13.0	332.0	186.0	29.0	1.0			197.0	166.0	11.0		14112.0		11.0					169.0	4923.0	4.0	5.0	1.0	20278.0	4957.0				35.0	5077.0	6504.0	15.0	13308.0	1076.0	7210.0	29.0		15.0		243.0	6872.0	8122.0	1.0			3.0			6530.0
NC_073238.2	2::NC_073238.2:20659330-20667538(+)	8208	False	0.5247	1		124.0				6.0					318.0	180.0	160.0					181.0	24.0	14.0			117.0				6.0	330.0	151.0	478.0					120.0			9.0	8.0	1.0	152.0							1.0	159.0		32.0					158.0	1.0	3.0	3.0		
NC_073238.2	1::NC_073238.2:20662458-20683620(+)	21162	False	0.5294	1		278.0			1.0	1.0				1.0	805.0	525.0	441.0					451.0	86.0	8.0			269.0				1.0	846.0	402.0	1233.0			2.0		298.0			8.0	11.0	4.0	417.0						1.0	3.0	415.0		103.0				1.0	419.0			16.0	8.0	
NC_073238.2	3::NC_073238.2:20665433-20673386(+)	7953	False	0.5297	1		106.0									302.0	202.0	163.0					166.0	36.0	1.0			100.0				1.0	325.0	154.0	461.0					108.0			2.0	4.0	2.0	158.0						1.0		158.0		34.0					160.0			6.0	1.0	
NC_073238.2	2::NC_073238.2:20671255-20676607(+)	5352	False	0.5291	1		67.0				1.0					202.0	138.0	112.0					112.0	20.0	1.0			70.0				1.0	221.0	106.0	310.0					66.0				4.0	1.0	106.0	1.0							108.0		23.0					109.0			3.0	2.0	
NC_073238.2	3::NC_073238.2:20673389-20680211(+)	6822	False	0.5298	1		82.0									257.0	172.0	146.0					137.0	30.0				90.0				1.0	281.0	134.0	394.0					92.0			1.0	2.0	1.0	136.0						1.0		138.0		31.0					139.0			6.0	3.0	
NC_073238.2	2::NC_073238.2:20676610-20683909(+)	7299	False	0.5309	1		92.0									276.0	187.0	150.0					157.0	32.0	1.0			85.0					293.0	144.0	426.0			1.0		101.0			1.0	6.0	1.0	145.0								142.0		34.0					147.0	1.0		9.0	2.0	
NC_073238.2	1::NC_073238.2:20683623-20688669(+)	5046	False	0.5343	1		75.0				2.0					188.0	125.0	99.0					105.0	14.0	4.0			64.0				1.0	196.0	96.0	292.0		1.0			80.0			3.0	4.0		95.0							1.0	96.0		23.0					103.0	1.0	2.0	6.0	6.0	
NC_073238.2	2::NC_073238.2:20684524-20708695(+)	24171	False	0.5335	1		348.0				17.0					908.0	612.0	464.0					473.0	73.0	21.0			348.0				1.0	983.0	471.0	1395.0					334.0			5.0	8.0		443.0							3.0	476.0		86.0					494.0		17.0	28.0	45.0	4.0
NC_073238.2	1::NC_073238.2:20691222-20698104(+)	6882	False	0.5312	1		88.0									258.0	166.0	144.0					152.0	25.0	3.0			77.0				1.0	269.0	133.0	401.0					106.0			4.0	8.0		132.0							1.0	132.0		40.0					139.0	1.0	1.0	8.0	5.0	
NC_073238.2	1::NC_073238.2:20700657-20709324(+)	8667	False	0.5344	1		119.0				1.0					324.0	203.0	171.0					177.0	31.0	5.0			116.0					339.0	166.0	504.0					137.0			5.0	7.0		168.0							1.0	166.0		43.0					176.0	2.0	2.0	17.0	9.0	
NC_073238.2	3::NC_073238.2:20720411-20725763(+)	5352	False	0.5295	1		75.0				3.0					206.0	126.0	106.0					113.0	17.0	4.0			72.0				1.0	217.0	103.0	311.0					79.0			2.0	6.0		103.0							1.0	106.0		22.0					104.0		3.0	4.0		
NC_073238.2	2::NC_073238.2:20721448-20727820(+)	6372	False	0.5297	1		89.0				2.0					243.0	149.0	130.0					130.0	23.0	5.0			94.0				1.0	254.0	118.0	371.0					96.0			4.0	5.0		124.0							2.0	128.0		28.0					122.0		2.0	1.0	3.0	
NC_073238.2	1::NC_073238.2:20730492-20736303(+)	5811	False	0.53	1		81.0				3.0					226.0	132.0	117.0					120.0	18.0	4.0			82.0				2.0	236.0	110.0	338.0					90.0			2.0	7.0		108.0							1.0	118.0		25.0					110.0		4.0	2.0	1.0	
NC_073238.2	3::NC_073238.2:20731886-20739941(+)	8055	False	0.5326	1		120.0				2.0					304.0	191.0	155.0					168.0	21.0	8.0			120.0				1.0	314.0	147.0	467.0					124.0			7.0	8.0		160.0							4.0	159.0		38.0					156.0		3.0	2.0	6.0	
NC_073238.2	1::NC_073238.2:20737836-20745942(+)	8106	False	0.5345	1		116.0				4.0					302.0	195.0	154.0					161.0	28.0	8.0			111.0					321.0	153.0	471.0					124.0			5.0	6.0		155.0							1.0	161.0		39.0				1.0	165.0		4.0	9.0	8.0	
NC_073238.2	1::NC_073238.2:20752014-20757111(+)	5097	False	0.5299	1		73.0				2.0					194.0	121.0	100.0					108.0	18.0	3.0			70.0				1.0	204.0	97.0	298.0					73.0			2.0	6.0		100.0							1.0	102.0		22.0					100.0		1.0	3.0		
NC_073238.2	2::NC_073238.2:20755720-20761021(+)	5301	False	0.5305	1		75.0				3.0					204.0	123.0	104.0					111.0	15.0	4.0			75.0				1.0	214.0	102.0	310.0					79.0			2.0	6.0		99.0								105.0		24.0					103.0		2.0	3.0	3.0	
NC_073238.2	2::NC_073238.2:20763880-20769844(+)	5964	False	0.5347	1		103.0				3.0					229.0	131.0	101.0					130.0	14.0	7.0			94.0				3.0	229.0	109.0	347.0					101.0			5.0	9.0		111.0							1.0	111.0		16.0					118.0		3.0	7.0	6.0	
NC_073238.2	3::NC_073238.2:20768351-20774111(+)	5760	False	0.5337	1		94.0				4.0					218.0	129.0	102.0					111.0	15.0	7.0			92.0		1.0		2.0	232.0	107.0	329.0					91.0			4.0	5.0		110.0							1.0	114.0		22.0					117.0		7.0	4.0	2.0	
NC_073238.2	3::NC_073238.2:20775134-20780231(+)	5097	False	0.5301	1		73.0				2.0					194.0	121.0	100.0					107.0	18.0	3.0			71.0				1.0	204.0	97.0	298.0					73.0			2.0	6.0		100.0							1.0	102.0		22.0					100.0		1.0	3.0		
NC_073238.2	1::NC_073238.2:20778840-20795208(+)	16368	False	0.5291	1		210.0				4.0				1.0	625.0	389.0	339.0					340.0	64.0	9.0			221.0				2.0	659.0	316.0	956.0					235.0		1.0	6.0	13.0		314.0								328.0		86.0					317.0	1.0	2.0	9.0	9.0	
NC_073238.2	2::NC_073238.2:20780506-20788714(+)	8208	False	0.5289	1		103.0				4.0					317.0	203.0	171.0					169.0	32.0	4.0			107.0					335.0	161.0	478.0			1.0		114.0			1.0	7.0	1.0	157.0							1.0	163.0		38.0					161.0		3.0	5.0		
NC_073238.2	3::NC_073238.2:20788445-20796857(+)	8412	False	0.531	1		113.0				1.0				1.0	316.0	215.0	173.0					170.0	33.0	4.0			123.0					333.0	161.0	488.0					116.0			4.0	2.0		166.0							3.0	162.0		33.0					167.0		2.0	7.0	10.0	1.0
NC_073238.2	1::NC_073238.2:20795211-20801481(+)	6270	False	0.536	1		90.0				2.0					237.0	154.0	117.0					122.0	21.0	5.0			101.0					244.0	120.0	366.0					91.0			4.0	5.0		117.0							2.0	118.0		23.0					124.0		2.0	12.0	11.0	2.0
NC_073238.2	1::NC_073238.2:20801484-20808315(+)	6831	False	0.534	1		103.0				4.0				1.0	258.0	160.0	132.0					134.0	19.0	6.0			101.0					268.0	130.0	397.0					112.0			3.0	5.0		130.0							1.0	130.0		29.0					136.0	1.0	3.0	9.0	4.0	1.0
NC_073238.2	3::NC_073238.2:20806142-20812412(+)	6270	False	0.536	1		90.0				2.0					237.0	153.0	116.0					122.0	21.0	5.0			101.0					245.0	120.0	366.0					91.0			4.0	5.0		117.0							2.0	119.0		23.0					124.0		2.0	11.0	12.0	2.0
NC_073238.2	2::NC_073238.2:20814931-20823037(+)	8106	False	0.5299	1		122.0				1.0				1.0	308.0	196.0	168.0					173.0	21.0	8.0		1.0	113.0				1.0	311.0	147.0	471.0			1.0		124.0			8.0	5.0		158.0			1.0				4.0	152.0		30.0					158.0		3.0	9.0	6.0	1.0
NC_073238.2	3::NC_073238.2:20817965-20829854(+)	11889	False	0.5302	1		164.0				4.0				2.0	454.0	286.0	243.0					245.0	42.0	9.0			168.0				2.0	469.0	224.0	690.0			1.0		175.0			5.0	8.0		227.0							4.0	235.0		50.0					232.0	1.0	4.0	10.0	7.0	2.0
NC_073238.2	2::NC_073238.2:20825029-20835532(+)	10503	False	0.5299	1		134.0				3.0				1.0	402.0	250.0	210.0					219.0	48.0	3.0			131.0				4.0	431.0	204.0	610.0			1.0		146.0			1.0	11.0	1.0	203.0						1.0	1.0	210.0		48.0					208.0	3.0	2.0	12.0	2.0	1.0
