clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCA	codon_GAT	codon_GCG	codon_TTT	codon_ACT	codon_ACC	codon_TGC	codon_CAC	codon_ATC	codon_TGG	codon_CCC	codon_CAT	codon_CCT	codon_TCG	codon_GTG	codon_GGC	codon_AGG	codon_GGA	codon_GGG	codon_GCC	codon_CAG	codon_GCT	codon_AAC	codon_CCG	codon_TGT	codon_TAC	codon_CTC	codon_CGG	codon_CTG	codon_ACG	codon_AGC	codon_CGC	codon_CGT	codon_GAC	codon_GAG	codon_ATG	codon_CTA	codon_AAT	codon_TCC	codon_AAG	codon_GCA	codon_TTG	codon_CGA	codon_CAA	codon_TCA	codon_TTC	codon_GGT	codon_AGT	codon_CTT	codon_TCT	codon_GAA	codon_ACA	codon_TAT	codon_GTT	codon_AAA	codon_GTA	codon_ATT	codon_GTC	codon_AGA	codon_ATA	codon_TTA
NC_072403.2	3::NC_072403.2:99251360-99258533(+)	7173	False	0.3789	1	58.0	65.0	2.0	76.0	63.0	28.0	15.0	20.0	8.0	7.0	11.0	44.0	56.0	5.0	40.0	13.0	14.0	31.0	17.0	19.0	73.0	55.0	45.0	6.0	54.0	17.0	13.0	8.0	22.0	5.0	20.0	5.0	8.0	30.0	45.0	43.0	22.0	136.0	30.0	68.0	50.0	38.0	15.0	65.0	63.0	13.0	35.0	63.0	43.0	61.0	135.0	64.0	30.0	44.0	144.0	39.0	59.0	17.0	34.0	34.0	48.0
NC_072403.2	-1::NC_072403.2:154622562-154628067(-)	5505	False	0.4977	2	59.0	36.0	7.0	36.0	26.0	23.0	12.0	37.0	25.0	15.0	36.0	28.0	66.0	11.0	30.0	28.0	23.0	38.0	31.0	25.0	80.0	36.0	25.0	14.0	20.0	14.0	15.0	14.0	39.0	11.0	50.0	8.0	3.0	31.0	67.0	43.0	12.0	20.0	44.0	62.0	37.0	30.0	7.0	35.0	56.0	21.0	24.0	41.0	28.0	47.0	66.0	31.0	29.0	22.0	50.0	13.0	30.0	17.0	20.0	11.0	20.0
NC_072403.2	1::NC_072403.2:163305732-163310799(+)	5067	False	0.5031	2	34.0	51.0	8.0	17.0	32.0	38.0	4.0	15.0	9.0	8.0	30.0	10.0	35.0	5.0	52.0	17.0	12.0	40.0	33.0	36.0	59.0	48.0	6.0	10.0	6.0		9.0	5.0	21.0	12.0	26.0	4.0	2.0	42.0	137.0	19.0	7.0	9.0	36.0	60.0	54.0	14.0	1.0	35.0	35.0	9.0	17.0	23.0	14.0	38.0	165.0	43.0	3.0	29.0	85.0	21.0	17.0	32.0	16.0	15.0	19.0
NC_072403.2	2::NC_072403.2:182267116-182272399(+)	5283	False	0.5145	1		3.0	3.0	43.0	40.0	1.0	40.0			20.0	2.0		96.0	48.0	10.0	7.0	13.0	4.0	126.0	35.0	13.0	4.0		4.0	179.0	37.0	80.0	52.0	131.0				6.0		2.0		2.0		50.0		2.0	100.0	1.0		17.0	100.0	76.0	2.0	9.0	89.0		1.0	4.0	238.0			9.0	10.0			52.0
NC_072403.2	3::NC_072403.2:182267579-182272814(+)	5235	False	0.5156	1		2.0	2.0	33.0	32.0		45.0	1.0	1.0	16.0		1.0	84.0	42.0	9.0	2.0	13.0	5.0	128.0	36.0	19.0	4.0	1.0	4.0	173.0	47.0	84.0	46.0	131.0				5.0		1.0	1.0	1.0		45.0		4.0	110.0	1.0		13.0	118.0	78.0	2.0	13.0	94.0			4.0	244.0			5.0	9.0			36.0
NC_086015.1	-3::NC_086015.1:43192622-43198283(-)	5661	False	0.6064	2	57.0	28.0	3.0	26.0	30.0	41.0	15.0	36.0	35.0	15.0	78.0	16.0	56.0	3.0	48.0	43.0	34.0	27.0	59.0	87.0	124.0	41.0	19.0	8.0	8.0	8.0	34.0	26.0	86.0	8.0	53.0	17.0	5.0	52.0	108.0	30.0	16.0	9.0	35.0	61.0	34.0	12.0	9.0	33.0	22.0	14.0	24.0	29.0	16.0	22.0	40.0	35.0	6.0	16.0	13.0	3.0	8.0	32.0	23.0	8.0	3.0
NC_086015.1	1::NC_086015.1:53687217-53694114(+)	6897	False	0.621	2	72.0	27.0	9.0	21.0	29.0	58.0	11.0	31.0	37.0	11.0	93.0	16.0	82.0	8.0	49.0	79.0	33.0	25.0	55.0	93.0	143.0	63.0	16.0	10.0	6.0	33.0	39.0	53.0	90.0	15.0	67.0	30.0	21.0	62.0	151.0	45.0	16.0	8.0	64.0	52.0	48.0	20.0	12.0	24.0	33.0	17.0	40.0	44.0	27.0	35.0	29.0	41.0	23.0	10.0	11.0	11.0	11.0	23.0	13.0	4.0	
NC_086015.1	3::NC_086015.1:101163425-101169707(+)	6282	False	0.394	2	39.0	77.0	2.0	40.0	55.0	19.0	7.0	19.0	10.0	5.0	13.0	34.0	56.0	2.0	35.0	20.0	19.0	34.0	28.0	25.0	33.0	47.0	30.0	1.0	20.0	18.0	10.0	1.0	19.0	9.0	24.0	1.0	3.0	40.0	81.0	45.0	13.0	86.0	31.0	48.0	36.0	43.0	2.0	44.0	54.0	17.0	24.0	58.0	38.0	79.0	142.0	49.0	29.0	38.0	105.0	38.0	65.0	13.0	38.0	38.0	45.0
NC_086015.1	-2::NC_086015.1:116985777-116992263(-)	6486	False	0.4414	1	77.0	47.0	5.0	32.0	60.0	36.0	10.0	24.0	16.0	4.0	35.0	52.0	84.0	4.0	29.0	20.0	23.0	35.0	14.0	26.0	113.0	52.0	50.0	2.0	24.0	4.0	19.0	3.0	19.0	3.0	48.0	1.0	11.0	26.0	34.0	52.0	15.0	96.0	34.0	34.0	42.0	31.0	9.0	80.0	81.0	9.0	34.0	65.0	36.0	93.0	48.0	60.0	12.0	62.0	37.0	28.0	56.0	14.0	30.0	25.0	37.0
NC_086015.1	-1::NC_086015.1:124979887-124985077(-)	5190	False	0.3985	1	14.0	57.0	4.0	18.0	25.0	16.0	5.0	8.0	15.0	4.0	3.0	22.0	8.0	3.0	25.0	5.0	25.0	18.0	5.0	17.0	89.0	40.0	28.0		10.0	4.0	24.0	1.0	33.0	2.0	32.0	3.0	3.0	25.0	93.0	32.0	33.0	38.0	16.0	83.0	39.0	33.0	3.0	76.0	12.0	5.0	12.0	41.0	49.0	39.0	197.0	30.0	12.0	24.0	111.0	17.0	38.0	10.0	28.0	30.0	38.0
NC_086015.1	-2::NC_086015.1:198968913-198978465(-)	9552	False	0.5644	2	41.0	16.0	4.0	7.0	76.0	381.0	2.0	78.0	16.0	10.0	19.0	19.0	290.0	5.0	11.0	11.0	11.0	23.0	16.0	91.0	28.0	99.0	17.0	6.0		3.0	11.0	4.0	13.0	14.0	65.0	1.0		167.0	19.0	15.0	8.0	5.0	316.0	8.0	57.0	1.0		18.0	194.0	14.0	153.0	18.0	151.0	83.0	20.0	224.0	1.0	11.0	11.0	97.0	9.0	163.0	12.0	13.0	8.0
NC_086015.1	1::NC_086015.1:199385001-199390068(+)	5067	False	0.5135	0		1.0			105.0	178.0		3.0	81.0			3.0			3.0		344.0	1.0	1.0		1.0	1.0	1.0	38.0	1.0	186.0			292.0	10.0	6.0				1.0	186.0			1.0	3.0		25.0		2.0	1.0	2.0	1.0	5.0	1.0	1.0		8.0			1.0		2.0	1.0	187.0	4.0	1.0
NC_086015.1	-2::NC_086015.1:199385013-199390059(-)	5046	False	0.5137	0		81.0		1.0	5.0	1.0		3.0	1.0			186.0	344.0		3.0			1.0			292.0	6.0			8.0			38.0			1.0		10.0	1.0		2.0		2.0	1.0	1.0		1.0		25.0			178.0	105.0	3.0	187.0	2.0	1.0	4.0	1.0		186.0			1.0		
NC_086015.1	-3::NC_086015.1:199385036-199390094(-)	5058	False	0.5136	0			1.0			2.0	1.0		80.0			2.0	1.0		189.0	37.0	1.0						20.0		3.0	2.0	361.0		177.0		287.0			1.0	1.0	85.0	2.0	3.0	2.0	3.0		1.0				5.0	1.0	3.0	4.0	1.0	2.0	2.0	184.0			5.0	2.0	107.0	2.0	106.0	
NC_086015.1	-1::NC_086015.1:201573193-201579334(-)	6141	False	0.4963	0	2.0			1.0	1.0	906.0	1.0			2.0		2.0	88.0		1.0		3.0		1.0	1.0	1.0		90.0								1.0			2.0	3.0		903.0			5.0				3.0	1.0			1.0	1.0	1.0	3.0	2.0			10.0		3.0	2.0	5.0		1.0
NC_086015.1	3::NC_086015.1:201573194-201579334(+)	6140	False	0.4964	0	1.0			12.0		1.0	2.0			1.0		1.0		1.0	3.0		903.0	1.0	89.0		1.0	1.0	2.0		3.0		2.0		1.0		1.0				2.0	2.0	2.0		2.0					1.0	1.0	4.0			5.0	4.0		2.0		904.0				2.0		1.0	88.0
NC_086015.1	1::NC_086015.1:201573261-201578799(+)	5538	False	0.4973	0				10.0			1.0			2.0	1.0	1.0			1.0	1.0	1.0		902.0		1.0	1.0			1.0			1.0	2.0						1.0			1.0				1.0			1.0	1.0	1.0	1.0	2.0	5.0				1.0				1.0	1.0		903.0
NC_086015.1	-3::NC_086015.1:201573341-201578798(-)	5457	False	0.5006	0								2.0					903.0										903.0						1.0		1.0			2.0					1.0		1.0	1.0	1.0				1.0					1.0							1.0		
NC_072407.2	-1::NC_072407.2:15-10503(-)	10488	False	0.4999	0																	17.0		1730.0																												1.0							17.0							1731.0
NC_072407.2	2::NC_072407.2:16-10504(+)	10488	False	0.5	0					1.0	16.0					1.0		1730.0										1731.0														17.0																								
NC_072407.2	-3::NC_072407.2:415-10516(-)	10101	False	0.5	0																	1680.0		3.0																													1.0						1681.0							2.0
NC_072407.2	3::NC_072407.2:416-10517(+)	10101	False	0.5001	0						1681.0					1.0		2.0										2.0														1681.0																								
NC_072407.2	-3::NC_072407.2:5251273-5266057(-)	14784	False	0.5599	2	299.0		14.0	20.0	267.0	662.0	2.0	267.0	101.0	4.0	153.0	73.0	199.0	26.0	64.0	54.0	29.0	17.0	75.0	192.0	71.0	18.0	30.0	33.0	3.0	11.0	45.0	9.0	19.0	95.0	166.0	3.0	3.0	5.0	7.0	78.0	40.0	10.0	291.0	38.0	65.0	30.0	1.0	39.0	143.0	107.0	34.0	102.0	34.0	165.0	35.0	428.0	31.0	24.0	38.0	1.0	51.0	69.0	14.0	10.0	14.0
NC_072407.2	1::NC_072407.2:5341311-5351793(+)	10482	False	0.6128	2	382.0	9.0	3.0	7.0	167.0	876.0	23.0	7.0	128.0	16.0	244.0	4.0	70.0	38.0	121.0	121.0	12.0	15.0	15.0	32.0	120.0	11.0	6.0	44.0	12.0	3.0	9.0	6.0	27.0	168.0	60.0	3.0	1.0	14.0	18.0	20.0	13.0	7.0	13.0	14.0	16.0	7.0	2.0	7.0	17.0	10.0	8.0	41.0	10.0	19.0	6.0	434.0	3.0	4.0	7.0	1.0	14.0	13.0	7.0	8.0	1.0
NC_072407.2	-2::NC_072407.2:5343275-5351081(-)	7806	False	0.6185	1	11.0	38.0	9.0	1.0		108.0	1.0	2.0	4.0	4.0	12.0		2.0		641.0	14.0	12.0	11.0	312.0		1.0	12.0	1.0	86.0	110.0		31.0	2.0	24.0	1.0				6.0	3.0	121.0		1.0		1.0	2.0	2.0			3.0	2.0	205.0	3.0	2.0	2.0		1.0		347.0		140.0	4.0	296.0		9.0	2.0
NC_072407.2	2::NC_072407.2:5431171-5443480(+)	12309	False	0.5759	2	69.0	3.0	4.0	15.0	167.0	536.0	89.0	34.0	85.0	29.0	145.0	22.0	236.0	20.0	94.0	39.0	32.0	59.0	36.0	129.0	103.0	115.0	47.0	25.0	13.0	24.0	28.0	20.0	38.0	26.0	387.0	17.0	13.0	53.0	67.0	15.0	1.0	7.0	105.0	45.0	16.0	10.0	19.0	11.0	26.0	24.0	51.0	24.0	8.0	248.0	39.0	450.0	5.0	56.0	35.0	4.0	3.0	21.0	42.0	19.0	
NC_072407.2	1::NC_072407.2:5492289-5508435(+)	16146	False	0.6444	2	156.0	3.0	16.0	33.0	206.0	765.0	74.0	108.0	101.0	71.0	304.0	3.0	60.0	33.0	181.0	144.0	39.0	45.0	129.0	331.0	98.0	48.0	52.0	91.0	31.0	41.0	49.0	20.0	154.0	213.0	174.0	24.0	27.0	49.0	113.0	69.0	15.0	14.0	362.0	30.0	93.0	14.0	8.0	5.0	47.0	47.0	36.0	43.0	40.0	60.0	26.0	347.0	9.0	11.0	28.0	2.0	6.0	53.0	17.0	13.0	1.0
NC_072407.2	-1::NC_072407.2:7340106-7349721(-)	9615	False	0.5944	2	31.0	1.0		108.0	6.0	8.0	3.0	18.0	20.0	1.0	395.0	28.0	423.0	2.0	1.0		1.0	2.0	1.0		2.0	1.0	2.0	75.0	9.0	5.0	504.0		8.0		1.0	2.0	81.0	1.0	1.0	2.0	4.0	1.0	509.0	2.0	3.0	1.0		4.0	15.0	246.0	1.0	4.0	222.0	318.0	5.0	2.0	8.0	2.0	2.0	2.0	5.0	96.0		4.0	6.0
NC_072407.2	-3::NC_072407.2:7340176-7349668(-)	9492	False	0.5979	2	35.0	1.0		104.0	6.0	6.0	2.0	9.0	33.0		397.0	22.0	417.0	2.0		1.0		1.0	1.0	1.0	1.0	2.0	2.0	81.0	14.0	3.0	492.0		7.0			1.0	83.0	2.0		3.0	6.0	1.0	519.0	3.0	3.0			3.0	9.0	233.0		1.0	249.0	311.0		3.0	2.0		1.0	1.0	4.0	81.0	2.0	3.0	
NC_072407.2	-2::NC_072407.2:7340300-7349729(-)	9429	False	0.5995	2	24.0			106.0	14.0	6.0	3.0	6.0	28.0	1.0	401.0	35.0	400.0	1.0	2.0			1.0	1.0	3.0	2.0	1.0	1.0	83.0	7.0	5.0	504.0	1.0	14.0			1.0	75.0		1.0	1.0	4.0	1.0	518.0			3.0		2.0	4.0	220.0		2.0	224.0	338.0	1.0		1.0	1.0	4.0		3.0	87.0	1.0		1.0
NC_072407.2	3::NC_072407.2:7341701-7346846(+)	5145	False	0.607	1		7.0						1.0		7.0					3.0		226.0	286.0	229.0		7.0							47.0		42.0				57.0	284.0	19.0		1.0		123.0			1.0	1.0				9.0			116.0	4.0			57.0	1.0			187.0		
NC_072407.2	-2::NC_072407.2:10864781-10872083(-)	7302	False	0.4267	2	27.0	71.0	2.0	65.0	42.0	33.0	22.0	40.0	42.0	46.0	19.0	31.0	28.0	1.0	40.0	23.0	30.0	35.0	22.0	42.0	90.0	36.0	51.0	1.0	30.0	24.0	51.0	5.0	65.0	5.0	33.0	4.0	4.0	49.0	85.0	58.0	30.0	71.0	31.0	69.0	50.0	50.0	7.0	70.0	35.0	48.0	17.0	39.0	43.0	48.0	114.0	60.0	41.0	30.0	121.0	18.0	65.0	32.0	45.0	22.0	26.0
NC_072407.2	-1::NC_072407.2:64830651-64848159(-)	17508	False	0.4913	2	229.0	374.0	12.0	63.0	34.0	26.0	2.0	54.0	123.0	32.0	256.0	41.0	215.0	13.0	298.0	202.0	10.0	153.0	117.0	70.0	36.0	77.0	69.0	20.0	10.0	3.0	45.0	4.0	152.0	7.0	61.0	3.0	7.0	232.0	144.0	256.0	23.0	75.0	64.0	393.0	55.0	91.0	4.0	27.0	52.0	88.0	160.0	45.0	55.0	86.0	195.0	31.0	6.0	155.0	434.0	49.0	130.0	94.0	10.0	34.0	30.0
NC_072407.2	-3::NC_072407.2:73036219-73041997(-)	5778	False	0.5931	1	77.0			4.0	88.0	36.0	54.0	136.0	41.0	33.0	257.0	32.0	39.0	2.0	5.0	4.0	4.0	35.0	21.0	12.0	6.0	26.0	40.0	15.0	23.0	10.0	114.0	8.0	91.0	2.0	5.0	17.0	6.0	5.0	70.0	5.0	2.0	1.0	77.0	5.0	22.0	3.0	1.0	33.0	72.0	73.0	1.0	45.0	46.0	81.0	12.0	28.0	5.0	31.0	3.0	18.0	1.0	7.0	29.0	4.0	3.0
NC_072407.2	-1::NC_072407.2:73036320-73041825(-)	5505	False	0.596	1	73.0	1.0			103.0	46.0	44.0	118.0	31.0	36.0	253.0	40.0	35.0	3.0	1.0	2.0	3.0	25.0	31.0	14.0	9.0	36.0	35.0	11.0	14.0	18.0	107.0	1.0	82.0	2.0	1.0	15.0	1.0	5.0	53.0	1.0	3.0	1.0	82.0	8.0	23.0	1.0		30.0	65.0	69.0	3.0	35.0	33.0	78.0	5.0	34.0	5.0	37.0		17.0	1.0	14.0	38.0	2.0	1.0
NC_072407.2	-2::NC_072407.2:73036481-73041863(-)	5382	False	0.5959	1	86.0		2.0	2.0	89.0	53.0	41.0	99.0	38.0	22.0	230.0	40.0	53.0	1.0			1.0	40.0	29.0	4.0	10.0	38.0	28.0	22.0	20.0	17.0	114.0	5.0	94.0	2.0	1.0	10.0	1.0	3.0	56.0	4.0	2.0		87.0	6.0	16.0	2.0		39.0	67.0	66.0	1.0	27.0	37.0	59.0	4.0	29.0	7.0	33.0	1.0	11.0	2.0	4.0	37.0	1.0	1.0
NC_072407.2	-2::NC_072407.2:110492699-110498078(-)	5379	False	0.4216	2	45.0	52.0	1.0	48.0	40.0	19.0	8.0	21.0	16.0	12.0	31.0	32.0	47.0	5.0	19.0	18.0	38.0	28.0	18.0	20.0	49.0	32.0	39.0	3.0	15.0	11.0	11.0	1.0	19.0	3.0	41.0	2.0	3.0	37.0	47.0	26.0	16.0	72.0	32.0	36.0	23.0	20.0	9.0	37.0	76.0	26.0	21.0	47.0	23.0	66.0	87.0	55.0	22.0	20.0	80.0	22.0	29.0	15.0	56.0	15.0	31.0
NC_072407.2	-3::NC_072407.2:136983619-136990810(-)	7191	False	0.5003	0						1154.0					2.0		43.0										43.0			1.0											1154.0																								
NC_072407.2	3::NC_072407.2:136983620-136990805(+)	7185	False	0.5002	0																	1154.0		44.0																																			1154.0							43.0
NC_072407.2	-2::NC_072407.2:136983626-136990553(-)	6927	False	0.5002	0											1.0		1154.0										1154.0																																						
NC_072407.2	1::NC_072407.2:136983627-136990554(+)	6927	False	0.5001	0																			1154.0																												1.0														1154.0
NC_072411.2	2::NC_072411.2:937-8485(+)	7548	False	0.5005	1						543.0					3.0		713.0										713.0			1.0											543.0																								
NC_072411.2	-2::NC_072411.2:942-8484(-)	7542	False	0.5004	1																	543.0		715.0																																			543.0							713.0
NC_072411.2	-1::NC_072411.2:14510521-14518579(-)	8058	False	0.7442	1		1.0	319.0	2.0	2.0		2.0	3.0		2.0	317.0	1.0	2.0		176.0	2.0	349.0	2.0	39.0		5.0	176.0	1.0	1.0			2.0	312.0	177.0	27.0	68.0			1.0	305.0	2.0	1.0	1.0	31.0	3.0	6.0	1.0			2.0	1.0	2.0	107.0	1.0	2.0	49.0	175.0	1.0	2.0	1.0			1.0	2.0		1.0
NC_072411.2	-3::NC_072411.2:14510549-14518523(-)	7974	False	0.7469	0		1.0			3.0	1.0	3.0		1.0	35.0	1.0	1.0	68.0	139.0	1.0	130.0	4.0	349.0		317.0	1.0	1.0	27.0	173.0	1.0	1.0		1.0	2.0		193.0	173.0	1.0	175.0	523.0						3.0			2.0	2.0		176.0		2.0	107.0	1.0	2.0					1.0	34.0	2.0		
NC_072411.2	2::NC_072411.2:14510581-14518471(+)	7890	False	0.7489	0	1.0			1.0	107.0		4.0	176.0			36.0		348.0		1.0		1.0	30.0	317.0		174.0	67.0	1.0	312.0	172.0		303.0		3.0		174.0	319.0	27.0		2.0						1.0					48.0		1.0	1.0		1.0								2.0		
NC_072411.2	3::NC_072411.2:14510603-14518436(+)	7833	False	0.7502	0	35.0		173.0			174.0							1.0			316.0	68.0			129.0	1.0	192.0			1.0		522.0	173.0		1.0				30.0					347.0				139.0			1.0	1.0							27.0		1.0		172.0	107.0		
NC_072411.2	1::NC_072411.2:14510607-14518467(+)	7860	False	0.7496	0	1.0		315.0	27.0	1.0						350.0		301.0		1.0	68.0			173.0	1.0	37.0							173.0	175.0	31.0				107.0	140.0				345.0				1.0		348.0			1.0	21.0	2.0				1.0							
NC_072411.2	1::NC_072411.2:69260076-69269484(+)	9408	False	0.3888	2	66.0	118.0	4.0	72.0	81.0	47.0	11.0	24.0	47.0	24.0	31.0	57.0	61.0	8.0	42.0	21.0	30.0	55.0	21.0	21.0	79.0	45.0	42.0	6.0	19.0	12.0	23.0	5.0	34.0	7.0	27.0	4.0	13.0	46.0	79.0	60.0	21.0	92.0	44.0	109.0	50.0	33.0	13.0	108.0	62.0	20.0	37.0	64.0	49.0	87.0	247.0	108.0	40.0	70.0	201.0	40.0	91.0	33.0	69.0	61.0	45.0
NC_072411.2	-3::NC_072411.2:80560667-80566331(-)	5664	False	0.4391	1	55.0	50.0	4.0	38.0	42.0	46.0	7.0	24.0	36.0	15.0	12.0	19.0	29.0	5.0	37.0	14.0	24.0	24.0	15.0	19.0	40.0	47.0	21.0	4.0	12.0	31.0	23.0	14.0	33.0	8.0	18.0	16.0	19.0	37.0	67.0	32.0	10.0	22.0	22.0	62.0	33.0	13.0	14.0	31.0	42.0	22.0	25.0	33.0	23.0	47.0	120.0	58.0	49.0	38.0	92.0	28.0	45.0	33.0	53.0	15.0	21.0
NC_072411.2	-1::NC_072411.2:80589769-80607007(-)	17238	False	0.4273	2	212.0	206.0	7.0	73.0	170.0	109.0	33.0	21.0	81.0	97.0	41.0	38.0	152.0	3.0	105.0	91.0	29.0	160.0	34.0	82.0	66.0	135.0	86.0	7.0	44.0	53.0	46.0	22.0	68.0	15.0	64.0	20.0	47.0	93.0	119.0	57.0	34.0	144.0	39.0	150.0	119.0	40.0	33.0	59.0	86.0	70.0	129.0	115.0	103.0	102.0	329.0	180.0	136.0	209.0	282.0	114.0	200.0	103.0	133.0	92.0	59.0
NC_072411.2	-3::NC_072411.2:80775242-80781821(-)	6579	False	0.3792	2	56.0	66.0	1.0	80.0	54.0	17.0	6.0	14.0	22.0	11.0	20.0	42.0	46.0		36.0	7.0	20.0	40.0	16.0	16.0	40.0	37.0	24.0	4.0	27.0	17.0	6.0	4.0	16.0	4.0	19.0	3.0	9.0	37.0	77.0	43.0	27.0	61.0	29.0	41.0	39.0	16.0	4.0	70.0	51.0	22.0	35.0	51.0	33.0	70.0	190.0	61.0	55.0	41.0	103.0	34.0	62.0	14.0	56.0	43.0	48.0
NC_072411.2	2::NC_072411.2:87816715-87825733(+)	9018	False	0.3495	2	58.0	86.0	4.0	91.0	72.0	37.0	10.0	23.0	35.0	9.0	11.0	49.0	51.0	3.0	33.0	18.0	22.0	33.0	15.0	23.0	45.0	62.0	53.0	1.0	38.0	19.0	24.0	2.0	25.0	7.0	35.0	1.0	7.0	57.0	55.0	67.0	33.0	129.0	35.0	92.0	53.0	65.0	3.0	89.0	96.0	19.0	21.0	69.0	64.0	98.0	187.0	79.0	49.0	68.0	194.0	41.0	113.0	22.0	48.0	70.0	88.0
NC_072411.2	2::NC_072411.2:87827863-87837319(+)	9456	False	0.3371	1	59.0	136.0	2.0	86.0	61.0	29.0	10.0	17.0	35.0	6.0	15.0	56.0	36.0	6.0	46.0	11.0	26.0	32.0	13.0	18.0	47.0	49.0	41.0	2.0	36.0	20.0	26.0	2.0	30.0	3.0	41.0		2.0	49.0	66.0	59.0	37.0	130.0	40.0	67.0	53.0	60.0	7.0	101.0	122.0	36.0	21.0	63.0	57.0	111.0	180.0	77.0	70.0	93.0	200.0	52.0	139.0	18.0	61.0	100.0	84.0
NC_072411.2	3::NC_072411.2:108543362-108550289(+)	6927	False	0.3909	1	34.0	132.0	5.0	54.0	45.0	13.0	8.0	21.0	9.0	13.0	25.0	55.0	63.0	7.0	40.0	10.0	17.0	18.0	10.0	15.0	57.0	52.0	36.0	4.0	44.0	11.0	2.0	10.0	35.0	4.0	29.0	3.0	15.0	40.0	64.0	31.0	13.0	73.0	22.0	93.0	27.0	35.0	8.0	59.0	59.0	10.0	36.0	64.0	48.0	98.0	142.0	26.0	40.0	73.0	128.0	41.0	61.0	26.0	36.0	34.0	26.0
NC_072411.2	2::NC_072411.2:143058457-143063617(+)	5160	False	0.5719	0	87.0	2.0	6.0	3.0	7.0	3.0	6.0	431.0	4.0	5.0	39.0	5.0	16.0	6.0	4.0	5.0	8.0	2.0	5.0	20.0	81.0	66.0	2.0	16.0	2.0	3.0	87.0	6.0	7.0	11.0	51.0	26.0	11.0	1.0		1.0	6.0	3.0	88.0		9.0	2.0		3.0	17.0	34.0	8.0	18.0	9.0	19.0	2.0	419.0	2.0	24.0			4.0	13.0	1.0		4.0
NC_072411.2	1::NC_072411.2:143270325-143276388(+)	6063	False	0.605	2	166.0	1.0	1.0	1.0	136.0	82.0	7.0	514.0	1.0	3.0	82.0	4.0	3.0		6.0	83.0	77.0	2.0	6.0	6.0	88.0	6.0	2.0	2.0	1.0	5.0	138.0	1.0	3.0	3.0	11.0	2.0		3.0	4.0	4.0		1.0	82.0	3.0	83.0	2.0		3.0	57.0	3.0	8.0	3.0		3.0	1.0	308.0		1.0			1.0	1.0	1.0	4.0	2.0
NC_072411.2	2::NC_072411.2:143270350-143276065(+)	5715	False	0.6045	2	159.0		1.0		131.0	81.0		509.0		1.0	81.0	5.0	2.0		1.0	72.0	76.0		2.0	3.0	85.0	1.0	1.0	1.0		5.0	136.0		1.0	2.0	14.0	1.0		1.0					70.0		88.0			2.0	59.0	1.0	1.0	1.0		1.0		304.0			1.0			3.0		2.0	
NC_072411.2	3::NC_072411.2:143271056-143276183(+)	5127	False	0.6056	2	136.0	1.0			116.0	70.0	1.0	456.0	2.0	3.0	73.0	5.0	5.0	1.0	1.0	69.0	67.0	1.0	4.0	5.0	77.0	1.0	1.0		1.0	1.0	116.0		4.0	2.0	6.0	2.0			1.0	1.0	1.0		68.0		74.0		1.0	2.0	52.0		1.0	1.0	3.0	2.0		267.0		1.0	2.0			2.0	1.0	2.0	
NC_072411.2	-1::NC_072411.2:144465334-144476758(-)	11424	False	0.5004	0						1050.0					1.0		851.0										851.0	1.0					4.0					1.0			1046.0												1.0						1.0				1.0		
NC_072411.2	3::NC_072411.2:144465335-144476759(+)	11424	False	0.5004	0				2.0													1051.0		851.0																		1.0								1.0	1.0	2.0							1045.0		1.0		4.0			849.0
NC_072419.2	-3::NC_072419.2:4667-10196(-)	5529	False	0.4995	0																	216.0		704.0																													1.0						217.0							705.0
NC_072419.2	1::NC_072419.2:4668-10197(+)	5529	False	0.4997	0					1.0	216.0							704.0										705.0														217.0																								
NC_072419.2	-2::NC_072419.2:5967-16329(-)	10362	False	0.5093	0																	704.0		1022.0																										88.0			1.0						705.0		9.0					925.0
NC_072419.2	2::NC_072419.2:5968-16330(+)	10362	False	0.5094	0					1.0	713.0					1.0		1021.0										925.0											88.0			705.0																								
NC_072419.2	-1::NC_072419.2:10195-16336(-)	6141	False	0.5159	0																	1021.0		2.0																												9.0	1.0						925.0				88.0			1.0
NC_072419.2	3::NC_072419.2:10196-16337(+)	6141	False	0.516	0						1013.0					10.0		1.0										1.0						88.0								934.0																								
NC_072419.2	2::NC_072419.2:55898470-55904134(+)	5664	False	0.6423	1	222.0			6.0	3.0	214.0	1.0	326.0	46.0	2.0	254.0	44.0	110.0		3.0					1.0	2.0	2.0	3.0	8.0	2.0	2.0	206.0	1.0	1.0	1.0		3.0	5.0	1.0	1.0		1.0		116.0	1.0	3.0	3.0	2.0	5.0	37.0	7.0	1.0		7.0	107.0	3.0	110.0			6.0			9.0			
NC_072419.2	3::NC_072419.2:55898534-55904237(+)	5703	False	0.6433	1	222.0	2.0		5.0	3.0	218.0	4.0	325.0	44.0	3.0	250.0	42.0	110.0	2.0	3.0	2.0	2.0			3.0	2.0		3.0	6.0	2.0	1.0	210.0	1.0	3.0		1.0		10.0	2.0			5.0	1.0	124.0	2.0	2.0	3.0		3.0	37.0	8.0	1.0		6.0	108.0		111.0			1.0			7.0	1.0		
