clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGG	codon_CCA	codon_CTG	codon_TAG	codon_AGA	codon_CAA	codon_GCC	codon_ATT	codon_CAT	codon_TGT	codon_GGA	codon_AAA	codon_GTA	codon_GAA	codon_CCC	codon_TTT	codon_TGG	codon_CCT	codon_TTC	codon_CTC	codon_GAG	codon_TCT	codon_GAC	codon_CAG	codon_ACA	codon_AGC	codon_AAC	codon_CAC	codon_AAG	codon_GAT	codon_ATA	codon_CTT	codon_ACT	codon_CGG	codon_TCC	codon_TGC	codon_GGG	codon_GCT	codon_GTG	codon_ATC	codon_GGT	codon_AGT	codon_GCG	codon_TCG	codon_GGC	codon_CCG	codon_ACC	codon_TGA	codon_ACG	codon_CGC	codon_TAC	codon_GTC	codon_GCA	codon_GTT	codon_ATG	codon_CGT	codon_AAT	codon_CGA	codon_TAA	codon_TTG	codon_TAT	codon_TTA	codon_CTA	codon_TCA
NC_072443.2	-1::NC_072443.2:95081159-95092469	11310	False	0.5001	0	224.0			1660.0																																	1.0				1660.0													224.0						1.0				
NC_072443.2	1::NC_072443.2:95081160-95092470	11310	False	0.5	0	1660.0																1.0																				223.0				2.0													1660.0								224.0		
NC_072431.2	-1::NC_072431.2:34100485-34109899	9414	False	0.3895	2	62.0	24.0	79.0	22.0	90.0	31.0	21.0	92.0	59.0	106.0	42.0	72.0	14.0	18.0	22.0	200.0	62.0	31.0	241.0	84.0	25.0	66.0	37.0	34.0	26.0	43.0	70.0	44.0	48.0	45.0	37.0	107.0	61.0	8.0	56.0	48.0	30.0	33.0	23.0	114.0	45.0	80.0	4.0	12.0	23.0	4.0	35.0	66.0	16.0	2.0	38.0	45.0	10.0	39.0	58.0	8.0	91.0	7.0	46.0	116.0	66.0			
NC_072431.2	3::NC_072431.2:59300618-59313044	12426	False	0.5026	2	24.0	94.0	37.0		9.0	13.0	94.0	38.0	18.0	6.0	13.0	15.0	22.0	59.0	160.0	33.0	12.0	123.0	85.0	71.0	71.0	241.0	34.0	23.0	394.0	126.0	23.0	66.0	19.0	7.0	21.0	30.0	362.0	1.0	183.0	3.0	13.0	21.0	60.0	143.0	30.0	147.0	2.0	17.0	28.0	9.0	510.0		55.0	2.0	33.0	51.0	40.0	28.0	97.0		36.0	5.0		50.0	20.0	21.0	11.0	183.0
NC_072431.2	1::NC_072431.2:59331933-59369352	37419	False	0.5039	2	62.0	177.0	95.0		55.0	22.0	273.0	160.0	44.0	22.0	21.0	41.0	30.0	113.0	478.0	92.0	16.0	318.0	386.0	137.0	333.0	724.0	81.0	82.0	748.0	448.0	74.0	344.0	99.0	28.0	62.0	64.0	1184.0	5.0	418.0	15.0	67.0	65.0	117.0	620.0	53.0	548.0	29.0	125.0	114.0	27.0	1712.0		116.0	23.0	67.0	94.0	93.0	38.0	192.0	14.0	140.0	6.0		195.0	33.0	64.0	17.0	653.0
NC_072431.2	1::NC_072431.2:59397519-59409645	12126	False	0.5506	0	5.0	143.0	37.0		20.0	29.0	97.0	8.0	12.0	2.0	47.0	19.0	4.0	156.0	72.0	34.0	9.0	163.0	86.0	73.0	69.0	114.0	56.0	39.0	442.0	305.0	7.0	143.0	5.0	17.0	12.0	42.0	138.0	6.0	146.0	3.0	11.0	13.0	20.0	28.0	39.0	126.0	22.0	28.0	191.0	20.0	298.0		61.0	30.0	43.0	41.0	79.0	42.0	23.0	31.0	9.0	10.0		18.0	5.0	34.0	14.0	246.0
NC_072431.2	2::NC_072431.2:59434414-59447518	13104	False	0.4922	1	10.0	149.0	28.0		21.0	10.0	99.0	35.0	5.0	5.0	54.0	10.0	17.0	200.0	27.0	15.0	2.0	315.0	7.0	8.0	64.0	232.0	70.0	4.0	272.0	284.0	49.0	4.0	10.0	15.0	45.0	71.0	415.0	1.0	57.0		5.0	124.0	81.0	46.0	61.0	265.0	5.0	11.0	16.0	26.0	344.0		64.0	2.0	1.0	109.0	49.0	88.0	135.0	19.0	15.0	1.0		28.0	8.0	64.0	10.0	181.0
NC_072431.2	2::NC_072431.2:73427017-73434565	7548	False	0.7043	2	68.0	47.0	13.0		98.0	3.0	52.0	7.0	7.0		36.0		3.0	1.0	59.0	7.0	60.0	69.0	83.0	128.0	74.0	35.0	58.0	106.0	10.0	6.0	5.0	66.0	8.0	21.0	2.0	75.0	67.0	152.0	121.0	9.0	150.0	67.0	41.0	7.0	50.0	1.0	90.0	6.0	207.0	72.0	5.0		52.0	47.0	5.0	5.0	65.0	2.0	20.0	3.0	1.0	4.0		1.0				59.0
NC_072431.2	2::NC_072431.2:73463077-73471240	8163	False	0.7053	2	79.0	43.0	15.0		99.0	6.0	67.0	10.0	10.0	4.0	44.0	2.0	4.0	6.0	73.0	14.0	58.0	68.0	90.0	128.0	71.0	37.0	59.0	119.0	8.0	5.0	1.0	69.0	2.0	11.0	2.0	100.0	60.0	171.0	130.0	17.0	176.0	64.0	47.0	3.0	41.0	4.0	93.0	11.0	212.0	78.0	12.0		51.0	57.0		3.0	67.0	2.0	23.0	5.0	1.0	8.0		2.0	2.0	1.0	2.0	74.0
NC_072431.2	3::NC_072431.2:73473386-73492376	18990	False	0.7127	2	206.0	60.0	30.0		254.0	1.0	194.0	23.0	19.0	6.0	90.0		12.0		209.0	21.0	157.0	180.0	191.0	266.0	142.0	83.0	129.0	291.0	11.0	8.0	5.0	137.0	4.0	26.0		264.0	117.0	382.0	309.0	45.0	435.0	137.0	120.0	6.0	101.0	8.0	204.0	21.0	448.0	197.0	25.0		106.0	172.0	8.0	14.0	160.0	8.0	38.0	14.0		30.0			4.0	8.0	4.0	190.0
NC_072431.2	-3::NC_072431.2:73854899-73866491	11592	False	0.7185	2	125.0	105.0	167.0	1.0	45.0	6.0	324.0		28.0	2.0	211.0	8.0	1.0	126.0	256.0		52.0	110.0	3.0	106.0	200.0	156.0	5.0	14.0		97.0	6.0	62.0	115.0			1.0	5.0	124.0	49.0	104.0	104.0	4.0	90.0	40.0	5.0	79.0	97.0	21.0	103.0	222.0	54.0	105.0	7.0	140.0	1.0	66.0	17.0		10.0	70.0	10.0	2.0		3.0				
NC_072431.2	-2::NC_072431.2:97794432-97802028	7596	False	0.4075	0	18.0	1.0	9.0	16.0	159.0	13.0	1.0	10.0	2.0	11.0	380.0	42.0	12.0	388.0		1.0	327.0				139.0		8.0	18.0	10.0	3.0	9.0		28.0	14.0	17.0	1.0	4.0	5.0		26.0	11.0		8.0	4.0	1.0	10.0		11.0	2.0		1.0	18.0	10.0	1.0	4.0		25.0		348.0		385.0	3.0	5.0	8.0	5.0			
NC_072431.2	-1::NC_072431.2:97794469-97802284	7815	False	0.4069	0	25.0		7.0	12.0	170.0	16.0		16.0	1.0	3.0	352.0	42.0	14.0	402.0			347.0		2.0		152.0		8.0	19.0	5.0	2.0	8.0	1.0	29.0	13.0	25.0		6.0	8.0		20.0	13.0	1.0	9.0	1.0	5.0	10.0		4.0	2.0			15.0	10.0		6.0		32.0		376.0		385.0	13.0	4.0	8.0	6.0			
NC_072431.2	-3::NC_072431.2:109549835-109558565	8730	False	0.3916	2	62.0	18.0	72.0	28.0	118.0	55.0	20.0	128.0	37.0	54.0	55.0	91.0	12.0	41.0	38.0	136.0	82.0	18.0	159.0	107.0	19.0	45.0	17.0	25.0	36.0	44.0	47.0	28.0	57.0	20.0	32.0	80.0	94.0	2.0	34.0	46.0	24.0	36.0	16.0	124.0	27.0	81.0	1.0	3.0	31.0	2.0	38.0	109.0	7.0	6.0	35.0	54.0	10.0	51.0	49.0	4.0	61.0	4.0	71.0	63.0	46.0			
NC_072440.2	-2::NC_072440.2:84628847-84645497	16650	False	0.4372	2	113.0	33.0	170.0	75.0	281.0	152.0	32.0	95.0	137.0	118.0	64.0	91.0	13.0	60.0	124.0	273.0	274.0	79.0	179.0	233.0	34.0	129.0	46.0	70.0	49.0	37.0	51.0	138.0	94.0	46.0	48.0	135.0	120.0	10.0	92.0	81.0	80.0	62.0	67.0	117.0	70.0	106.0	28.0	20.0	26.0	12.0	75.0	173.0	13.0	12.0	107.0	36.0	27.0	60.0	121.0	11.0	68.0	11.0	107.0	272.0	93.0			
NC_072440.2	1::NC_072440.2:91279308-91286973	7665	False	0.408	1	19.0	34.0	78.0		31.0	54.0	42.0	76.0	39.0	5.0	44.0	122.0	29.0	88.0	21.0	79.0	22.0	31.0	67.0	34.0	62.0	61.0	49.0	63.0	66.0	30.0	71.0	35.0	77.0	83.0	39.0	54.0	46.0	5.0	46.0	2.0	21.0	59.0	29.0	58.0	13.0	48.0	5.0	3.0	29.0	2.0	51.0		10.0	5.0	31.0	35.0	48.0	45.0	35.0	6.0	89.0	7.0		38.0	47.0	46.0	39.0	52.0
NC_072444.2	-1::NC_072444.2:21437970-21446376	8406	False	0.5156	2	108.0	7.0	86.0	16.0	87.0	25.0	32.0	38.0	32.0	65.0	59.0	25.0	16.0	10.0	38.0	125.0	91.0	58.0	142.0	129.0	31.0	36.0	53.0	52.0	7.0	67.0	36.0	88.0	30.0	34.0	29.0	96.0	52.0	17.0	24.0	78.0	67.0	55.0	31.0	78.0	46.0	46.0	14.0	29.0	80.0	28.0	27.0	48.0	20.0	16.0	29.0	71.0	7.0	37.0	25.0	11.0	36.0	7.0	19.0	41.0	15.0			
NC_072444.2	-2::NC_072444.2:24528065-24535631	7566	False	0.7234	1	70.0	48.0	108.0	2.0	30.0	1.0	212.0	1.0	16.0	3.0	134.0	2.0		84.0	163.0		38.0	73.0	1.0	67.0	130.0	101.0	6.0	5.0		61.0	2.0	36.0	88.0	1.0		1.0	3.0	83.0	31.0	67.0	66.0	5.0	69.0	10.0	3.0	61.0	58.0	1.0	63.0	182.0	38.0	69.0	4.0	98.0	2.0	58.0	4.0	1.0	3.0	51.0	3.0	2.0		1.0	2.0			
NC_072436.2	-2::NC_072436.2:124951166-124961546	10380	False	0.5028	0	1573.0			128.0				1.0											1.0															17.0			4.0				137.0	1.0		8.0										1590.0										
NC_072436.2	1::NC_072436.2:124951167-124961547	10380	False	0.5027	0	128.0												2.0						17.0															8.0			1592.0				2.0			1.0										136.0						1.0		1573.0		
NC_072436.2	-3::NC_072436.2:124951297-124960594	9297	False	0.5017	0				1533.0																																	1.0				1548.0			16.0																	1.0			
NC_072436.2	3::NC_072436.2:124951298-124960595	9297	False	0.5016	0	1532.0							1.0																										16.0							1.0	1.0												1548.0										
NC_072445.2	-3::NC_072445.2:4211-13022	8811	False	0.4998	0												1.0			1245.0			223.0									223.0																																1245.0					
NC_072445.2	1::NC_072445.2:4212-13023	8811	False	0.4999	0																		1245.0									1246.0																				223.0																223.0	
NC_072445.2	-2::NC_072445.2:5550-13683	8133	False	0.5012	0														10.0	110.0			1245.0									1246.0																																100.0					
NC_072445.2	2::NC_072445.2:5551-13684	8133	False	0.5013	0															1.0			99.0									110.0						1.0													10.0	1245.0																1245.0	
NC_072445.2	-2::NC_072445.2:78301740-78309384	7644	False	0.5003	0	649.0			624.0																																	1.0				625.0													649.0										
NC_072445.2	2::NC_072445.2:78301741-78309385	7644	False	0.5001	0	624.0												1.0																								649.0				1.0													624.0						1.0		648.0		
NC_072425.2	-2::NC_072425.2:2125-10321	8196	False	0.5	0		1.0													99.0			1265.0									1265.0																				2.0												100.0					
NC_072425.2	3::NC_072425.2:2126-10322	8196	False	0.5001	0						1.0									1.0			100.0									100.0																				1265.0																1265.0	
NC_072425.2	-3::NC_072425.2:2724-13113	10389	False	0.5015	0												1.0			1625.0			106.0									107.0																				1.0	2.0										6.0	1615.0					
NC_072425.2	2::NC_072425.2:2725-13114	10389	False	0.5016	0		2.0													7.0			1617.0					8.0				1616.0																				107.0																106.0	
NC_072425.2	1::NC_072425.2:86145657-86156364	10707	False	0.7172	1	84.0	67.0	8.0		134.0	2.0	71.0	1.0	2.0		28.0				76.0		71.0	101.0	101.0	237.0	118.0	25.0	87.0	171.0	5.0	4.0		88.0		32.0	7.0	94.0	90.0	212.0	197.0	9.0	203.0	85.0	55.0	1.0	86.0	2.0	141.0	6.0	303.0	93.0	28.0		111.0	62.0	1.0	4.0	117.0		46.0	2.0		32.0						69.0
NC_072425.2	-1::NC_072425.2:160041992-160053038	11046	False	0.5003	0	10.0			1829.0													1.0																				2.0	4.0			1825.0													11.0										
NC_072425.2	1::NC_072425.2:160041993-160053039	11046	False	0.5002	0	1829.0															1.0																4.0					12.0				1.0													1825.0								10.0		
NC_072425.2	-3::NC_072425.2:160042143-160053174	11031	False	0.5001	0	1815.0			22.0									1.0			1.0																4.0					2.0				22.0													1810.0										
NC_072425.2	2::NC_072425.2:160042144-160053169	11025	False	0.5	0	22.0																																				1811.0				1.0				4.0									22.0								1815.0		
NC_072423.2	2::NC_072423.2:37-11296	11259	False	0.5	1															1.0			632.0									632.0																				1244.0														1.0		1243.0	
NC_072423.2	-2::NC_072423.2:51-11295	11244	False	0.5001	0															633.0			1241.0									1241.0																								1.0								632.0					
NC_072423.2	-3::NC_072423.2:4127-13097	8970	False	0.5002	1															1216.0			279.0									279.0																				1.0												1215.0					
NC_072423.2	1::NC_072423.2:4128-13098	8970	False	0.5003	1															2.0			1215.0									1215.0																				279.0																279.0	
NC_072423.2	-1::NC_072423.2:91112305-91130197	17892	False	0.4889	2	221.0	33.0	38.0	23.0	84.0	95.0	201.0	74.0	260.0	29.0	67.0	69.0	4.0	89.0	125.0	439.0	235.0	8.0	204.0	146.0	40.0	15.0	99.0	149.0	9.0	77.0	156.0	306.0	58.0	127.0	5.0	406.0	54.0	24.0	152.0	57.0	261.0	56.0	51.0	392.0	27.0	34.0	4.0	1.0	71.0	5.0	165.0	50.0	4.0	8.0	50.0	230.0	1.0	69.0	46.0	7.0	142.0	13.0	35.0	30.0	34.0			
NC_072423.2	-3::NC_072423.2:102051116-102061079	9963	False	0.6457	2	37.0	43.0	75.0	5.0	28.0	11.0	94.0	7.0	40.0	210.0	206.0	19.0	32.0	33.0	78.0	17.0	93.0	39.0	17.0	84.0	41.0	10.0	31.0	111.0	29.0	37.0	6.0	105.0	19.0	65.0	5.0	31.0	18.0	42.0	26.0	58.0	189.0	115.0	47.0	3.0	430.0	124.0	23.0	3.0	209.0	12.0	17.0	18.0	15.0	18.0	5.0	50.0	53.0	29.0	9.0	104.0	11.0	25.0	1.0	6.0	3.0			
NC_072423.2	-2::NC_072423.2:167641908-167651931	10023	False	0.5037	0	1457.0			177.0																	36.0																1.0				213.0													1457.0										
NC_072423.2	2::NC_072423.2:167641909-167651932	10023	False	0.5036	0	213.0																																				1457.0		36.0		1.0													177.0								1457.0		
NC_072423.2	-3::NC_072423.2:167643224-167653856	10632	False	0.5	0	321.0			1451.0																																					1451.0													321.0										
NC_072423.2	1::NC_072423.2:167643225-167653857	10632	False	0.4999	0	1451.0																																				320.0				1.0													1451.0								321.0		
