clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ATT	codon_CAA	codon_GTG	codon_GCA	codon_GAT	codon_TTC	codon_CCC	codon_ACT	codon_AGT	codon_GAG	codon_TCA	codon_GTT	codon_TCC	codon_AGC	codon_CAG	codon_AGG	codon_TTT	codon_GAC	codon_CTT	codon_GCC	codon_CGG	codon_GGC	codon_GGT	codon_CTC	codon_CCG	codon_CGA	codon_GCG	codon_TAA	codon_TGA	codon_TAG
NC_073242.2	2::NC_073242.2:30589006-30597979	8973	False	0.624	1	102.0	2.0	1.0	6.0	11.0	21.0	4.0	12.0	3.0	41.0	77.0	8.0	33.0	3.0	1.0	36.0	20.0	10.0	49.0	2.0	2.0	34.0	27.0	195.0	1.0	17.0	14.0	12.0	154.0	4.0	153.0	6.0	5.0	31.0	3.0	40.0	69.0	33.0	91.0	2.0	231.0	48.0	1.0	195.0	141.0		10.0	57.0	77.0	195.0	17.0	110.0	37.0	124.0	143.0	1.0	3.0	87.0	103.0		76.0			
NC_073242.2	3::NC_073242.2:31452455-31462022	9567	False	0.6239	1	110.0	2.0	1.0	6.0	12.0	22.0	4.0	12.0	3.0	44.0	82.0	8.0	35.0	3.0	1.0	39.0	21.0	11.0	51.0	2.0	2.0	36.0	33.0	208.0	1.0	18.0	15.0	12.0	164.0	4.0	165.0	6.0	5.0	34.0	3.0	42.0	72.0	35.0	96.0	2.0	245.0	50.0	1.0	210.0	153.0		10.0	64.0	85.0	207.0	18.0	118.0	39.0	132.0	152.0	1.0	3.0	92.0	110.0		77.0			
NC_073242.2	-3::NC_073242.2:32148255-32156904	8649	False	0.6316	1	186.0		1.0		3.0	2.0	62.0	78.0	6.0	80.0	2.0	222.0	3.0	80.0	28.0	114.0	30.0	3.0	33.0	19.0	13.0	19.0	5.0	8.0	1.0		2.0	184.0	15.0	10.0	63.0	30.0	37.0	1.0	29.0	6.0	4.0	1.0	3.0	73.0	12.0	1.0	43.0	77.0		2.0	4.0	152.0	41.0	89.0	151.0	32.0	44.0	1.0	111.0	125.0	11.0	187.0	144.0	32.0	12.0	15.0	135.0	6.0
NC_073242.2	-3::NC_073242.2:35228067-35236812	8745	False	0.6334	1	198.0		1.0		3.0	2.0	54.0	77.0	5.0	72.0	2.0	201.0	3.0	79.0	23.0	119.0	27.0	3.0	33.0	19.0	12.0	18.0	9.0	9.0	1.0		2.0	183.0	15.0	12.0	69.0	33.0	34.0	1.0	26.0	7.0	4.0	1.0	3.0	78.0	7.0	1.0	39.0	79.0		2.0	3.0	155.0	47.0	94.0	151.0	37.0	42.0	1.0	131.0	128.0	8.0	190.0	149.0	37.0	12.0	12.0	142.0	10.0
NC_073242.2	-2::NC_073242.2:35555650-35563366	7716	False	0.6366	1	174.0		1.0		3.0	2.0	48.0	68.0	5.0	71.0	2.0	181.0	3.0	64.0	22.0	106.0	23.0	3.0	27.0	16.0	10.0	15.0	7.0	6.0	1.0		2.0	157.0	12.0	11.0	66.0	30.0	30.0	1.0	22.0	7.0	4.0	1.0	3.0	66.0	7.0	1.0	33.0	63.0		2.0	4.0	139.0	39.0	78.0	137.0	33.0	38.0	1.0	120.0	113.0	7.0	168.0	134.0	33.0	12.0	11.0	122.0	7.0
NC_073242.2	-3::NC_073242.2:35962701-35971449	8748	False	0.6315	1	192.0		1.0		3.0	2.0	58.0	76.0	6.0	73.0	2.0	212.0	3.0	82.0	27.0	114.0	29.0	3.0	35.0	20.0	12.0	19.0	9.0	7.0	1.0		2.0	185.0	16.0	13.0	66.0	33.0	36.0	1.0	28.0	7.0	4.0	1.0	3.0	74.0	7.0	1.0	39.0	81.0		2.0	4.0	154.0	44.0	93.0	149.0	37.0	44.0	1.0	123.0	125.0	9.0	192.0	147.0	33.0	12.0	13.0	142.0	9.0
NC_073242.2	-2::NC_073242.2:99211222-99221440	10218	False	0.6502	1	301.0	2.0	2.0		9.0	3.0	133.0	6.0	29.0	14.0	1.0	194.0	2.0	10.0	3.0	150.0	32.0	60.0	1.0	3.0	87.0	3.0	4.0	31.0	1.0		2.0	233.0		8.0	4.0	62.0	115.0	74.0	2.0	5.0	83.0	55.0	2.0	94.0	76.0	2.0	18.0	5.0		154.0	40.0	147.0	81.0	18.0	119.0	32.0	16.0	66.0	327.0	122.0	2.0	148.0	40.0	30.0	20.0	2.0	115.0	6.0
NC_073242.2	-1::NC_073242.2:99634442-99643478	9036	False	0.6501	1	279.0	3.0	1.0		6.0	2.0	119.0	3.0	30.0	12.0	1.0	178.0	2.0	7.0	3.0	139.0	32.0	48.0	1.0	3.0	72.0	2.0	3.0	22.0	3.0		2.0	208.0		7.0	4.0	52.0	103.0	63.0	1.0	5.0	68.0	49.0	2.0	90.0	64.0		24.0	5.0		128.0	33.0	126.0	70.0	19.0	102.0	24.0	11.0	59.0	281.0	115.0	4.0	131.0	31.0	31.0	18.0	3.0	103.0	5.0
NC_073242.2	1::NC_073242.2:104325084-104334585	9501	False	0.643	1	21.0	156.0	2.0	5.0	4.0	3.0	92.0	19.0	62.0	95.0	80.0	79.0	5.0	2.0	51.0	30.0	5.0	25.0	19.0	3.0	2.0	33.0	54.0	222.0	1.0	2.0	91.0	34.0	108.0	41.0	121.0	5.0	8.0	25.0	2.0	103.0	113.0	5.0	7.0	1.0	163.0	21.0	3.0	122.0	105.0	8.0	5.0	3.0	21.0	265.0		127.0	1.0	96.0	29.0	74.0	8.0	6.0	292.0	73.0	9.0			
NC_073242.2	2::NC_073242.2:104887486-104896507	9021	False	0.6437	1	23.0	148.0	2.0	4.0	3.0	3.0	86.0	18.0	61.0	90.0	74.0	75.0	2.0	2.0	47.0	28.0	5.0	21.0	19.0	4.0	2.0	33.0	54.0	208.0	1.0	2.0	87.0	34.0	102.0	42.0	114.0	5.0	7.0	24.0	2.0	99.0	109.0	4.0	8.0	1.0	150.0	20.0	3.0	115.0	98.0	9.0	5.0	3.0	18.0	247.0		120.0	1.0	92.0	28.0	71.0	6.0	6.0	284.0	68.0	10.0			
NC_073242.2	1::NC_073242.2:119013009-119024907	11898	False	0.6683	2	112.0	43.0	23.0	10.0	99.0	6.0	87.0	50.0	21.0	174.0	56.0	136.0	13.0	20.0	53.0	32.0	24.0	32.0	126.0	2.0	42.0	42.0	35.0	116.0	7.0	8.0	43.0	27.0	41.0	71.0	73.0	13.0	27.0	24.0	7.0	23.0	69.0	65.0	46.0	73.0	266.0	33.0	39.0	204.0	37.0	14.0	86.0	167.0	160.0	104.0	24.0	119.0	24.0	213.0	53.0	158.0	47.0	79.0	96.0	17.0	55.0			
NC_073239.2	2::NC_073239.2:61701880-61709764	7884	False	0.4646	0	25.0		22.0	10.0	1.0	3.0	5.0	2.0	340.0	13.0		51.0	8.0	7.0	1.0	81.0	11.0	9.0		3.0	23.0		2.0	314.0	4.0	4.0	1.0	11.0	2.0		10.0	52.0	16.0	47.0	334.0	11.0	3.0	14.0	2.0	409.0	18.0	4.0	12.0	2.0	19.0	85.0	403.0		9.0	12.0	24.0		20.0	1.0	61.0	1.0	49.0	16.0	33.0	7.0	1.0			
NC_073239.2	1::NC_073239.2:61711788-61719360	7572	False	0.465	0	21.0		22.0	10.0		2.0	5.0	2.0	328.0	14.0		51.0	6.0	7.0	2.0	75.0	12.0	9.0		4.0	24.0		2.0	296.0	4.0	4.0	1.0	10.0	2.0		10.0	52.0	16.0	47.0	318.0	11.0	3.0	13.0	1.0	389.0	18.0	5.0	12.0	3.0	19.0	80.0	385.0		10.0	11.0	25.0		19.0	1.0	55.0	1.0	49.0	16.0	35.0	6.0	1.0			
NC_073239.2	3::NC_073239.2:121851275-121863776	12501	False	0.5473	1	148.0	9.0	29.0	78.0	318.0	69.0	399.0	6.0	291.0	94.0	2.0		1.0	286.0	12.0	149.0	132.0	38.0	1.0	1.0	202.0	5.0	3.0	551.0	5.0	13.0			2.0		7.0	33.0	6.0	3.0	39.0	9.0	4.0	7.0		40.0	155.0	97.0	3.0		138.0	2.0	407.0	2.0	7.0		28.0	2.0	20.0	5.0				267.0	40.0	1.0	1.0			
NC_073239.2	1::NC_073239.2:121851312-121863879	12567	False	0.5471	1	148.0	9.0	25.0	71.0	325.0	69.0	385.0	6.0	299.0	93.0		1.0	1.0	292.0	15.0	156.0	127.0	34.0	2.0	1.0	197.0	4.0	4.0	545.0	6.0	11.0		1.0	2.0		9.0	40.0	5.0	1.0	38.0	10.0	4.0	8.0	1.0	47.0	153.0	110.0	2.0		150.0	4.0	398.0	5.0	8.0		25.0	1.0	16.0	3.0				281.0	39.0	1.0	1.0			
NC_073239.2	2::NC_073239.2:121851316-121863820	12504	False	0.5477	1	152.0	10.0	24.0	88.0	313.0	63.0	390.0	6.0	300.0	98.0			1.0	288.0	12.0	159.0	119.0	38.0			199.0	4.0	3.0	536.0	3.0	11.0	1.0				7.0	38.0	3.0	2.0	42.0	12.0	4.0	8.0		42.0	156.0	100.0	5.0		158.0	1.0	417.0	3.0	4.0		25.0	1.0	16.0	10.0				260.0	34.0	1.0	1.0			
NC_073239.2	-2::NC_073239.2:121936319-121953572	17253	False	0.589	2	44.0	40.0	18.0		53.0	31.0	384.0	45.0	193.0	210.0	105.0	308.0	44.0	156.0	69.0	318.0	72.0	16.0	41.0	1.0	40.0	9.0	2.0	15.0	7.0		114.0	110.0	38.0	151.0	132.0	20.0	37.0	6.0	12.0	29.0	56.0	7.0	48.0	115.0	137.0	57.0	74.0	159.0		13.0	86.0	89.0	265.0	96.0	209.0	97.0	400.0	181.0	62.0	238.0	44.0	294.0	21.0	50.0	11.0	17.0	41.0	14.0
NC_073233.2	-2::NC_073233.2:583-8767	8184	False	0.5022	0	1207.0	1201.0	1.0		12.0															1.0				6.0																	150.0							4.0														146.0		
NC_073233.2	3::NC_073233.2:584-8768	8184	False	0.5023	0	147.0	146.0	1.0	1207.0	1202.0																			4.0												6.0					11.0													4.0										
NC_073233.2	2::NC_073233.2:1465-9133	7668	False	0.5026	0	1207.0	1201.0	1.0	61.0	71.0																			6.0																	5.0							4.0																
NC_073233.2	-3::NC_073233.2:1470-9132	7662	False	0.5025	0	61.0	66.0	5.0		1.0																															3.0					1216.0																					1198.0		4.0
NC_073233.2	-1::NC_073233.2:7462739-7476872	14133	False	0.5658	2	38.0	28.0	5.0		29.0	15.0	72.0	4.0	66.0	75.0	86.0	138.0	39.0	1.0	61.0	2.0	397.0	68.0	30.0	28.0	21.0	5.0	3.0	9.0	4.0		139.0	268.0	15.0	294.0	158.0	80.0	41.0	3.0	11.0	30.0	270.0	3.0	116.0	33.0	83.0	97.0	217.0	55.0		30.0	20.0	19.0	21.0	191.0	45.0	55.0	36.0	52.0	35.0	194.0	648.0	12.0	8.0	22.0	2.0	1.0	137.0	46.0
NC_073233.2	2::NC_073233.2:7549030-7557646	8616	False	0.6105	2	90.0	4.0	3.0	5.0	733.0	1.0	6.0	1.0	1.0	18.0	5.0	8.0	8.0	101.0	16.0	11.0	12.0	12.0	10.0	4.0	12.0	365.0	112.0	342.0		1.0	4.0	14.0	7.0	15.0	8.0	1.0	6.0	18.0	5.0	7.0	88.0	10.0	8.0	6.0	205.0	149.0	38.0	18.0	5.0	5.0	13.0	84.0	86.0	5.0	6.0	12.0	15.0	17.0	1.0	85.0	9.0	4.0	35.0	1.0	1.0			
NC_073233.2	3::NC_073233.2:7640486-7654049	13563	False	0.5791	2	306.0	56.0	23.0	1.0	611.0	4.0	37.0	14.0	26.0	33.0	40.0	37.0	4.0	93.0	89.0	17.0	13.0	15.0	44.0	5.0	295.0	540.0	17.0	56.0	8.0		53.0	28.0	24.0	70.0	133.0	17.0	10.0	13.0	3.0	14.0	99.0	19.0	1.0	24.0	175.0	179.0	19.0	68.0	23.0	68.0	108.0	427.0	102.0	36.0	13.0	56.0	5.0	144.0	23.0	44.0	58.0	31.0	28.0	18.0	4.0			
NC_073233.2	3::NC_073233.2:7703066-7715603	12537	False	0.6397	2	48.0	29.0	32.0	10.0	555.0	6.0	70.0	32.0	5.0	126.0	19.0	92.0	15.0	87.0	57.0	36.0	29.0	65.0	30.0	16.0	51.0	289.0	146.0	136.0	2.0	1.0	8.0	64.0	29.0	27.0	41.0	13.0	14.0	24.0	1.0	4.0	136.0	70.0	2.0	36.0	251.0	162.0	27.0	81.0	32.0	8.0	283.0	134.0	86.0	35.0	29.0	43.0	32.0	256.0	18.0	110.0	30.0	35.0	62.0	4.0	8.0			
NC_073233.2	3::NC_073233.2:17639276-17663846	24570	False	0.5694	2	30.0	1.0	3.0		2.0		4.0	9.0	1.0	384.0		2.0	2.0		439.0	484.0	815.0	2.0	2.0	1.0	2217.0	3.0			4.0			1.0			2.0	393.0			1.0		790.0	1.0	1.0	23.0	196.0				1.0	2.0	70.0	1.0	2.0			1.0	19.0	11.0		1.0		1776.0	55.0		438.0			
NC_073233.2	2::NC_073233.2:17639302-17663854	24552	False	0.5694	2	28.0		1.0				4.0	13.0	2.0	443.0	2.0	1.0		2.0	439.0	489.0	789.0	1.0			2149.0	2.0		4.0	2.0	1.0		1.0	2.0	1.0	2.0	489.0	5.0		1.0	1.0	804.0			20.0	195.0	1.0		1.0	1.0	4.0	72.0			1.0	3.0		15.0	12.0			2.0	1777.0	47.0		355.0			
NC_073233.2	-3::NC_073233.2:17639316-17663802	24486	False	0.5694	1	35.0				1.0	3.0	2.0	11.0	1.0	488.0				1.0	358.0	464.0	815.0	1.0		1.0	2197.0	3.0		1.0							1.0	482.0					738.0			16.0	174.0	1.0				3.0	84.0		1.0	1.0	6.0		19.0	10.0			1.0	1740.0	64.0		438.0	1.0		
NC_073233.2	-1::NC_073233.2:17639321-17663885	24564	False	0.5693	1	30.0	2.0	2.0		1.0	1.0	4.0	9.0	1.0	384.0		2.0	2.0		439.0	483.0	813.0	1.0	2.0		2217.0	3.0			5.0			1.0			2.0	393.0					789.0	1.0	1.0	23.0	194.0		2.0			2.0	70.0	1.0	1.0	1.0			21.0	11.0		2.0	1.0	1776.0	55.0		438.0		1.0	1.0
NC_073233.2	-2::NC_073233.2:17639341-17663782	24441	False	0.5696	1	27.0							13.0		442.0				2.0	436.0	488.0	789.0	1.0			2148.0			1.0	1.0			1.0	1.0	1.0	2.0	489.0	4.0			1.0	804.0			19.0	193.0					4.0	72.0				3.0		15.0	11.0				1777.0	47.0		355.0			
NC_073233.2	1::NC_073233.2:17639364-17663817	24453	False	0.5696	1	35.0				1.0	3.0	2.0	11.0	1.0	486.0					357.0	465.0	813.0	1.0		1.0	2197.0	2.0									1.0	482.0					738.0			16.0	175.0	1.0			1.0	3.0	84.0			1.0	4.0		19.0	9.0			1.0	1739.0	64.0		438.0			
NC_073233.2	-1::NC_073233.2:70434983-70452491	17508	False	0.4905	2	10.0	158.0	49.0		159.0	32.0	297.0	12.0	252.0	37.0	90.0	252.0	128.0	378.0	54.0	228.0	30.0	46.0	58.0	5.0	10.0	10.0	5.0	34.0	4.0		86.0	233.0	62.0	65.0	61.0	7.0	28.0	2.0	76.0	89.0	52.0	2.0	124.0	202.0	116.0	46.0	34.0	43.0		64.0	153.0	78.0	160.0	216.0	434.0	96.0	392.0	202.0	18.0	70.0	27.0	139.0	3.0	11.0	3.0	32.0	52.0	20.0
NC_073233.2	-3::NC_073233.2:143512737-143520636	7899	False	0.5701	0			6.0			19.0	2.0		5.0	10.0		14.0		3.0		163.0	172.0	10.0	8.0		9.0		8.0		7.0		18.0	12.0	7.0	9.0	20.0	2.0	6.0	3.0	3.0	12.0	1.0	1.0	10.0	19.0	1.0		29.0	6.0		32.0	19.0	4.0	205.0	529.0	240.0	6.0	1.0	314.0	4.0	6.0	404.0	52.0	4.0			3.0	1.0	214.0
NC_073233.2	-2::NC_073233.2:143597515-143608078	10563	False	0.5727	0			5.0			24.0	4.0		6.0	11.0		17.0		6.0	1.0	220.0	220.0	13.0	10.0		11.0		10.0		13.0		25.0	14.0	6.0	9.0	26.0	1.0	9.0	5.0	4.0	15.0		2.0	12.0	20.0	2.0		41.0	7.0		37.0	27.0	6.0	276.0	725.0	322.0	6.0	3.0	427.0	5.0	10.0	538.0	70.0	4.0			4.0	2.0	290.0
NC_073240.2	-2::NC_073240.2:13140813-13325778	184965	False	0.5194	1		2373.0	2.0		1.0	62.0			1.0	4.0	7104.0	4229.0	4119.0	6.0	129.0		17.0	4154.0	725.0	131.0		2.0	2437.0		18.0		122.0	7481.0	3502.0	10624.0		1.0	3.0	2.0	8.0	143.0	3426.0	205.0	117.0	1.0		2.0	3418.0	3554.0		1.0			65.0	859.0		2.0			2413.0	71.0	11.0		4.0	1.0	4.0	9.0	25.0	67.0
NC_073240.2	-1::NC_073240.2:13140892-13326112	185220	False	0.5193	1		2421.0			3.0	60.0				1.0	7121.0	4264.0	4188.0	5.0	141.0		20.0	4185.0	676.0	111.0		1.0	2372.0		15.0		134.0	7412.0	3491.0	10655.0		4.0	7.0	7.0	11.0	126.0	3430.0	197.0	120.0	3.0	1.0	5.0	3391.0	3542.0		1.0			84.0	889.0		2.0	1.0		2441.0	66.0	14.0		1.0	4.0	4.0	11.0	23.0	79.0
NC_073240.2	-3::NC_073240.2:13140998-13325723	184725	False	0.5195	1		2439.0			1.0	48.0				5.0	7074.0	4276.0	4098.0	1.0	124.0		24.0	4223.0	686.0	117.0			2410.0		22.0		130.0	7436.0	3495.0	10611.0		4.0	10.0	1.0	3.0	127.0	3405.0	206.0	138.0		2.0	4.0	3406.0	3571.0					69.0	841.0		2.0			2370.0	84.0	11.0			2.0	1.0	8.0	21.0	69.0
NC_073240.2	1::NC_073240.2:13307784-13316655	8871	False	0.5201	0		105.0				3.0					342.0	206.0	186.0		7.0			199.0	50.0	8.0			113.0		3.0		3.0	369.0	168.0	505.0						5.0	169.0	12.0	6.0				170.0	173.0						46.0					107.0		2.0							
NC_073240.2	-1::NC_073240.2:13372978-13750747	377769	False	0.5202	1		5219.0	2.0			169.0			3.0	33.0	14488.0	8594.0	8177.0	6.0	207.0	1.0	12.0	8442.0	1316.0	350.0		7.0	5109.0		15.0		337.0	15122.0	7102.0	21883.0		1.0	6.0	2.0	10.0	199.0	6891.0	286.0	361.0	1.0		22.0	6886.0	7393.0				2.0	63.0	1730.0	1.0				5175.0	65.0	3.0		2.0	3.0	3.0	12.0	19.0	193.0
NC_073240.2	-3::NC_073240.2:13373057-13749047	375990	False	0.5202	1		5191.0			2.0	171.0			2.0	22.0	14386.0	8573.0	8207.0	1.0	197.0	1.0	20.0	8296.0	1249.0	359.0		6.0	5165.0		12.0		311.0	15064.0	7051.0	21842.0		1.0	7.0	5.0	6.0	234.0	6862.0	271.0	360.0	2.0		27.0	6868.0	7387.0					56.0	1747.0	1.0	2.0			5088.0	61.0	2.0			5.0	3.0	9.0	14.0	184.0
NC_073240.2	-2::NC_073240.2:13373163-13748571	375408	False	0.5203	1		5107.0				180.0				27.0	14406.0	8603.0	8211.0		236.0	1.0	16.0	8360.0	1269.0	358.0		5.0	5144.0		13.0		323.0	14901.0	7060.0	21766.0		1.0	6.0	2.0	6.0	205.0	6868.0	257.0	350.0		1.0	33.0	6842.0	7380.0				1.0	71.0	1701.0		1.0			5161.0	49.0	9.0			5.0		7.0	11.0	183.0
NC_073240.2	1::NC_073240.2:13555650-13564215	8565	False	0.5189	0		105.0				7.0					336.0	193.0	185.0		8.0			204.0	37.0	11.0			104.0		2.0		9.0	339.0	160.0	493.0			1.0			3.0	158.0	4.0	5.0			2.0	152.0	170.0					3.0	41.0					123.0									
NC_073240.2	3::NC_073240.2:13606973-13615232	8259	False	0.5204	0		104.0				5.0				1.0	323.0	194.0	174.0		3.0			194.0	38.0	9.0			111.0				11.0	335.0	154.0	481.0						2.0	151.0	5.0	5.0				146.0	164.0					2.0	36.0					105.0									
NC_073240.2	3::NC_073240.2:13679087-13687397	8310	False	0.5208	0		109.0				3.0					315.0	185.0	177.0		3.0			181.0	36.0	12.0			127.0				6.0	335.0	153.0	490.0						11.0	159.0	2.0	10.0				154.0	156.0						31.0					115.0									
NC_073240.2	2::NC_073240.2:13717456-13728520	11064	False	0.5247	0		169.0				7.0					434.0	252.0	218.0		9.0			246.0	36.0	12.0			181.0				23.0	433.0	207.0	647.0						1.0	198.0	3.0	6.0				187.0	229.0					1.0	22.0					167.0									
NC_073240.2	1::NC_073240.2:13736649-13745112	8463	False	0.5213	0		108.0				5.0				2.0	327.0	196.0	183.0		10.0			190.0	36.0	12.0			123.0				8.0	322.0	154.0	495.0						6.0	160.0	3.0	8.0			2.0	153.0	161.0					3.0	34.0					120.0									
NC_073240.2	-2::NC_073240.2:13748574-13760454	11880	False	0.5172	1		165.0				9.0					453.0	267.0	273.0	1.0	8.0			276.0	19.0	14.0			164.0		1.0		9.0	468.0	222.0	687.0	1.0	2.0	1.0	1.0	3.0	4.0	216.0	5.0	9.0				208.0	235.0					2.0	49.0	4.0				159.0	5.0	5.0			2.0	3.0	4.0	2.0	4.0
NC_073240.2	-3::NC_073240.2:13757006-13768172	11166	False	0.5187	1		159.0				7.0					422.0	251.0	252.0	1.0	9.0			255.0	21.0	11.0			157.0		1.0		9.0	438.0	208.0	648.0	1.0	3.0		1.0	3.0	7.0	200.0	5.0	8.0				199.0	222.0					4.0	44.0	4.0				154.0	5.0	2.0			1.0	2.0	4.0	1.0	3.0
NC_073240.2	-2::NC_073240.2:13770504-13879080	108576	False	0.519	1		1575.0	3.0			56.0				6.0	4197.0	2439.0	2453.0	14.0	15.0		21.0	2486.0	162.0	130.0		9.0	1583.0		17.0		200.0	4314.0	2029.0	6281.0		3.0	9.0	23.0	9.0	9.0	1801.0	36.0	110.0			10.0	1775.0	2211.0				4.0	24.0	436.0	3.0	9.0			1570.0	20.0	22.0			20.0	6.0	14.0	12.0	66.0
NC_073240.2	-3::NC_073240.2:13772714-14058896	286182	False	0.519	1		4105.0	9.0			108.0		1.0		11.0	11064.0	6428.0	6523.0	22.0	20.0		31.0	6630.0	503.0	252.0		8.0	4080.0	1.0	42.0		588.0	11319.0	5398.0	16637.0		9.0	25.0	13.0	22.0	19.0	4799.0	78.0	265.0			9.0	4691.0	5830.0		1.0		5.0	67.0	1334.0	1.0	23.0			4076.0	65.0	53.0		1.0	24.0	13.0	40.0	10.0	141.0
NC_073240.2	-1::NC_073240.2:13774108-13880695	106587	False	0.519	1		1549.0	3.0			55.0				10.0	4112.0	2418.0	2451.0	13.0	12.0		17.0	2432.0	171.0	119.0		4.0	1551.0		24.0		172.0	4193.0	1963.0	6147.0		10.0	8.0	14.0	7.0	12.0	1757.0	35.0	115.0			5.0	1770.0	2162.0				3.0	32.0	469.0		12.0			1535.0	14.0	22.0			30.0	5.0	14.0	10.0	72.0
NC_073240.2	-2::NC_073240.2:13879083-14060100	181017	False	0.5185	1		2542.0	6.0		3.0	67.0		1.0		5.0	7037.0	4046.0	4147.0	3.0	10.0		22.0	4203.0	373.0	135.0	1.0	1.0	2563.0		23.0		358.0	7219.0	3437.0	10538.0		1.0	11.0		15.0	8.0	3003.0	50.0	144.0		1.0	10.0	2986.0	3748.0				2.0	51.0	848.0	2.0	4.0		1.0	2538.0	43.0	23.0			5.0	6.0	17.0	11.0	71.0
NC_073240.2	-1::NC_073240.2:13881718-14058904	177186	False	0.5189	1		2488.0	5.0		2.0	62.0				8.0	6892.0	3965.0	4056.0		5.0		19.0	4097.0	350.0	130.0	1.0	1.0	2502.0		21.0		348.0	7014.0	3388.0	10323.0		1.0	15.0	1.0	18.0	1.0	2950.0	44.0	131.0		1.0	6.0	2930.0	3661.0		1.0		5.0	44.0	877.0		3.0			2517.0	47.0	31.0		1.0	5.0	5.0	12.0	4.0	74.0
NC_073240.2	3::NC_073240.2:13955864-13963613	7749	False	0.5162	1		103.0				4.0					304.0	183.0	188.0				2.0	196.0	11.0	7.0			98.0				20.0	313.0	144.0	451.0			1.0		1.0		133.0	1.0	5.0				122.0	161.0					1.0	31.0					103.0									
NC_073240.2	2::NC_073240.2:13961821-13971739	9918	False	0.514	1		128.0				9.0					388.0	239.0	242.0				1.0	254.0	18.0	9.0			112.0				22.0	418.0	188.0	578.0			1.0				170.0	2.0	1.0				156.0	213.0					1.0	44.0					110.0	2.0								
NC_073240.2	1::NC_073240.2:13962273-13973796	11523	False	0.5148	1		136.0				2.0					457.0	266.0	292.0					292.0	18.0	11.0			131.0				24.0	472.0	210.0	676.0					1.0	1.0	190.0	1.0	9.0				194.0	242.0					1.0	67.0					145.0	2.0	1.0							
NC_073240.2	1::NC_073240.2:13975788-13984659	8871	False	0.5196	1		130.0				1.0					348.0	197.0	205.0				1.0	203.0	16.0	4.0			130.0				27.0	346.0	171.0	523.0							138.0		5.0				138.0	199.0						46.0					128.0		1.0							
NC_073240.2	3::NC_073240.2:13977947-13987124	9177	False	0.5187	1		136.0				3.0					362.0	208.0	211.0					213.0	16.0	5.0			130.0				29.0	357.0	176.0	537.0			1.0				145.0	1.0	3.0				145.0	201.0						51.0					129.0									
NC_073240.2	2::NC_073240.2:13978525-13986988	8463	False	0.5194	1		122.0									334.0	181.0	195.0					198.0	15.0	3.0			120.0				24.0	323.0	164.0	498.0					1.0		132.0		4.0				135.0	189.0						51.0					130.0	1.0	1.0							
NC_073240.2	1::NC_073240.2:13986294-13994961	8667	False	0.5162	1		122.0				4.0					340.0	192.0	200.0				1.0	217.0	14.0	7.0			112.0				22.0	357.0	167.0	508.0							135.0	1.0	4.0				137.0	193.0						38.0					116.0	1.0	1.0							
NC_073240.2	2::NC_073240.2:13994386-14007184	12798	False	0.5222	0		200.0									506.0	268.0	275.0					284.0	16.0	4.0			209.0		1.0		50.0	473.0	255.0	752.0					1.0		193.0		4.0				197.0	293.0						74.0					210.0				1.0					
NC_073240.2	3::NC_073240.2:13994576-14010329	15753	False	0.5213	0		253.0				5.0					621.0	341.0	338.0					348.0	25.0	6.0			238.0				51.0	600.0	316.0	924.0			1.0				249.0		2.0				245.0	357.0						85.0					245.0		1.0							
NC_073240.2	1::NC_073240.2:13994964-14005620	10656	False	0.5231	0		177.0			1.0						418.0	227.0	235.0					224.0	20.0				178.0				44.0	385.0	208.0	627.0							170.0		2.0				159.0	241.0						63.0					173.0									
NC_073240.2	3::NC_073240.2:14011607-14024966	13359	False	0.5189	1		185.0				2.0					526.0	301.0	308.0					322.0	26.0	9.0			165.0				31.0	539.0	253.0	780.0							223.0	5.0	8.0				221.0	278.0		1.0			3.0	76.0					182.0	7.0	2.0							
NC_073240.2	2::NC_073240.2:43502626-43512880	10254	False	0.5144	2	112.0	45.0	20.0	25.0	59.0	21.0	64.0	5.0	51.0	85.0	136.0	54.0	63.0	29.0	34.0	32.0	39.0	44.0	79.0	17.0	110.0	67.0	9.0	102.0	34.0	40.0	60.0	32.0	66.0	53.0	83.0	13.0	55.0	5.0	24.0	64.0	57.0	64.0	91.0	36.0	72.0	75.0	82.0	139.0	69.0	44.0	77.0	91.0	152.0	102.0	45.0	74.0	47.0	75.0	4.0	62.0	44.0	53.0	11.0	11.0	10.0			
