clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_GTC	codon_CTG	codon_CCC	codon_TCA	codon_AGC	codon_CAG	codon_TAC	codon_ACT	codon_TCC	codon_CTC	codon_CAC	codon_ACA	codon_CTT	codon_TTC	codon_TTT	codon_TGC	codon_CCA	codon_TCG	codon_GGC	codon_ACC	codon_TCT	codon_AAA	codon_CAT	codon_AAC	codon_CGT	codon_GCC	codon_ATC	codon_CGA	codon_CAA	codon_AAT	codon_CTA	codon_AGA	codon_CCG	codon_GCT	codon_GCA	codon_TTA	codon_CGC	codon_ATT	codon_TGT	codon_TAT	codon_TTG	codon_ACG	codon_ATA	codon_ATG	codon_GGT	codon_GAC	codon_GTT	codon_AGT	codon_GAA	codon_GGA	codon_AGG	codon_GTG	codon_TGG	codon_GAG	codon_GAT	codon_GTA	codon_GGG	codon_CGG	codon_AAG	codon_TAG	codon_GCG	codon_TGA	codon_TAA
NC_072391.2	-2::NC_072391.2:6703024-6711442	8418	False	0.7636	2	104.0	1.0	105.0	312.0		1.0	101.0		1.0	104.0	102.0	1.0	1.0	1.0			103.0	1.0	3.0	103.0	101.0	102.0		1.0		1.0	3.0	2.0	102.0				102.0	101.0	102.0	102.0		103.0	1.0	1.0	1.0			1.0		2.0				1.0	1.0	103.0	4.0	3.0	102.0			614.0	2.0		1.0	1.0		102.0
NC_072394.2	-1::NC_072394.2:0-32328	32328	False	0.5714	0	94.0			4333.0								1.0											1.0		378.0					1444.0				190.0					1.0			1.0								2889.0														1444.0
NC_072394.2	2::NC_072394.2:1-32380	32379	False	0.5711	0	1444.0		2.0		1.0			1.0	2.0	1.0			95.0		1.0		1.0				283.0		1.0		5778.0				190.0	1.0	2.0	94.0		2890.0												1.0		1.0	1.0	1.0										2.0				
NC_072394.2	-3::NC_072394.2:922-31264	30342	False	0.5714	0	1444.0												1.0								1.0				5778.0				1.0					2889.0																														
NC_072394.2	3::NC_072394.2:923-31265	30342	False	0.5715	0				1.0									1444.0								4334.0								2889.0	1.0		1444.0																		1.0														
NC_072387.2	-1::NC_072387.2:1318-12442	11124	False	0.5032	1	1350.0		3.0	466.0		1.0		1.0		1.0											1.0				1382.0									33.0												1.0			1.0			1.0				1.0								466.0
NC_072387.2	3::NC_072387.2:1319-12437	11118	False	0.5032	1	466.0	1.0		1.0							1.0		1.0					1.0		1.0	1382.0				466.0				33.0			1349.0							1.0	1.0													1.0	1.0										
NC_072387.2	-2::NC_072387.2:4113-12426	8313	False	0.5044	1		1.0		1383.0			1.0														1.0	1.0													1.0															33.0	1.0													1349.0
NC_072387.2	2::NC_072387.2:4114-12556	8442	False	0.5049	1	1351.0		4.0	1.0	3.0	2.0		1.0		2.0	1.0	4.0				2.0	1.0			1.0	1.0	2.0		1.0	1382.0		2.0	1.0		1.0			1.0	33.0	3.0			1.0	1.0	1.0		1.0				1.0			1.0	1.0		3.0				1.0	1.0	1.0		1.0				
NC_072387.2	1::NC_072387.2:4312713-4320423	7710	False	0.3996	0	36.0	4.0	4.0	11.0	40.0	2.0	6.0	24.0	24.0	327.0	10.0	120.0	87.0	34.0	363.0	73.0	26.0	303.0	9.0		6.0	28.0	10.0	318.0	4.0	34.0	2.0	22.0	6.0	34.0	30.0	15.0	6.0	22.0	2.0	24.0	29.0	4.0	335.0	7.0	18.0	19.0	13.0	12.0	6.0	1.0	5.0	36.0	5.0	3.0	1.0		1.0			5.0	1.0			3.0				
NC_072387.2	2::NC_072387.2:8887981-8895658	7677	False	0.3981	0	38.0	4.0	6.0	14.0	29.0	2.0	14.0	22.0	21.0	334.0	11.0	119.0	68.0	34.0	357.0	79.0	23.0	317.0	7.0		9.0	23.0	9.0	300.0	7.0	15.0	7.0	22.0	4.0	46.0	30.0	18.0	4.0	14.0		21.0	27.0	4.0	338.0	2.0	18.0	33.0	5.0	20.0	5.0		3.0	51.0	6.0	2.0	1.0		1.0	2.0		11.0						2.0		
NC_072376.2	3::NC_072376.2:199870073-199880873	10800	False	0.7348	1	261.0	77.0	4.0	477.0	5.0	2.0	78.0	1.0		326.0	128.0	2.0	1.0	133.0	181.0			247.0	59.0	304.0	2.0		1.0	171.0	1.0	2.0	351.0	1.0		1.0			1.0	175.0	1.0	1.0		46.0	43.0	1.0		2.0			127.0	1.0	1.0		77.0		2.0	1.0	1.0	125.0	1.0		1.0		176.0	1.0				
NC_072376.2	-3::NC_072376.2:199870082-199880756	10674	False	0.7372	1	259.0	76.0	3.0	476.0			77.0	1.0		323.0	126.0	2.0	1.0	132.0	176.0			245.0	59.0	304.0	2.0		1.0	169.0	1.0	2.0	350.0			1.0			1.0	174.0				45.0	42.0						126.0		1.0		77.0		2.0	1.0	1.0	125.0					176.0	1.0				
NC_072376.2	1::NC_072376.2:199870101-199880838	10737	False	0.7362	1	259.0	79.0		480.0	1.0	4.0	75.0		1.0	326.0	127.0	2.0	2.0	134.0	176.0		2.0	246.0	54.0	301.0	2.0	3.0		172.0		4.0	348.0	3.0		1.0	1.0			170.0	2.0	1.0		48.0	43.0						125.0				74.0	1.0	1.0	1.0	1.0	126.0					182.0	1.0				
NC_072376.2	2::NC_072376.2:199870135-199880899	10764	False	0.7353	1	260.0	78.0	1.0	478.0	2.0	1.0	78.0			330.0	130.0	2.0	2.0	137.0	177.0			245.0	53.0	308.0	4.0	1.0	1.0	170.0		2.0	350.0	2.0		1.0	1.0		1.0	171.0	2.0	3.0		43.0	45.0	1.0				1.0	125.0				75.0					125.0	1.0		1.0	1.0	179.0					
NC_072376.2	-2::NC_072376.2:199870176-199880916	10740	False	0.7353	1	260.0	79.0		475.0		2.0	76.0		1.0	326.0	126.0	4.0		135.0	176.0		1.0	247.0	54.0	301.0	1.0	5.0		172.0	1.0	3.0	348.0	4.0		2.0				170.0	3.0	1.0		47.0	43.0	1.0					126.0		2.0		75.0			1.0	1.0	127.0					182.0		1.0		1.0	
NC_072376.2	-1::NC_072376.2:199870183-199880812	10629	False	0.7378	1	259.0	77.0	1.0	476.0		1.0	77.0			327.0	127.0			133.0	177.0			243.0	53.0	308.0	1.0	1.0		170.0		2.0	348.0	1.0						171.0				43.0	44.0						125.0				74.0					125.0					179.0					
NC_072380.2	-2::NC_072380.2:355-8248	7893	False	0.4999	0	751.0			563.0																	3.0		1.0		749.0																																							564.0
NC_072380.2	3::NC_072380.2:356-8249	7893	False	0.5001	0	564.0			2.0																	749.0		1.0		564.0							751.0																																
NC_072380.2	-2::NC_072380.2:158143765-158151802	8037	False	0.5024	0																																														53.0		1268.0				1268.0						19.0			71.0			
NC_072380.2	3::NC_072380.2:158143766-158151803	8037	False	0.5023	0																																					1268.0									19.0		53.0				71.0						1268.0						
NC_072380.2	-3::NC_072380.2:158144199-158151807	7608	False	0.5	0																																														1267.0		1.0				1.0									1267.0			
NC_072380.2	2::NC_072380.2:158144200-158151808	7608	False	0.4999	0																																					1.0									1.0		1267.0				1267.0												
NC_072373.2	-2::NC_072373.2:3800-12758	8958	False	0.5026	0	1430.0			62.0								1.0									1.0				1451.0					1.0																																		40.0
NC_072373.2	1::NC_072373.2:3801-12765	8964	False	0.5028	0	40.0			3.0				1.0										21.0			1452.0				41.0							1430.0																																
NC_072373.2	-3::NC_072373.2:4033-12745	8712	False	0.5025	0				1451.0														1.0			1.0									21.0																																		1430.0
NC_072373.2	3::NC_072373.2:4034-12746	8712	False	0.5026	0	1430.0			22.0								1.0													1451.0																																							
NC_072373.2	-1::NC_072373.2:230789979-230798040	8061	False	0.5254	1	9.0	2.0	3.0	15.0		5.0	26.0			4.0	6.0	8.0	1.0		3.0		1.0	5.0	4.0	22.0	8.0	2.0	2.0	1.0	3.0	6.0	11.0		3.0				10.0	10.0	3.0	4.0		4.0				1.0	5.0	2.0	2.0	1029.0	4.0	185.0	2.0	3.0	9.0	195.0	3.0	1.0	27.0	4.0		14.0	10.0	3.0	1000.0	5.0	2.0	
NC_072384.2	-3::NC_072384.2:1565-11657	10092	False	0.5169	0	1599.0			82.0								170.0						1.0			1.0				1429.0																																							82.0
NC_072384.2	1::NC_072384.2:1566-11799	10233	False	0.5207	1	88.0			16.0							170.0	12.0									1601.0				83.0				10.0			1429.0		2.0																														
NC_072384.2	-1::NC_072384.2:2056-10549	8493	False	0.5001	0				1415.0																	1.0																																											1415.0
NC_072384.2	3::NC_072384.2:2057-12413	10356	False	0.5345	2	1603.0	2.0	10.0	27.0	6.0	5.0	7.0	1.0		4.0	4.0	171.0	2.0		2.0	2.0	3.0	8.0	1.0	8.0	18.0	3.0	2.0		1431.0	2.0	4.0		2.0	1.0			3.0	16.0	3.0	4.0		10.0	1.0	1.0		2.0	3.0		1.0	3.0	2.0	2.0	1.0	3.0	5.0	5.0	4.0	7.0	6.0	3.0		17.0	11.0			10.0		
NC_072384.2	1::NC_072384.2:141461688-141472056	10368	False	0.5255	1	204.0	8.0	4.0	49.0	393.0	6.0	146.0	12.0	133.0	280.0	334.0	472.0	194.0	36.0	147.0	7.0	4.0	179.0	1.0	4.0	4.0	6.0	3.0	8.0	1.0	7.0	2.0	4.0	2.0	5.0	1.0	2.0	1.0	47.0	8.0	9.0	12.0	12.0	3.0	5.0		2.0	63.0		4.0	5.0	5.0	343.0	248.0			4.0	4.0	1.0		1.0		1.0	13.0	1.0		6.0		
NC_072384.2	3::NC_072384.2:141461759-141472808	11049	False	0.5328	2	97.0	9.0	9.0	97.0	319.0	11.0	270.0	16.0	273.0	408.0	409.0	387.0	249.0	26.0	279.0	6.0	6.0	84.0	6.0	9.0	10.0	5.0	2.0	8.0	1.0	6.0	13.0	3.0	3.0	4.0	3.0		4.0	11.0	15.0	11.0	12.0	20.0	3.0	2.0		3.0	18.0	3.0	2.0	104.0	3.0	146.0	253.0			4.0	4.0	2.0	5.0	3.0	1.0	2.0	12.0			12.0		
NC_072384.2	2::NC_072384.2:141463459-141472567	9108	False	0.512	2	150.0	5.0	4.0	30.0	315.0	5.0	258.0	14.0	263.0	153.0	261.0	478.0	115.0	23.0	284.0	5.0	6.0	135.0	1.0	6.0	9.0	2.0	1.0	2.0		2.0	5.0	3.0	4.0	1.0	1.0		2.0	5.0	7.0	10.0	16.0	9.0	4.0	4.0		1.0	12.0			3.0	1.0	259.0	133.0			1.0	2.0	4.0	3.0	2.0		4.0	7.0	2.0		4.0		
NC_072384.2	3::NC_072384.2:143250914-143260766	9852	False	0.5087	1							12.0																														71.0									14.0		1486.0				1557.0	70.0				1.0	73.0						
NC_072384.2	-1::NC_072384.2:143251000-143260765	9765	False	0.5075	1																																														1556.0		70.0				71.0			70.0			2.0			1486.0			
NC_072384.2	-3::NC_072384.2:143251163-143260046	8883	False	0.5082	0																																																1409.0				1479.0	70.0				1.0	2.0						
NC_072384.2	1::NC_072384.2:143251638-143260041	8403	False	0.5002	0																																					1400.0																					1401.0						
NC_085931.1	-2::NC_085931.1:178-9130	8952	False	0.5162	1	362.0	1.0		1115.0				3.0			6.0	89.0									20.0				273.0									8.0													10.0																	1097.0
NC_085931.1	3::NC_085931.1:179-9143	8964	False	0.5161	1	1101.0			18.0	5.0		1.0			2.0	89.0		1.0					5.0			374.0	1.0		2.0	1097.0				8.0			273.0		11.0																														
NC_085931.1	1::NC_085931.1:20088333-20097567	9234	False	0.403	0	39.0	8.0	7.0	15.0	45.0	2.0	6.0	27.0	23.0	379.0	17.0	145.0	113.0	54.0	445.0	80.0	40.0	364.0	5.0		10.0	17.0	13.0	382.0	10.0	40.0	3.0	10.0	10.0	37.0	32.0	16.0	1.0	12.0	2.0	32.0	25.0	5.0	386.0	14.0	20.0	33.0	23.0	15.0	11.0	3.0	3.0	66.0	6.0	3.0		2.0	2.0	2.0	1.0	7.0	7.0			2.0		1.0		
NC_072396.2	1::NC_072396.2:1583184-1593345	10161	False	0.4356	1	2.0		4.0	38.0		215.0	1.0	1.0	1.0			215.0	12.0	2.0				117.0		1.0		1.0		433.0	208.0	205.0		5.0		3.0	347.0	215.0	2.0	264.0	2.0		1.0		2.0	3.0	5.0		3.0	205.0	216.0	2.0	10.0		420.0						215.0	8.0	1.0		1.0	1.0				
NC_072396.2	-2::NC_072396.2:1583194-1593295	10101	False	0.4356	1		209.0		38.0				420.0		4.0	2.0	124.0	422.0		3.0		3.0			1.0						3.0		432.0	4.0	3.0	3.0		216.0			215.0		260.0					10.0	348.0	10.0								213.0			1.0	206.0						216.0	1.0
NC_072396.2	1::NC_072396.2:47869482-47877507	8025	False	0.4746	0	103.0	2.0	1.0	102.0		1.0		102.0			102.0	1.0	105.0		1.0	103.0	1.0		102.0	101.0	102.0				2.0		3.0	102.0	1.0	101.0	8.0	103.0	295.0		199.0	1.0	1.0		103.0	1.0			1.0	101.0		3.0	103.0	102.0	10.0			1.0	90.0		14.0		202.0	103.0		94.0		2.0		
