clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_AAT	codon_CAA	codon_AGT	codon_ACG	codon_GCA	codon_TGC	codon_GTA	codon_CCC	codon_AGG	codon_TAC	codon_GGA	codon_ATT	codon_CGA	codon_GGT	codon_AAA	codon_CAG	codon_AAC	codon_CTC	codon_TGA	codon_GTT	codon_GAT	codon_AGA	codon_GTG	codon_ACT	codon_GAA	codon_TAT	codon_ATG	codon_GGC	codon_CAT	codon_AAG	codon_CCG	codon_CTG	codon_GAG	codon_TCT	codon_AGC	codon_TTT	codon_ATA	codon_CCA	codon_ATC	codon_CGG	codon_GCG	codon_ACA	codon_TTC	codon_CGC	codon_TCA	codon_TTG	codon_CTT	codon_CGT	codon_TGG	codon_GAC	codon_CTA	codon_TAA	codon_TAG	codon_TGT	codon_GGG	codon_TTA	codon_CCT	codon_GCC	codon_TCC	codon_GTC	codon_GCT	codon_TCG	codon_CAC
NC_085927.1	2::NC_085927.1:1-9505	9504	False	0.5133	1	111.0	2.0	4.0	2.0	4.0	7.0	9.0		27.0	13.0	17.0	4.0	5.0		1.0		14.0	1247.0	22.0		9.0	1.0	11.0	1.0	12.0	10.0	1.0	8.0	3.0	1.0		4.0	17.0	4.0	46.0	8.0	9.0		104.0	1.0	3.0	1.0	4.0	4.0		37.0	1.0	4.0	2.0	2.0	12.0	45.0			9.0	2.0		1255.0	9.0	7.0	17.0	2.0	3.0	10.0
NC_085927.1	-3::NC_085927.1:55712091-55721742	9651	False	0.6511	2	2.0	1.0	4.0	4.0	2.0	9.0	13.0	1.0	26.0	209.0	8.0	8.0	3.0	1.0	82.0	15.0	14.0	3.0	22.0	193.0	2.0	10.0	23.0	786.0	1.0	1.0		12.0	155.0	6.0	1.0	2.0	10.0	220.0	3.0	5.0	3.0		2.0	1.0	27.0	125.0	5.0	2.0	4.0		6.0	2.0	124.0	41.0	3.0		2.0	2.0	565.0	404.0		6.0	10.0	16.0	3.0		3.0	4.0
NC_085927.1	-1::NC_085927.1:55712801-55722035	9234	False	0.6484	2	4.0	1.0	4.0	2.0	2.0	6.0	5.0	2.0	10.0	183.0		7.0	1.0	1.0	93.0	1.0	4.0	3.0	5.0	196.0	4.0	4.0	25.0	775.0		2.0		18.0	128.0	8.0	3.0	1.0	10.0	231.0	2.0	2.0	1.0	2.0	9.0	1.0	2.0	124.0	1.0	5.0	3.0			2.0	135.0	22.0	2.0		2.0	3.0	567.0	423.0		2.0	8.0	7.0	4.0	5.0		5.0
NC_085927.1	1::NC_085927.1:60287118-60298359	11241	False	0.6066	0	234.0	2.0	1.0	2.0	166.0	167.0	2.0		25.0	4.0	1.0	132.0		1.0	1.0	8.0	168.0	1.0	321.0			1.0	2.0	2.0	156.0	2.0		1.0	33.0	120.0	1.0		1.0	2.0	13.0	182.0	1.0		85.0	115.0	179.0	6.0	184.0		3.0	411.0	1.0	2.0	10.0	2.0	139.0	1.0			2.0	98.0		157.0	20.0	2.0	16.0			561.0
NC_085927.1	2::NC_085927.1:60287209-60298258	11049	False	0.6068	0	225.0				161.0	182.0			26.0	2.0	1.0	151.0		1.0		6.0	164.0	5.0	320.0		1.0		1.0		142.0			1.0	25.0	107.0			1.0	1.0	14.0	164.0	1.0		93.0	120.0	160.0	14.0	167.0	1.0	4.0	433.0			4.0		130.0					102.0	1.0	157.0	16.0	1.0	11.0	1.0		566.0
NC_085927.1	3::NC_085927.1:60287306-60298430	11124	False	0.608	0	223.0	1.0			182.0	169.0			24.0	2.0	1.0	139.0	1.0			2.0	184.0		314.0					1.0	131.0		1.0	2.0	25.0	116.0	1.0				17.0	165.0			79.0	105.0	156.0	9.0	166.0		3.0	437.0	1.0		17.0		154.0	1.0				104.0	1.0	171.0	16.0		5.0			582.0
NC_073266.2	3::NC_073266.2:98260226-98269283	9057	False	0.499	0								1.0		1498.0			2.0		1.0		1.0				1500.0	2.0	1.0	1.0			1.0	1.0		1.0			1.0			1.0	1.0			1.0				1.0		1.0									2.0					1.0				
NC_073266.2	-2::NC_073266.2:98260253-98270009	9756	False	0.4997	1								2.0		1544.0			2.0		74.0		1.0				1545.0	2.0		1.0				1.0								1.0	1.0			1.0														74.0		2.0				1.0				
NC_073266.2	1::NC_073266.2:98260266-98270004	9738	False	0.4996	1										74.0											73.0		1.0														2.0	1.0	1.0					1.0						1.0					1.0	1545.0	1545.0						1.0	
NC_073266.2	-3::NC_073266.2:98260285-98269282	8997	False	0.5001	0															1499.0							1.0																											1.0					1498.0										
NC_073267.2	-1::NC_073267.2:2102-10211	8109	False	0.5003	0	2.0								1293.0		3.0					1.0		57.0																																			1290.0					57.0						
NC_073267.2	1::NC_073267.2:2103-10212	8109	False	0.5004	0	60.0								2.0							2.0		1289.0																																		57.0						1293.0						
NC_073267.2	-3::NC_073267.2:2433-10197	7764	False	0.5004	0	5.0															1.0		1289.0																																								1293.0						
NC_073267.2	2::NC_073267.2:2434-10198	7764	False	0.5005	0	1289.0								5.0							1.0																																				1293.0												
NC_073267.2	3::NC_073267.2:697955-706517	8562	False	0.7158	1	1.0	1.0		12.0	19.0	89.0	122.0	2.0	15.0	469.0		289.0	1.0		142.0		221.0		20.0				1.0	137.0		14.0		2.0	91.0	5.0	11.0	3.0	14.0	258.0	2.0	7.0			12.0		11.0	83.0				117.0	2.0	1.0	90.0	37.0	20.0					366.0	2.0	16.0	29.0		97.0	21.0	1.0	1.0
NC_073267.2	1::NC_073267.2:698571-706500	7929	False	0.7171	1				10.0	19.0	82.0	111.0	2.0	16.0	443.0	1.0	267.0			130.0		201.0		14.0					130.0		12.0		3.0	87.0	1.0	14.0	1.0	19.0	237.0		2.0	1.0		12.0	2.0	14.0	71.0	1.0			107.0	1.0	1.0	85.0	29.0	20.0				1.0	339.0		13.0	30.0		93.0	20.0	1.0	
NC_073267.2	-2::NC_073267.2:4866796-4876573	9777	False	0.6164	1	1.0			2.0		3.0	3.0		3.0	305.0		170.0	5.0	2.0	174.0	1.0	1.0	2.0	12.0	172.0	114.0	3.0	163.0	284.0	6.0	2.0		4.0	5.0		1.0		154.0	457.0	154.0	2.0		1.0	2.0	1.0	2.0		2.0	131.0				2.0	1.0	4.0	5.0		1.0		261.0	533.0		31.0	2.0	36.0	29.0	6.0		4.0
NC_073267.2	-3::NC_073267.2:4866930-4876659	9729	False	0.6158	1		3.0	2.0		1.0	2.0		1.0		339.0		156.0	4.0	2.0	144.0	2.0	1.0		10.0	158.0	125.0	7.0	154.0	262.0	7.0	1.0			8.0	1.0	5.0		172.0	465.0	131.0	1.0					4.0	1.0		147.0			1.0	2.0		7.0	4.0			1.0	282.0	533.0		28.0	2.0	30.0	34.0	3.0		
NC_073267.2	-1::NC_073267.2:4866971-4876559	9588	False	0.617	1					1.0					310.0		156.0	2.0		158.0				11.0	168.0	143.0	4.0	148.0	263.0	3.0	5.0			3.0				182.0	487.0	140.0		1.0							120.0				1.0		4.0	4.0				262.0	521.0		35.0		28.0	30.0	4.0	2.0	
NC_073261.2	-1::NC_073261.2:124526784-124539129	12345	False	0.4889	0	2.0	6.0	1.0	2.0	80.0	372.0	118.0	5.0		409.0	2.0	262.0	1.0		1.0	292.0	276.0	125.0	1.0	26.0			253.0	2.0	3.0	509.0		139.0	143.0	147.0	382.0		3.0	29.0	1.0	41.0	1.0	4.0			1.0		215.0		85.0					2.0			2.0	1.0	3.0			2.0	2.0					164.0
NC_073261.2	-3::NC_073261.2:124529242-124539751	10509	False	0.4889	0		4.0		1.0	71.0	325.0	97.0	6.0		342.0	2.0	220.0		1.0		259.0	229.0	93.0	1.0	18.0			216.0		1.0	440.0		122.0	133.0	130.0	321.0		3.0	29.0		32.0		3.0	1.0	1.0		1.0	182.0		65.0					1.0			1.0	3.0		1.0		1.0	2.0		1.0			144.0
NC_073268.2	-3::NC_073268.2:100783839-100791942	8103	False	0.5002	0										149.0					1201.0						149.0																																	1201.0		1.0								
NC_073268.2	2::NC_073268.2:100783840-100791943	8103	False	0.5001	0										1201.0					1.0						1201.0																																			149.0	149.0							
NC_073258.2	1::NC_073258.2:133770660-133784037	13377	False	0.715	2	72.0		1.0	2.0	1.0	6.0	54.0		969.0	7.0	1.0	8.0	3.0	43.0	5.0		6.0	1.0	679.0		1.0	32.0	12.0	6.0	11.0	2.0	2.0	23.0	19.0	80.0	2.0	58.0	21.0	15.0	92.0	5.0	6.0	1.0	60.0	85.0	22.0	13.0	8.0	92.0	89.0	90.0	5.0	98.0	5.0	6.0	4.0	7.0			6.0	15.0	1.0	694.0	138.0	592.0	5.0	4.0	84.0	90.0
NC_073258.2	2::NC_073258.2:133770838-133784338	13500	False	0.7124	2	88.0	4.0	5.0	3.0	2.0	8.0	41.0	1.0	959.0	8.0	3.0	11.0	5.0	31.0	3.0	2.0	11.0	1.0	684.0		3.0	39.0	3.0	5.0	7.0	5.0	4.0	31.0	23.0	72.0	2.0	50.0	11.0	14.0	89.0	13.0	14.0	1.0	79.0	83.0	18.0	9.0	5.0	86.0	100.0	89.0	8.0	100.0	4.0	9.0	10.0	5.0			2.0	21.0	2.0	687.0	143.0	597.0	9.0	11.0	85.0	82.0
NC_073258.2	3::NC_073258.2:133771049-133783841	12792	False	0.7147	2	69.0		1.0		5.0	3.0	39.0		956.0	4.0	2.0	6.0	4.0	36.0	1.0		5.0	2.0	672.0			29.0	1.0	3.0	9.0		3.0	37.0	8.0	79.0	2.0	57.0	10.0	4.0	92.0	6.0	11.0		69.0	71.0	7.0	8.0	5.0	93.0	92.0	90.0	11.0	87.0	1.0	1.0	1.0	3.0			1.0	13.0		673.0	125.0	592.0	5.0	5.0	72.0	83.0
NC_073258.2	1::NC_073258.2:134647137-134657814	10677	False	0.5626	0	91.0	5.0	32.0	2.0	161.0	238.0	80.0	2.0	107.0	1.0	80.0	2.0	1.0			126.0	53.0	66.0	127.0				49.0	1.0	1.0	38.0	2.0	87.0		238.0	2.0	36.0	3.0	2.0	6.0	3.0		85.0	21.0	74.0		71.0	285.0	3.0	224.0	149.0			143.0	1.0	14.0	1.0			1.0	3.0		125.0	2.0	82.0	144.0		106.0	383.0
NC_073258.2	2::NC_073258.2:134647213-134657761	10548	False	0.5631	0	102.0	2.0	32.0		160.0	234.0	83.0		102.0		86.0	1.0	1.0			127.0	51.0	63.0	128.0		3.0		54.0			37.0		83.0		232.0		35.0			2.0			82.0	19.0	77.0		69.0	281.0		236.0	156.0		1.0	136.0	2.0	12.0	1.0			2.0		1.0	123.0	2.0	79.0	140.0		106.0	373.0
NC_073258.2	3::NC_073258.2:134647217-134657750	10533	False	0.5637	0	100.0	7.0	31.0	1.0	159.0	249.0	82.0		101.0		82.0	2.0		1.0		124.0	50.0	65.0	125.0		2.0		50.0			37.0		80.0		236.0		36.0		1.0				80.0	23.0	74.0		64.0	274.0	4.0	224.0	156.0			145.0		16.0						1.0	125.0	6.0	81.0	136.0		108.0	373.0
NC_073260.2	-2::NC_073260.2:0-9495	9495	False	0.5001	0									97.0									1485.0																																			97.0					1486.0						
NC_073260.2	2::NC_073260.2:1-9496	9495	False	0.4999	0	1485.0																	97.0																														1.0				1485.0						97.0						
NC_073260.2	-3::NC_073260.2:575-9488	8913	False	0.5001	0	1.0								1485.0																																												1485.0											
NC_073260.2	1::NC_073260.2:576-9489	8913	False	0.5001	0																		1485.0																																								1486.0						
NC_073260.2	3::NC_073260.2:1791113-1800272	9159	False	0.6038	2	187.0		2.0	72.0	5.0	18.0	4.0		103.0	82.0		82.0			2.0	1.0	258.0		123.0		2.0	1.0	156.0		2.0	2.0			21.0	1.0	3.0	14.0	2.0	110.0	10.0	77.0	4.0		62.0	2.0	36.0		254.0	148.0		201.0	1.0	81.0	1.0	3.0	151.0	1.0			2.0	200.0		112.0	1.0	94.0	136.0	52.0		171.0
NC_073260.2	2::NC_073260.2:1791280-1799611	8331	False	0.6036	2	145.0	1.0		115.0	3.0	7.0	1.0		67.0	52.0		59.0	1.0		2.0	2.0	248.0	1.0	88.0				179.0	3.0		1.0			16.0	1.0	3.0	21.0		102.0	7.0	52.0			96.0	2.0	27.0		173.0	106.0	1.0	134.0		128.0	1.0		121.0					201.0		128.0		61.0	100.0	44.0		277.0
NC_073260.2	3::NC_073260.2:1800275-1811402	11127	False	0.6143	1	128.0		2.0	153.0	13.0	16.0	1.0		133.0	68.0		114.0		1.0	2.0	2.0	330.0	1.0	84.0				194.0	2.0		2.0			12.0			82.0	1.0	146.0	8.0	54.0			70.0		29.0		239.0	95.0	1.0	264.0		158.0	2.0		159.0					280.0		201.0		123.0	95.0	79.0	1.0	364.0
NC_073260.2	-3::NC_073260.2:124749932-124758680	8748	False	0.5007	0								1.0		28.0					1430.0						25.0																																	1429.0		3.0								
NC_073260.2	1::NC_073260.2:124749933-124758618	8685	False	0.5005	0								2.0		1424.0					1.0						1423.0																																			24.0	21.0							
NC_073260.2	-2::NC_073260.2:124749951-124758504	8553	False	0.5004	0								1.0		1424.0					1.0						1423.0																																			2.0								
NC_073260.2	2::NC_073260.2:124749952-124758499	8547	False	0.5003	0								1.0																																																1425.0	1423.0							
NC_073271.2	-2::NC_073271.2:48473855-48481739	7884	False	0.5037	0										1257.0					29.0						1279.0																										6.0			1.0				28.0		28.0								
NC_073271.2	1::NC_073271.2:48473856-48481740	7884	False	0.5036	0										28.0					7.0						29.0																										22.0			6.0						1279.0	1257.0							
NC_073271.2	-3::NC_073271.2:48474058-48482503	8445	False	0.5027	0										108.0					1298.0						108.0																										1.0			22.0				1277.0		1.0								
NC_073271.2	3::NC_073271.2:48474059-48482504	8445	False	0.5025	0										1277.0					3.0						1298.0																													1.0						128.0	108.0							
NC_073253.2	3::NC_073253.2:1838615-1855418	16803	False	0.6376	2	120.0			119.0		1.0	238.0		356.0	120.0	118.0	2.0	2.0	118.0	1.0	1.0	238.0		345.0		118.0			237.0	3.0			118.0	236.0	236.0		118.0	123.0	2.0	355.0	2.0	2.0	1.0	355.0	118.0	1.0		119.0	119.0	1.0		1.0		118.0	121.0	119.0	118.0			120.0	3.0	1.0	240.0	472.0	120.0	6.0		119.0	
NC_073253.2	1::NC_073253.2:1838673-1855491	16818	False	0.6371	2	118.0		1.0	120.0			237.0		356.0	118.0	119.0			119.0	5.0		237.0		348.0		120.0	2.0	2.0	236.0		2.0		118.0	237.0	238.0	1.0	119.0	125.0		352.0		3.0		355.0	118.0	1.0	1.0	118.0	119.0				4.0	118.0	119.0	119.0	121.0			123.0	4.0	3.0	237.0	474.0	118.0	1.0		119.0	1.0
NC_073253.2	2::NC_073253.2:1838689-1855381	16692	False	0.6383	2	118.0			118.0			236.0		356.0	118.0	119.0			118.0			237.0		348.0		118.0			237.0				119.0	236.0	236.0		118.0	120.0		349.0				355.0	119.0			118.0	119.0				1.0	119.0	118.0	119.0	118.0			124.0	1.0		236.0	474.0	119.0	5.0		118.0	
NC_073253.2	2::NC_073253.2:2131750-2139955	8205	False	0.6513	1	1.0			3.0	1.0	2.0	3.0	5.0		177.0		173.0			170.0	3.0	1.0	1.0	1.0		13.0	1.0	176.0	564.0		2.0	2.0	3.0	6.0		1.0		1.0	348.0		1.0	3.0					23.0	1.0				9.0		16.0	174.0	1.0	1.0			385.0	462.0		1.0						
NC_073253.2	-3::NC_073253.2:2131766-2140010	8244	False	0.6514	1				2.0	1.0	1.0	17.0	2.0	2.0	177.0		177.0		10.0	179.0		1.0	2.0			7.0	1.0	173.0	567.0		1.0	4.0	3.0		1.0	2.0			351.0	2.0			1.0			2.0	10.0	2.0				14.0		12.0	190.0			1.0	2.0	372.0	458.0		1.0						
NC_073253.2	-1::NC_073253.2:2131771-2140015	8244	False	0.6515	1	1.0			3.0	1.0	1.0	3.0	6.0		177.0		175.0			171.0	2.0	1.0	1.0	2.0	1.0	13.0	1.0	177.0	566.0		1.0	3.0	3.0	7.0		1.0		1.0	349.0	1.0	1.0	1.0					23.0	2.0				9.0		16.0	175.0	2.0			1.0	386.0	462.0			1.0	1.0				
NC_073253.2	3::NC_073253.2:2131799-2139974	8175	False	0.6524	1				2.0	1.0		16.0	2.0		176.0		176.0		10.0	179.0		1.0				7.0	1.0	172.0	565.0		1.0	4.0	3.0		1.0	2.0			349.0				1.0			2.0	9.0	1.0				14.0		12.0	190.0					370.0	458.0								
NC_073253.2	2::NC_073253.2:175114048-175123759	9711	False	0.6089	1	343.0	2.0	15.0	1.0	4.0	8.0	3.0	2.0	454.0		79.0		4.0	1.0			3.0	16.0	117.0			1.0			80.0	1.0	7.0	4.0		192.0		4.0	1.0		80.0	4.0	1.0	3.0	480.0	198.0			7.0	96.0	7.0	83.0	1.0	74.0			2.0	67.0			2.0		1.0	156.0	9.0	291.0		1.0	5.0	327.0
NC_073253.2	1::NC_073253.2:175115667-175127595	11928	False	0.6128	1	450.0	1.0	14.0		2.0	4.0	1.0	3.0	581.0		96.0		4.0	4.0			2.0	13.0	193.0			2.0	1.0		75.0	1.0	3.0	3.0		246.0		5.0	1.0		77.0	2.0	3.0	5.0	540.0	255.0			10.0	109.0	14.0	102.0	1.0	108.0			8.0	95.0			3.0			166.0	4.0	336.0	2.0	4.0		427.0
NC_073253.2	3::NC_073253.2:175120274-175128914	8640	False	0.6119	1	298.0	2.0	11.0		5.0	5.0	4.0	3.0	399.0		48.0		2.0	5.0			2.0	15.0	123.0						75.0		10.0	2.0		184.0		11.0			76.0	3.0		4.0	433.0	157.0			4.0	68.0	1.0	62.0		78.0	2.0		1.0	65.0			1.0			162.0	1.0	233.0	2.0	3.0	3.0	317.0
NC_073253.2	1::NC_073253.2:175130688-175145835	15147	False	0.6098	1	547.0	3.0	19.0	1.0	4.0	9.0	2.0	3.0	722.0		113.0		10.0	5.0			2.0	17.0	246.0			2.0	1.0		101.0	1.0	9.0	6.0		329.0		4.0	2.0		106.0	3.0	1.0	5.0	713.0	324.0			10.0	130.0	22.0	124.0	3.0	139.0	1.0		7.0	126.0			3.0			218.0	4.0	416.0	4.0	7.0		525.0
NC_073253.2	2::NC_073253.2:175133446-175141537	8091	False	0.613	1	289.0	1.0	10.0		3.0	6.0	2.0	2.0	385.0		68.0		2.0	1.0			3.0	7.0	96.0						68.0		2.0	3.0		162.0		4.0	1.0		66.0	2.0		2.0	405.0	166.0			6.0	76.0	4.0	68.0	1.0	62.0			3.0	54.0			2.0		1.0	135.0	10.0	238.0		1.0	5.0	275.0
NC_073253.2	3::NC_073253.2:175138052-175157858	19806	False	0.6129	1	682.0	2.0	16.0	2.0	13.0	11.0	4.0	5.0	867.0		124.0		5.0	4.0			9.0	26.0	260.0				1.0		179.0		14.0	2.0		429.0		27.0	2.0		180.0	6.0	1.0	3.0	1027.0	374.0			4.0	163.0	15.0	135.0	1.0	157.0	5.0		1.0	139.0			3.0			376.0	17.0	593.0	4.0	3.0	8.0	703.0
NC_073253.2	1::NC_073253.2:175145838-175153617	7779	False	0.6127	1	282.0		8.0		4.0	4.0	1.0	1.0	361.0		52.0		1.0	5.0			3.0	9.0	132.0				1.0		54.0	1.0	5.0	1.0		185.0		6.0	2.0		56.0	3.0		2.0	372.0	166.0			2.0	59.0	12.0	57.0	2.0	69.0	1.0		1.0	63.0						122.0	3.0	213.0	2.0	3.0		267.0
NC_073253.2	-3::NC_073253.2:176537444-176546246	8802	False	0.5007	0										1464.0					3.0		1.0				1459.0													1.0																				2.0							4.0			
NC_073253.2	1::NC_073253.2:176537445-176546247	8802	False	0.5006	0										3.0					1.0						2.0		1.0																							4.0										1463.0	1459.0				1.0			
NC_073253.2	-1::NC_073253.2:176537464-176546281	8817	False	0.5006	0								1.0		5.0					1463.0		4.0				5.0													1.0																				1459.0		1.0								
NC_073253.2	3::NC_073253.2:176537465-176546276	8811	False	0.5005	0										1464.0											1459.0																																			5.0	5.0				4.0			
NC_073270.2	-2::NC_073270.2:69760835-69768941	8106	False	0.6841	1	1.0		1.0		2.0	4.0	2.0	1.0		276.0		148.0		2.0	10.0	3.0	2.0	1.0	1.0	140.0		3.0	111.0	405.0		8.0	3.0	7.0	128.0	5.0	8.0	2.0	1.0	390.0		8.0		1.0	2.0	1.0	1.0	122.0	3.0	1.0	2.0		4.0	6.0	124.0		1.0		1.0		274.0	474.0		1.0	2.0	1.0	1.0	5.0		2.0
NC_073270.2	-3::NC_073270.2:69760885-69768931	8046	False	0.6851	1					1.0	5.0	1.0	3.0		276.0		138.0	1.0	1.0	6.0	2.0	3.0			144.0			117.0	405.0		8.0	3.0	5.0	125.0	6.0	8.0		1.0	383.0		6.0			1.0		1.0	126.0	1.0	1.0			4.0	4.0	128.0	2.0	1.0				273.0	480.0		1.0	2.0			7.0		2.0
NC_073270.2	-1::NC_073270.2:69760965-69768996	8031	False	0.685	1	2.0					5.0	2.0	2.0		285.0		143.0	2.0	1.0	7.0			3.0		135.0		1.0	110.0	404.0		6.0	1.0	9.0	134.0	5.0	7.0	2.0	1.0	391.0	1.0	3.0	1.0					128.0	1.0	1.0			6.0	4.0	122.0	2.0					280.0	460.0		1.0	2.0			4.0		3.0
NC_073269.2	-2::NC_073269.2:5832066-5841069	9003	False	0.6135	1	1.0			2.0		107.0		1.0	106.0	317.0		212.0		1.0	3.0	1.0	106.0	105.0	106.0	1.0			317.0	105.0	2.0	72.0	1.0		109.0		210.0		3.0	144.0	88.0	107.0			2.0	105.0							105.0	1.0	1.0	3.0	1.0				1.0	319.0		23.0	1.0		106.0			106.0
NC_073269.2	-3::NC_073269.2:5832113-5841236	9123	False	0.6132	1			105.0	210.0		212.0	1.0		109.0	185.0	1.0	112.0			1.0	1.0	319.0	2.0	3.0	106.0		105.0	6.0	3.0	1.0	212.0		1.0	108.0		322.0		1.0	109.0	3.0	2.0				2.0	105.0	1.0	1.0				2.0	105.0		5.0	1.0			1.0	1.0	357.0		106.0	20.0		89.0	1.0	1.0	3.0
NC_073269.2	1::NC_073269.2:5832186-5841093	8907	False	0.6135	1				1.0		106.0			105.0	317.0		212.0			1.0		106.0	105.0	105.0				316.0	105.0		74.0			107.0		210.0			143.0	87.0	105.0			1.0	105.0						1.0	105.0	1.0	1.0	1.0						319.0		20.0			105.0			105.0
NC_073269.2	-1::NC_073269.2:5845363-5854162	8799	False	0.6118	1		1.0	67.0	134.0		171.0	1.0		103.0	243.0		139.0			1.0		239.0	36.0	36.0	68.0	1.0	67.0	112.0	37.0	1.0	138.0			106.0		275.0	1.0	3.0	142.0	36.0	36.0			1.0	36.0	67.0		2.0				36.0	67.0		1.0						316.0		68.0	2.0	2.0	103.0	1.0	1.0	36.0
NC_073269.2	1::NC_073269.2:64814814-64822764	7950	False	0.599	1	68.0			1.0	23.0		101.0		284.0	52.0	6.0	52.0	44.0	25.0	1.0	1.0	134.0	2.0	185.0		2.0	55.0	80.0	1.0	4.0	1.0		26.0	3.0	8.0			71.0	2.0	37.0		2.0	7.0	72.0		1.0		226.0	126.0	1.0	75.0		68.0	2.0	3.0	85.0	4.0			1.0	1.0		207.0	2.0	207.0	1.0	78.0		212.0
NC_073265.2	-1::NC_073265.2:21015763-21023602	7839	False	0.5993	0			4.0	8.0		4.0	1.0	1.0		146.0		14.0		125.0	101.0	2.0	4.0		2.0	100.0	2.0		683.0	113.0		4.0	1.0		32.0		2.0		1.0	904.0	1.0	73.0	2.0		3.0			121.0	3.0	1.0				1.0	1.0	1.0	5.0		2.0			143.0						2.0		
NC_073265.2	-3::NC_073265.2:21015788-21023588	7800	False	0.6	0	1.0		3.0	7.0			1.0	1.0		144.0		8.0		120.0	95.0	1.0	4.0			110.0			666.0	108.0		1.0		1.0	39.0		10.0		1.0	918.0		92.0	1.0					104.0	4.0	1.0			1.0		1.0	3.0	3.0		1.0			147.0			1.0					2.0
NC_073265.2	-2::NC_073265.2:21015831-21023598	7767	False	0.6	0				9.0	1.0	4.0	1.0	1.0		143.0		12.0		104.0	103.0	1.0	5.0			107.0			686.0	102.0		2.0			33.0		5.0	1.0		899.0		91.0			1.0			124.0	2.0					1.0			3.0		1.0		2.0	143.0						2.0		
NC_073265.2	1::NC_073265.2:90902736-90910620	7884	False	0.5931	1	199.0	1.0	9.0	28.0	1.0	4.0	1.0		337.0	2.0	8.0		2.0	1.0	1.0	2.0	101.0	2.0	155.0			1.0	3.0		10.0	3.0	7.0			181.0				1.0		73.0		1.0	146.0	178.0		1.0	160.0		2.0	323.0	2.0	1.0	18.0		2.0	13.0			3.0		1.0	115.0	33.0	31.0	38.0	48.0	21.0	358.0
NC_073265.2	3::NC_073265.2:90902744-90910616	7872	False	0.5934	1	192.0	1.0	4.0	16.0	1.0	1.0			341.0		8.0		3.0	1.0		1.0	104.0	7.0	150.0				4.0		9.0		4.0	1.0		176.0	2.0	1.0			3.0	83.0		1.0	144.0	180.0		1.0	164.0	1.0	3.0	339.0	2.0		21.0	1.0	4.0	14.0			1.0			106.0	28.0	37.0	44.0	51.0	18.0	351.0
NC_073265.2	2::NC_073265.2:90902755-90910660	7905	False	0.5932	1	198.0	2.0	4.0	21.0		1.0	1.0	1.0	348.0		6.0		1.0		2.0	4.0	102.0	6.0	160.0		1.0	1.0	4.0		6.0	1.0	8.0			175.0	2.0	2.0	4.0		2.0	78.0			141.0	189.0		2.0	166.0	2.0	2.0	328.0	1.0	1.0	21.0	1.0	2.0	10.0			2.0		1.0	110.0	26.0	21.0	48.0	47.0	21.0	352.0
NC_073272.2	1::NC_073272.2:769770-777948	8178	False	0.4826	0	163.0	1.0	18.0		8.0	165.0	114.0				32.0		19.0	17.0					131.0		121.0	2.0		18.0	132.0	163.0	80.0	26.0	18.0	167.0	164.0		20.0		24.0				15.0	149.0				165.0	80.0	8.0		25.0	1.0	163.0		1.0			188.0		9.0	8.0		1.0	8.0	221.0	1.0	80.0
NC_073272.2	2::NC_073272.2:1324393-1332112	7719	False	0.566	1	126.0			6.0	11.0	4.0	39.0	2.0	53.0			125.0	16.0	4.0			47.0	6.0	2.0			3.0	23.0	67.0	13.0	9.0	9.0	23.0	14.0	162.0		48.0	20.0	9.0	74.0			3.0	153.0	125.0			340.0		49.0	24.0	67.0	65.0	58.0	142.0	159.0	10.0			6.0			8.0	73.0	7.0	16.0	12.0	38.0	303.0
NC_073272.2	-3::NC_073272.2:2115597-2126412	10815	False	0.6375	0	113.0	4.0	14.0	1.0	76.0	91.0	92.0		206.0	95.0	3.0	112.0	1.0	89.0	2.0	3.0	111.0	10.0	217.0	5.0		1.0	3.0	7.0	9.0	1.0	2.0	7.0	2.0	15.0	4.0	99.0	103.0		116.0	2.0		8.0	20.0	6.0	2.0	17.0	509.0	8.0	23.0		2.0	3.0	94.0	3.0	186.0		2.0	2.0	8.0	103.0		214.0		204.0	88.0	2.0		485.0
NC_073272.2	2::NC_073272.2:2116099-2124670	8571	False	0.6443	0	67.0		9.0		75.0	90.0	78.0		184.0	93.0		88.0		58.0	2.0		85.0	6.0	192.0				1.0		9.0			4.0		4.0	2.0	72.0	76.0		87.0	1.0			9.0	8.0		6.0	398.0	3.0	22.0			6.0	78.0	1.0	172.0	1.0			4.0	66.0		149.0		166.0	85.0		1.0	399.0
NC_073272.2	-2::NC_073272.2:2117899-2126497	8598	False	0.6408	0	74.0		12.0		72.0	92.0	81.0	2.0	174.0	92.0		87.0	2.0	56.0			85.0	6.0	189.0	3.0	1.0	1.0	2.0		9.0		1.0	6.0	1.0	10.0	3.0	73.0	76.0	1.0	91.0	2.0	3.0		15.0	10.0		5.0	388.0	2.0	20.0			6.0	72.0	2.0	169.0				5.0	73.0		151.0	1.0	167.0	81.0		1.0	391.0
